[1/200] D=0.4359 G=5.5853 (adv=0.7546, cycle=0.3309, id=0.2973, sem=0.0353)
[2/200] D=0.3402 G=4.2667 (adv=0.8456, cycle=0.2362, id=0.2060, sem=0.0287)
[3/200] D=0.3533 G=3.7882 (adv=0.7863, cycle=0.2086, id=0.1774, sem=0.0292)
[4/200] D=0.3608 G=3.6566 (adv=0.8188, cycle=0.2000, id=0.1619, sem=0.0286)
[5/200] D=0.3731 G=3.4380 (adv=0.8154, cycle=0.1858, id=0.1475, sem=0.0269)
[6/200] D=0.3568 G=3.3369 (adv=0.8510, cycle=0.1785, id=0.1353, sem=0.0247)
[7/200] D=0.4328 G=3.1603 (adv=0.8431, cycle=0.1668, id=0.1253, sem=0.0230)
[8/200] D=0.3638 G=3.0628 (adv=0.8335, cycle=0.1613, id=0.1188, sem=0.0228)
[9/200] D=0.3537 G=3.0854 (adv=0.8626, cycle=0.1621, id=0.1158, sem=0.0229)
[10/200] D=0.3841 G=2.9480 (adv=0.8274, cycle=0.1545, id=0.1108, sem=0.0221)
[11/200] D=0.3547 G=2.9391 (adv=0.8488, cycle=0.1528, id=0.1080, sem=0.0229)
[12/200] D=0.3597 G=2.9317 (adv=0.8644, cycle=0.1515, id=0.1058, sem=0.0237)
[13/200] D=0.3560 G=2.8502 (adv=0.8648, cycle=0.1460, id=0.1003, sem=0.0240)
[14/200] D=0.3559 G=2.8863 (adv=0.8859, cycle=0.1470, id=0.1014, sem=0.0238)
[15/200] D=0.3755 G=2.8662 (adv=0.8874, cycle=0.1452, id=0.1006, sem=0.0240)
[16/200] D=0.3837 G=2.7069 (adv=0.8506, cycle=0.1370, id=0.0926, sem=0.0235)
[17/200] D=0.3453 G=2.7302 (adv=0.8681, cycle=0.1374, id=0.0930, sem=0.0233)
[18/200] D=0.3512 G=2.7689 (adv=0.8858, cycle=0.1394, id=0.0929, sem=0.0246)
[19/200] D=0.3639 G=2.6298 (adv=0.8540, cycle=0.1306, id=0.0889, sem=0.0247)
[20/200] D=0.3538 G=2.7063 (adv=0.8866, cycle=0.1354, id=0.0882, sem=0.0246)
[21/200] D=0.3605 G=2.6409 (adv=0.8689, cycle=0.1317, id=0.0859, sem=0.0249)
[22/200] D=0.3666 G=2.5916 (adv=0.8716, cycle=0.1282, id=0.0826, sem=0.0247)
[23/200] D=0.3648 G=2.5945 (adv=0.8642, cycle=0.1295, id=0.0821, sem=0.0248)
[24/200] D=0.5670 G=3.0087 (adv=0.9438, cycle=0.1535, id=0.1011, sem=0.0244)
[25/200] D=0.3916 G=2.3763 (adv=0.7350, cycle=0.1215, id=0.0802, sem=0.0255)
[26/200] D=0.3896 G=2.4459 (adv=0.7821, cycle=0.1238, id=0.0798, sem=0.0265)
[27/200] D=0.3791 G=2.4165 (adv=0.8040, cycle=0.1195, id=0.0783, sem=0.0258)
[28/200] D=0.3768 G=2.4477 (adv=0.8209, cycle=0.1215, id=0.0772, sem=0.0261)
[29/200] D=0.3759 G=2.4024 (adv=0.8113, cycle=0.1190, id=0.0751, sem=0.0261)
[30/200] D=0.6075 G=2.7525 (adv=0.9236, cycle=0.1380, id=0.0849, sem=0.0248)
[31/200] D=0.4220 G=2.2049 (adv=0.6791, cycle=0.1129, id=0.0754, sem=0.0205)
[32/200] D=0.4000 G=2.2101 (adv=0.7098, cycle=0.1113, id=0.0734, sem=0.0209)
[33/200] D=0.3896 G=2.2067 (adv=0.7321, cycle=0.1096, id=0.0713, sem=0.0217)
[34/200] D=0.3831 G=2.2606 (adv=0.7622, cycle=0.1123, id=0.0705, sem=0.0231)
[35/200] D=0.3755 G=2.3137 (adv=0.7905, cycle=0.1142, id=0.0715, sem=0.0243)
[36/200] D=0.3873 G=2.2683 (adv=0.7879, cycle=0.1105, id=0.0702, sem=0.0247)
[37/200] D=0.3825 G=2.2655 (adv=0.8026, cycle=0.1096, id=0.0684, sem=0.0247)
[38/200] D=0.3750 G=2.3712 (adv=0.8392, cycle=0.1157, id=0.0698, sem=0.0257)
[39/200] D=0.3863 G=2.3763 (adv=0.8238, cycle=0.1170, id=0.0713, sem=0.0260)
[40/200] D=0.3851 G=2.2903 (adv=0.8081, cycle=0.1115, id=0.0682, sem=0.0264)
[41/200] D=0.3845 G=2.2754 (adv=0.8182, cycle=0.1096, id=0.0670, sem=0.0259)
[42/200] D=0.3915 G=2.2185 (adv=0.8015, cycle=0.1066, id=0.0651, sem=0.0257)
[43/200] D=0.3772 G=2.4683 (adv=0.8642, cycle=0.1218, id=0.0721, sem=0.0260)
[44/200] D=0.3894 G=2.2293 (adv=0.8016, cycle=0.1075, id=0.0652, sem=0.0262)
[45/200] D=0.6155 G=2.5892 (adv=1.0361, cycle=0.1181, id=0.0689, sem=0.0276)
[46/200] D=0.4310 G=2.1949 (adv=0.7076, cycle=0.1112, id=0.0709, sem=0.0212)
[47/200] D=0.7153 G=3.1492 (adv=1.0011, cycle=0.1546, id=0.1165, sem=0.0199)
[48/200] D=0.3878 G=2.5518 (adv=0.6889, cycle=0.1325, id=0.1031, sem=0.0220)
[49/200] D=0.3862 G=2.3126 (adv=0.6884, cycle=0.1168, id=0.0867, sem=0.0232)
[50/200] D=0.3833 G=2.2393 (adv=0.7031, cycle=0.1132, id=0.0761, sem=0.0236)
[51/200] D=0.3904 G=2.1429 (adv=0.7181, cycle=0.1058, id=0.0685, sem=0.0246)
[52/200] D=0.3882 G=2.1268 (adv=0.7249, cycle=0.1044, id=0.0665, sem=0.0254)
[53/200] D=0.3925 G=2.0911 (adv=0.7357, cycle=0.1014, id=0.0633, sem=0.0252)
[54/200] D=0.3989 G=2.0799 (adv=0.7458, cycle=0.1001, id=0.0617, sem=0.0248)
[55/200] D=0.3922 G=2.0973 (adv=0.7559, cycle=0.1007, id=0.0620, sem=0.0246)
[56/200] D=0.3943 G=2.1100 (adv=0.7646, cycle=0.1012, id=0.0618, sem=0.0247)
[57/200] D=0.3919 G=2.1339 (adv=0.7871, cycle=0.1014, id=0.0614, sem=0.0253)
[58/200] D=0.3946 G=2.1199 (adv=0.7819, cycle=0.1009, id=0.0608, sem=0.0249)
[59/200] D=0.3980 G=2.1081 (adv=0.7867, cycle=0.0995, id=0.0603, sem=0.0252)
[60/200] D=0.3932 G=2.1299 (adv=0.7837, cycle=0.1017, id=0.0608, sem=0.0249)
[61/200] D=0.3891 G=2.2261 (adv=0.8232, cycle=0.1070, id=0.0614, sem=0.0257)
[62/200] D=0.3809 G=2.1965 (adv=0.8134, cycle=0.1047, id=0.0618, sem=0.0268)
[63/200] D=0.3969 G=2.0821 (adv=0.7886, cycle=0.0978, id=0.0578, sem=0.0267)
[64/200] D=0.3983 G=2.0888 (adv=0.7929, cycle=0.0979, id=0.0582, sem=0.0261)
[65/200] D=0.5976 G=2.4281 (adv=0.9631, cycle=0.1112, id=0.0652, sem=0.0274)
[66/200] D=0.5511 G=1.9834 (adv=0.6019, cycle=0.1029, id=0.0660, sem=0.0227)
[67/200] D=0.4347 G=1.7780 (adv=0.6091, cycle=0.0865, id=0.0564, sem=0.0213)
[68/200] D=0.4205 G=1.8043 (adv=0.6545, cycle=0.0856, id=0.0543, sem=0.0225)
[69/200] D=0.4052 G=1.8398 (adv=0.6946, cycle=0.0856, id=0.0534, sem=0.0225)
[70/200] D=0.3901 G=1.9637 (adv=0.7347, cycle=0.0925, id=0.0558, sem=0.0246)
[71/200] D=0.3895 G=1.9508 (adv=0.7505, cycle=0.0903, id=0.0547, sem=0.0243)
[72/200] D=0.3911 G=1.9726 (adv=0.7580, cycle=0.0916, id=0.0549, sem=0.0245)
[73/200] D=0.3976 G=1.9946 (adv=0.7645, cycle=0.0930, id=0.0550, sem=0.0251)
[74/200] D=0.3974 G=2.0006 (adv=0.7843, cycle=0.0919, id=0.0544, sem=0.0249)
[75/200] D=0.3922 G=2.0492 (adv=0.8016, cycle=0.0949, id=0.0547, sem=0.0251)
[76/200] D=0.3872 G=2.0548 (adv=0.7934, cycle=0.0955, id=0.0561, sem=0.0259)
[77/200] D=0.3878 G=2.1430 (adv=0.8225, cycle=0.1004, id=0.0582, sem=0.0262)
[78/200] D=0.3990 G=2.0147 (adv=0.7846, cycle=0.0934, id=0.0540, sem=0.0255)
[79/200] D=0.3855 G=2.0831 (adv=0.8171, cycle=0.0963, id=0.0553, sem=0.0266)
[80/200] D=0.7024 G=2.6514 (adv=1.0679, cycle=0.1195, id=0.0725, sem=0.0259)
[81/200] D=0.4092 G=2.1037 (adv=0.7362, cycle=0.1034, id=0.0611, sem=0.0280)
[82/200] D=0.4006 G=2.1504 (adv=0.7442, cycle=0.1043, id=0.0669, sem=0.0288)
[83/200] D=0.5182 G=2.0157 (adv=0.7052, cycle=0.0988, id=0.0592, sem=0.0264)
[84/200] D=0.4059 G=1.7822 (adv=0.6594, cycle=0.0840, id=0.0515, sem=0.0253)
[85/200] D=0.3864 G=1.8965 (adv=0.7163, cycle=0.0888, id=0.0531, sem=0.0264)
[86/200] D=0.3847 G=1.9138 (adv=0.7393, cycle=0.0886, id=0.0524, sem=0.0267)
[87/200] D=0.3851 G=1.9120 (adv=0.7552, cycle=0.0875, id=0.0511, sem=0.0264)
[88/200] D=0.3904 G=1.9217 (adv=0.7531, cycle=0.0888, id=0.0509, sem=0.0257)
[89/200] D=0.3985 G=1.9187 (adv=0.7580, cycle=0.0880, id=0.0511, sem=0.0258)
[90/200] D=0.3946 G=1.9610 (adv=0.7776, cycle=0.0902, id=0.0510, sem=0.0262)
[91/200] D=0.4008 G=1.9567 (adv=0.7762, cycle=0.0899, id=0.0510, sem=0.0263)
[92/200] D=0.3946 G=1.9748 (adv=0.7791, cycle=0.0909, id=0.0521, sem=0.0267)
[93/200] D=0.3930 G=2.0403 (adv=0.8017, cycle=0.0929, id=0.0567, sem=0.0262)
[94/200] D=0.4039 G=1.9404 (adv=0.7769, cycle=0.0885, id=0.0507, sem=0.0252)
[95/200] D=0.4069 G=1.9255 (adv=0.7734, cycle=0.0876, id=0.0503, sem=0.0245)
[96/200] D=0.5278 G=1.9952 (adv=0.8080, cycle=0.0903, id=0.0519, sem=0.0246)
[97/200] D=0.4204 G=1.8129 (adv=0.6924, cycle=0.0851, id=0.0490, sem=0.0250)
[98/200] D=0.4045 G=1.8036 (adv=0.7099, cycle=0.0826, id=0.0486, sem=0.0244)
[99/200] D=0.4016 G=1.8536 (adv=0.7407, cycle=0.0845, id=0.0487, sem=0.0242)
[100/200] D=0.3995 G=1.8618 (adv=0.7473, cycle=0.0849, id=0.0482, sem=0.0242)
[101/200] D=0.4011 G=1.8539 (adv=0.7529, cycle=0.0836, id=0.0482, sem=0.0239)
[102/200] D=0.3996 G=1.8911 (adv=0.7705, cycle=0.0853, id=0.0486, sem=0.0249)
[103/200] D=0.4111 G=1.8291 (adv=0.7579, cycle=0.0813, id=0.0467, sem=0.0243)
[104/200] D=0.4079 G=1.8351 (adv=0.7524, cycle=0.0822, id=0.0472, sem=0.0242)
[105/200] D=0.3994 G=1.9348 (adv=0.7930, cycle=0.0873, id=0.0488, sem=0.0247)
[106/200] D=0.3916 G=1.9119 (adv=0.7901, cycle=0.0856, id=0.0482, sem=0.0248)
[107/200] D=0.5749 G=2.1573 (adv=0.8806, cycle=0.0978, id=0.0548, sem=0.0245)
[108/200] D=0.4194 G=1.7424 (adv=0.6893, cycle=0.0799, id=0.0460, sem=0.0243)
[109/200] D=0.3913 G=1.7909 (adv=0.7352, cycle=0.0802, id=0.0457, sem=0.0253)
[110/200] D=0.3936 G=1.7814 (adv=0.7408, cycle=0.0791, id=0.0450, sem=0.0242)
