[1/200] D=0.3958 G=5.1951 (adv=0.8023, cycle=0.2897, id=0.2819, sky=0.5096)
[2/200] D=0.3711 G=4.1674 (adv=0.7837, cycle=0.2094, id=0.2095, sky=0.5567)
[3/200] D=0.3811 G=3.9517 (adv=0.8060, cycle=0.1893, id=0.1895, sky=0.5895)
[4/200] D=0.3718 G=3.8725 (adv=0.8445, cycle=0.1815, id=0.1744, sky=0.6029)
[5/200] D=0.3881 G=3.7123 (adv=0.8448, cycle=0.1701, id=0.1636, sky=0.5943)
[6/200] D=0.3665 G=3.6434 (adv=0.8507, cycle=0.1646, id=0.1557, sky=0.6016)
[7/200] D=0.3572 G=3.6000 (adv=0.8818, cycle=0.1619, id=0.1495, sky=0.5763)
[8/200] D=0.3598 G=3.5673 (adv=0.8845, cycle=0.1594, id=0.1443, sky=0.5840)
[9/200] D=0.4550 G=3.3865 (adv=0.8588, cycle=0.1487, id=0.1383, sky=0.5568)
[10/200] D=0.3581 G=3.4242 (adv=0.8555, cycle=0.1510, id=0.1368, sky=0.5803)
[11/200] D=0.3817 G=3.4461 (adv=0.9062, cycle=0.1503, id=0.1339, sky=0.5679)
[12/200] D=0.3723 G=3.2620 (adv=0.8160, cycle=0.1434, id=0.1281, sky=0.5634)
[13/200] D=0.3573 G=3.2921 (adv=0.8771, cycle=0.1428, id=0.1250, sky=0.5495)
[14/200] D=0.3567 G=3.3036 (adv=0.8908, cycle=0.1424, id=0.1236, sky=0.5559)
[15/200] D=0.3582 G=3.3395 (adv=0.9176, cycle=0.1432, id=0.1230, sky=0.5598)
[16/200] D=0.3606 G=3.2799 (adv=0.9007, cycle=0.1408, id=0.1206, sky=0.5494)
[17/200] D=0.3643 G=3.2613 (adv=0.8969, cycle=0.1401, id=0.1179, sky=0.5506)
[18/200] D=0.3569 G=3.2464 (adv=0.8927, cycle=0.1390, id=0.1176, sky=0.5523)
[19/200] D=0.3699 G=3.2416 (adv=0.8909, cycle=0.1378, id=0.1149, sky=0.5702)
[20/200] D=0.3612 G=3.2317 (adv=0.9062, cycle=0.1364, id=0.1134, sky=0.5645)
[21/200] D=0.3680 G=3.1949 (adv=0.8937, cycle=0.1351, id=0.1127, sky=0.5556)
[22/200] D=0.3661 G=3.2255 (adv=0.9142, cycle=0.1366, id=0.1110, sky=0.5567)
[23/200] D=0.3683 G=3.1985 (adv=0.8976, cycle=0.1347, id=0.1120, sky=0.5623)
[24/200] D=0.3666 G=3.1453 (adv=0.8999, cycle=0.1325, id=0.1076, sky=0.5443)
[25/200] D=0.3666 G=3.1728 (adv=0.9040, cycle=0.1326, id=0.1094, sky=0.5598)
[26/200] D=0.3691 G=3.1517 (adv=0.8921, cycle=0.1329, id=0.1064, sky=0.5585)
[27/200] D=0.3696 G=3.1201 (adv=0.8922, cycle=0.1306, id=0.1059, sky=0.5518)
[28/200] D=0.3707 G=3.1237 (adv=0.8910, cycle=0.1296, id=0.1056, sky=0.5671)
[29/200] D=0.3671 G=3.1041 (adv=0.8986, cycle=0.1295, id=0.1050, sky=0.5436)
[30/200] D=0.5094 G=3.3283 (adv=0.9955, cycle=0.1383, id=0.1145, sky=0.5492)
[31/200] D=0.3889 G=3.0219 (adv=0.7925, cycle=0.1301, id=0.1088, sky=0.5476)
[32/200] D=0.4715 G=2.9930 (adv=0.8379, cycle=0.1240, id=0.1031, sky=0.5544)
[33/200] D=0.3909 G=2.8076 (adv=0.7358, cycle=0.1190, id=0.0999, sky=0.5323)
[34/200] D=0.3727 G=2.8863 (adv=0.8014, cycle=0.1190, id=0.0979, sky=0.5526)
[35/200] D=0.3669 G=2.9738 (adv=0.8354, cycle=0.1235, id=0.0997, sky=0.5547)
[36/200] D=0.3624 G=3.0100 (adv=0.8631, cycle=0.1249, id=0.1002, sky=0.5476)
[37/200] D=0.3678 G=2.9977 (adv=0.8616, cycle=0.1242, id=0.1000, sky=0.5436)
