[1/200] D=0.4884 G=5.7299 (adv=0.7031, cycle=0.3484, id=0.3086)
[2/200] D=0.3841 G=3.9623 (adv=0.7798, cycle=0.2199, id=0.1967)
[3/200] D=0.3837 G=3.6055 (adv=0.7422, cycle=0.1989, id=0.1748)
[4/200] D=0.3889 G=3.3999 (adv=0.7250, cycle=0.1855, id=0.1640)
[5/200] D=0.3916 G=3.3434 (adv=0.7928, cycle=0.1781, id=0.1539)
[6/200] D=0.4466 G=3.1111 (adv=0.7432, cycle=0.1660, id=0.1415)
[7/200] D=0.3765 G=2.9776 (adv=0.7498, cycle=0.1575, id=0.1306)
[8/200] D=0.3345 G=3.2957 (adv=0.8864, cycle=0.1706, id=0.1406)
[9/200] D=0.3992 G=2.8831 (adv=0.7628, cycle=0.1519, id=0.1203)
[10/200] D=0.3651 G=2.9355 (adv=0.8008, cycle=0.1536, id=0.1198)
[11/200] D=0.3734 G=2.9105 (adv=0.8109, cycle=0.1515, id=0.1169)
[12/200] D=0.3541 G=2.9633 (adv=0.8672, cycle=0.1519, id=0.1155)
[13/200] D=0.3649 G=2.8446 (adv=0.8289, cycle=0.1465, id=0.1101)
[14/200] D=0.3919 G=2.7655 (adv=0.8180, cycle=0.1418, id=0.1059)
[15/200] D=0.3751 G=2.7086 (adv=0.8085, cycle=0.1389, id=0.1022)
[16/200] D=0.3959 G=2.6597 (adv=0.8099, cycle=0.1360, id=0.0980)
[17/200] D=0.3628 G=2.6749 (adv=0.8070, cycle=0.1376, id=0.0983)
[18/200] D=0.3674 G=2.7609 (adv=0.8464, cycle=0.1419, id=0.0991)
[19/200] D=0.4162 G=2.6157 (adv=0.8153, cycle=0.1322, id=0.0957)
[20/200] D=0.3801 G=2.5365 (adv=0.7838, cycle=0.1292, id=0.0921)
[21/200] D=0.5205 G=2.5681 (adv=0.8400, cycle=0.1268, id=0.0921)
[22/200] D=0.4284 G=2.2647 (adv=0.6631, cycle=0.1166, id=0.0871)
[23/200] D=0.4067 G=2.2987 (adv=0.7032, cycle=0.1167, id=0.0856)
[24/200] D=0.3943 G=2.3578 (adv=0.7380, cycle=0.1192, id=0.0855)
[25/200] D=0.3783 G=2.4597 (adv=0.7896, cycle=0.1240, id=0.0860)
[26/200] D=0.3772 G=2.3711 (adv=0.7772, cycle=0.1184, id=0.0819)
[27/200] D=0.4272 G=2.4347 (adv=0.8221, cycle=0.1205, id=0.0815)
[28/200] D=0.4072 G=2.2958 (adv=0.7133, cycle=0.1173, id=0.0818)
[29/200] D=0.3862 G=2.3805 (adv=0.7692, cycle=0.1205, id=0.0813)
[30/200] D=0.3889 G=2.3966 (adv=0.7627, cycle=0.1221, id=0.0825)
[31/200] D=0.4166 G=2.3159 (adv=0.7559, cycle=0.1165, id=0.0791)
[32/200] D=0.3955 G=2.3096 (adv=0.7551, cycle=0.1165, id=0.0779)
[33/200] D=0.3907 G=2.4077 (adv=0.7928, cycle=0.1215, id=0.0799)
[34/200] D=0.3969 G=2.3005 (adv=0.7592, cycle=0.1156, id=0.0770)
[35/200] D=0.5274 G=2.5107 (adv=0.8757, cycle=0.1227, id=0.0816)
[36/200] D=0.5023 G=2.1344 (adv=0.6902, cycle=0.1063, id=0.0762)
[37/200] D=0.4267 G=1.9995 (adv=0.6325, cycle=0.1007, id=0.0720)
[38/200] D=0.3840 G=2.4205 (adv=0.7676, cycle=0.1221, id=0.0865)
[39/200] D=0.3999 G=2.2217 (adv=0.7178, cycle=0.1117, id=0.0773)
[40/200] D=0.4142 G=2.1666 (adv=0.7332, cycle=0.1067, id=0.0732)
[41/200] D=0.4069 G=2.1214 (adv=0.7365, cycle=0.1035, id=0.0699)
[42/200] D=0.4166 G=2.1626 (adv=0.7429, cycle=0.1063, id=0.0714)
[43/200] D=0.4029 G=2.1427 (adv=0.7476, cycle=0.1048, id=0.0694)
[44/200] D=0.4020 G=2.1799 (adv=0.7541, cycle=0.1070, id=0.0712)
[45/200] D=0.3976 G=2.2066 (adv=0.7639, cycle=0.1088, id=0.0710)
[46/200] D=0.4009 G=2.1583 (adv=0.7629, cycle=0.1055, id=0.0682)
[47/200] D=0.4053 G=2.1458 (adv=0.7566, cycle=0.1042, id=0.0695)
[48/200] D=0.4107 G=2.1171 (adv=0.7562, cycle=0.1028, id=0.0666)
[49/200] D=0.4179 G=2.1427 (adv=0.7780, cycle=0.1034, id=0.0662)
[50/200] D=0.4030 G=2.1264 (adv=0.7406, cycle=0.1043, id=0.0685)
[51/200] D=0.4079 G=2.1799 (adv=0.7695, cycle=0.1064, id=0.0693)
[52/200] D=0.3976 G=2.1098 (adv=0.7502, cycle=0.1024, id=0.0671)
[53/200] D=0.3949 G=2.2734 (adv=0.7975, cycle=0.1121, id=0.0710)
[54/200] D=0.4018 G=2.1121 (adv=0.7632, cycle=0.1019, id=0.0659)
[55/200] D=0.4113 G=2.1254 (adv=0.7626, cycle=0.1032, id=0.0661)
[56/200] D=0.4056 G=2.0974 (adv=0.7580, cycle=0.1016, id=0.0646)
[57/200] D=0.4097 G=2.0794 (adv=0.7577, cycle=0.1001, id=0.0642)
[58/200] D=0.4113 G=2.0932 (adv=0.7603, cycle=0.1014, id=0.0639)
[59/200] D=0.4049 G=2.1001 (adv=0.7611, cycle=0.1017, id=0.0644)
[60/200] D=0.4101 G=2.0677 (adv=0.7688, cycle=0.0987, id=0.0624)
[61/200] D=0.6120 G=3.1006 (adv=1.0245, cycle=0.1582, id=0.0987)
[62/200] D=0.4012 G=2.0582 (adv=0.6705, cycle=0.1052, id=0.0672)
[63/200] D=0.6214 G=2.1836 (adv=0.7842, cycle=0.1050, id=0.0699)
[64/200] D=0.4429 G=1.8055 (adv=0.6020, cycle=0.0889, id=0.0629)
[65/200] D=0.4394 G=1.8275 (adv=0.6182, cycle=0.0897, id=0.0624)
[66/200] D=0.4389 G=1.8042 (adv=0.6249, cycle=0.0877, id=0.0605)
[67/200] D=0.4342 G=1.8263 (adv=0.6411, cycle=0.0888, id=0.0594)
[68/200] D=0.4293 G=1.8660 (adv=0.6543, cycle=0.0906, id=0.0610)
[69/200] D=0.4255 G=1.8615 (adv=0.6658, cycle=0.0898, id=0.0596)
[70/200] D=0.4254 G=1.8846 (adv=0.6841, cycle=0.0902, id=0.0596)
[71/200] D=0.4170 G=1.9601 (adv=0.7160, cycle=0.0942, id=0.0605)
[72/200] D=0.4089 G=1.9725 (adv=0.7124, cycle=0.0956, id=0.0609)
[73/200] D=0.4150 G=1.9575 (adv=0.7150, cycle=0.0941, id=0.0604)
[74/200] D=0.5477 G=2.1931 (adv=0.8303, cycle=0.1041, id=0.0644)
[75/200] D=0.4434 G=1.7870 (adv=0.6198, cycle=0.0876, id=0.0583)
[76/200] D=0.4331 G=1.8287 (adv=0.6519, cycle=0.0885, id=0.0584)
[77/200] D=0.4245 G=1.8124 (adv=0.6721, cycle=0.0861, id=0.0559)
[78/200] D=0.4176 G=1.8526 (adv=0.6837, cycle=0.0888, id=0.0562)
[79/200] D=0.4176 G=1.8784 (adv=0.6873, cycle=0.0901, id=0.0579)
[80/200] D=0.4101 G=1.9108 (adv=0.7105, cycle=0.0915, id=0.0571)
[81/200] D=0.4072 G=1.9200 (adv=0.7171, cycle=0.0916, id=0.0573)
[82/200] D=0.4095 G=1.9220 (adv=0.7287, cycle=0.0911, id=0.0564)
[83/200] D=0.4176 G=1.9037 (adv=0.7187, cycle=0.0907, id=0.0556)
[84/200] D=0.4154 G=1.9208 (adv=0.7204, cycle=0.0917, id=0.0566)
[85/200] D=0.4179 G=1.9296 (adv=0.7313, cycle=0.0920, id=0.0557)
[86/200] D=0.4077 G=1.9062 (adv=0.7265, cycle=0.0902, id=0.0556)
[87/200] D=0.4175 G=1.8923 (adv=0.7224, cycle=0.0892, id=0.0556)
[88/200] D=0.4151 G=1.9470 (adv=0.7320, cycle=0.0930, id=0.0571)
[89/200] D=0.4450 G=1.9859 (adv=0.7663, cycle=0.0935, id=0.0569)
[90/200] D=0.4129 G=1.8482 (adv=0.7003, cycle=0.0878, id=0.0541)
[91/200] D=0.6193 G=2.5838 (adv=0.9628, cycle=0.1233, id=0.0777)
[92/200] D=0.3967 G=2.1686 (adv=0.7129, cycle=0.1096, id=0.0719)
[93/200] D=0.4309 G=1.8572 (adv=0.6463, cycle=0.0915, id=0.0591)
[94/200] D=0.4390 G=1.8001 (adv=0.6462, cycle=0.0878, id=0.0553)
[95/200] D=0.4426 G=1.7696 (adv=0.6514, cycle=0.0848, id=0.0539)
[96/200] D=0.4432 G=1.7287 (adv=0.6403, cycle=0.0826, id=0.0525)
[97/200] D=0.4408 G=1.7367 (adv=0.6533, cycle=0.0824, id=0.0518)
[98/200] D=0.4264 G=1.8503 (adv=0.6995, cycle=0.0880, id=0.0541)
[99/200] D=0.4290 G=1.7932 (adv=0.6857, cycle=0.0846, id=0.0524)
[100/200] D=0.4286 G=1.7829 (adv=0.6777, cycle=0.0845, id=0.0521)
[101/200] D=0.4242 G=1.8285 (adv=0.6940, cycle=0.0868, id=0.0534)
[102/200] D=0.4053 G=1.9687 (adv=0.7450, cycle=0.0940, id=0.0567)
[103/200] D=0.4051 G=1.8603 (adv=0.7315, cycle=0.0870, id=0.0518)
[104/200] D=0.4190 G=1.8214 (adv=0.7100, cycle=0.0854, id=0.0514)
[105/200] D=0.7941 G=2.5723 (adv=1.1133, cycle=0.1128, id=0.0662)
[106/200] D=0.4334 G=1.7785 (adv=0.6328, cycle=0.0875, id=0.0542)
[107/200] D=0.4367 G=1.6819 (adv=0.6288, cycle=0.0802, id=0.0503)
[108/200] D=0.4407 G=1.6652 (adv=0.6335, cycle=0.0782, id=0.0499)
[109/200] D=0.4370 G=1.6654 (adv=0.6369, cycle=0.0780, id=0.0496)
[110/200] D=0.4319 G=1.7386 (adv=0.6776, cycle=0.0810, id=0.0501)
[111/200] D=0.4189 G=1.6979 (adv=0.6607, cycle=0.0792, id=0.0490)
[112/200] D=0.4232 G=1.7050 (adv=0.6680, cycle=0.0795, id=0.0483)
[113/200] D=0.4196 G=1.7020 (adv=0.6747, cycle=0.0791, id=0.0473)
[114/200] D=0.4259 G=1.6884 (adv=0.6664, cycle=0.0787, id=0.0470)
[115/200] D=0.4236 G=1.6934 (adv=0.6778, cycle=0.0782, id=0.0468)
[116/200] D=0.4302 G=1.6723 (adv=0.6701, cycle=0.0773, id=0.0459)
[117/200] D=0.4202 G=1.7149 (adv=0.6853, cycle=0.0798, id=0.0462)
[118/200] D=0.4144 G=1.7713 (adv=0.7046, cycle=0.0823, id=0.0487)
[119/200] D=0.4205 G=1.7236 (adv=0.6932, cycle=0.0795, id=0.0471)
[120/200] D=0.4220 G=1.7167 (adv=0.6984, cycle=0.0791, id=0.0454)
[121/200] D=0.4229 G=1.6940 (adv=0.6893, cycle=0.0777, id=0.0455)
[122/200] D=0.4256 G=1.6764 (adv=0.6859, cycle=0.0767, id=0.0446)
[123/200] D=0.4272 G=1.6792 (adv=0.6800, cycle=0.0773, id=0.0452)
[124/200] D=0.4349 G=1.6789 (adv=0.6894, cycle=0.0764, id=0.0451)
[125/200] D=0.4220 G=1.7315 (adv=0.7021, cycle=0.0802, id=0.0454)
[126/200] D=0.4137 G=1.7382 (adv=0.7139, cycle=0.0796, id=0.0457)
[127/200] D=0.4201 G=1.6873 (adv=0.7030, cycle=0.0763, id=0.0442)
[128/200] D=0.4054 G=1.8260 (adv=0.7538, cycle=0.0835, id=0.0475)
