[1/200] D=0.5013 G=1.8034 (adv=0.6295, cycle=0.5929, id=0.2348)
[2/200] D=0.4888 G=1.2904 (adv=0.5852, cycle=0.6026, id=0.1410)
[3/200] D=0.4804 G=1.2276 (adv=0.6019, cycle=0.6277, id=0.1251)
[4/200] D=0.4770 G=1.2117 (adv=0.6043, cycle=0.6364, id=0.1215)
[5/200] D=0.4785 G=1.1293 (adv=0.5848, cycle=0.6316, id=0.1089)
[6/200] D=0.4804 G=1.0991 (adv=0.5881, cycle=0.6333, id=0.1022)
[7/200] D=0.4770 G=1.0761 (adv=0.5945, cycle=0.6534, id=0.0963)
[8/200] D=0.4684 G=1.1019 (adv=0.6070, cycle=0.6489, id=0.0990)
[9/200] D=0.4765 G=1.0681 (adv=0.5950, cycle=0.6653, id=0.0946)
[10/200] D=0.4790 G=1.0431 (adv=0.5870, cycle=0.6597, id=0.0912)
[11/200] D=0.4804 G=1.0403 (adv=0.5967, cycle=0.6343, id=0.0887)
[12/200] D=0.4772 G=1.0268 (adv=0.5937, cycle=0.6516, id=0.0866)
[13/200] D=0.4775 G=1.0023 (adv=0.5789, cycle=0.6402, id=0.0847)
[14/200] D=0.4773 G=0.9874 (adv=0.5846, cycle=0.6265, id=0.0806)
[15/200] D=0.4838 G=0.9889 (adv=0.5832, cycle=0.6378, id=0.0811)
[16/200] D=0.4853 G=0.9626 (adv=0.5773, cycle=0.6490, id=0.0771)
[17/200] D=0.4783 G=0.9564 (adv=0.5649, cycle=0.6233, id=0.0783)
[18/200] D=0.4772 G=0.9714 (adv=0.5838, cycle=0.6371, id=0.0775)
[19/200] D=0.4769 G=0.9532 (adv=0.5770, cycle=0.6244, id=0.0752)
[20/200] D=0.4747 G=0.9802 (adv=0.5982, cycle=0.6325, id=0.0764)
[21/200] D=0.4658 G=0.9943 (adv=0.6082, cycle=0.6366, id=0.0772)
[22/200] D=0.4773 G=0.9619 (adv=0.5941, cycle=0.6285, id=0.0736)
[23/200] D=0.4591 G=1.0053 (adv=0.6324, cycle=0.6570, id=0.0746)
[24/200] D=0.4697 G=0.9776 (adv=0.6112, cycle=0.6424, id=0.0733)
[25/200] D=0.4707 G=0.9521 (adv=0.5988, cycle=0.6162, id=0.0707)
[26/200] D=0.4764 G=0.9450 (adv=0.5986, cycle=0.6376, id=0.0693)
[27/200] D=0.4686 G=0.9671 (adv=0.6123, cycle=0.6391, id=0.0710)
[28/200] D=0.4709 G=0.9404 (adv=0.6014, cycle=0.6095, id=0.0678)
[29/200] D=0.4702 G=0.9475 (adv=0.6053, cycle=0.6256, id=0.0684)
