[1/200] D=0.3897 G=7.3567 (adv=0.8508, cycle=0.2955, id=0.2764)
[2/200] D=0.3246 G=5.3373 (adv=0.9509, cycle=0.2036, id=0.1777)
[3/200] D=0.3315 G=4.8841 (adv=0.9340, cycle=0.1858, id=0.1552)
[4/200] D=0.3451 G=4.5260 (adv=0.8954, cycle=0.1732, id=0.1377)
[5/200] D=0.3187 G=4.3785 (adv=0.9449, cycle=0.1647, id=0.1284)
[6/200] D=0.3129 G=4.3116 (adv=0.9853, cycle=0.1600, id=0.1235)
[7/200] D=0.3449 G=4.0993 (adv=0.9629, cycle=0.1514, id=0.1155)
[8/200] D=0.3077 G=4.0479 (adv=0.9744, cycle=0.1483, id=0.1131)
[9/200] D=0.3051 G=4.0069 (adv=0.9870, cycle=0.1459, id=0.1109)
[10/200] D=0.3593 G=3.9499 (adv=0.9931, cycle=0.1439, id=0.1064)
[11/200] D=0.3094 G=3.7647 (adv=0.9492, cycle=0.1365, id=0.1024)
[12/200] D=0.3039 G=3.7808 (adv=1.0113, cycle=0.1348, id=0.0996)
[13/200] D=0.3110 G=3.7361 (adv=1.0084, cycle=0.1329, id=0.0979)
[14/200] D=0.3009 G=3.7272 (adv=1.0216, cycle=0.1328, id=0.0952)
[15/200] D=0.3198 G=3.6615 (adv=1.0033, cycle=0.1304, id=0.0936)
[16/200] D=0.3145 G=3.6007 (adv=1.0095, cycle=0.1279, id=0.0896)
[17/200] D=0.3510 G=3.5532 (adv=0.9708, cycle=0.1269, id=0.0906)
[18/200] D=0.3113 G=3.5998 (adv=0.9994, cycle=0.1285, id=0.0898)
[19/200] D=0.3306 G=3.5389 (adv=0.9951, cycle=0.1260, id=0.0872)
[20/200] D=0.3705 G=3.3978 (adv=0.9590, cycle=0.1198, id=0.0857)
[21/200] D=0.3162 G=3.4108 (adv=0.9819, cycle=0.1200, id=0.0839)
[22/200] D=0.3133 G=3.4524 (adv=0.9959, cycle=0.1222, id=0.0830)
