[1/200] D=0.4486 G=2.9175 (adv=0.7079, cycle=0.3034, id=0.2770)
[2/200] D=0.4049 G=2.2557 (adv=0.7246, cycle=0.2154, id=0.1816)
[3/200] D=0.4125 G=2.1053 (adv=0.7292, cycle=0.1978, id=0.1548)
[4/200] D=0.4184 G=2.0084 (adv=0.7411, cycle=0.1834, id=0.1402)
[5/200] D=0.4075 G=1.9224 (adv=0.7377, cycle=0.1720, id=0.1299)
[6/200] D=0.4252 G=1.8823 (adv=0.7327, cycle=0.1675, id=0.1250)
[7/200] D=0.4140 G=1.8668 (adv=0.7530, cycle=0.1639, id=0.1178)
[8/200] D=0.4129 G=1.8554 (adv=0.7461, cycle=0.1642, id=0.1153)
[9/200] D=0.4169 G=1.8173 (adv=0.7358, cycle=0.1598, id=0.1131)
[10/200] D=0.4127 G=1.8063 (adv=0.7520, cycle=0.1568, id=0.1082)
[11/200] D=0.4238 G=1.7913 (adv=0.7405, cycle=0.1569, id=0.1065)
[12/200] D=0.4152 G=1.7535 (adv=0.7391, cycle=0.1523, id=0.1011)
[13/200] D=0.4123 G=1.7579 (adv=0.7475, cycle=0.1511, id=0.1021)
[14/200] D=0.4353 G=1.7159 (adv=0.7357, cycle=0.1473, id=0.0975)
[15/200] D=0.4145 G=1.7085 (adv=0.7192, cycle=0.1489, id=0.0979)
[16/200] D=0.4194 G=1.6591 (adv=0.7120, cycle=0.1429, id=0.0930)
[17/200] D=0.4230 G=1.6933 (adv=0.7231, cycle=0.1464, id=0.0953)
[18/200] D=0.5109 G=1.9465 (adv=0.7858, cycle=0.1702, id=0.1238)
[19/200] D=0.4305 G=1.5996 (adv=0.6798, cycle=0.1384, id=0.0911)
[20/200] D=0.4243 G=1.6281 (adv=0.7094, cycle=0.1387, id=0.0901)
[21/200] D=0.4210 G=1.6265 (adv=0.7103, cycle=0.1389, id=0.0888)
[22/200] D=0.4499 G=1.6651 (adv=0.7463, cycle=0.1399, id=0.0877)
[23/200] D=0.4278 G=1.5332 (adv=0.6706, cycle=0.1304, id=0.0842)
[24/200] D=0.4198 G=1.6000 (adv=0.7058, cycle=0.1359, id=0.0860)
[25/200] D=0.4219 G=1.5839 (adv=0.7073, cycle=0.1337, id=0.0832)
[26/200] D=0.4283 G=1.6014 (adv=0.7142, cycle=0.1356, id=0.0837)
[27/200] D=0.4216 G=1.6303 (adv=0.7250, cycle=0.1388, id=0.0846)
[28/200] D=0.4187 G=1.6124 (adv=0.7286, cycle=0.1352, id=0.0831)
[29/200] D=0.4317 G=1.5821 (adv=0.7221, cycle=0.1315, id=0.0809)
[30/200] D=0.4192 G=1.6083 (adv=0.7238, cycle=0.1350, id=0.0839)
[31/200] D=0.4231 G=1.5979 (adv=0.7393, cycle=0.1313, id=0.0809)
[32/200] D=0.4197 G=1.6049 (adv=0.7299, cycle=0.1346, id=0.0809)
[33/200] D=0.4295 G=1.5748 (adv=0.7237, cycle=0.1303, id=0.0798)
[34/200] D=0.4253 G=1.5915 (adv=0.7323, cycle=0.1317, id=0.0804)
[35/200] D=0.4297 G=1.5659 (adv=0.7291, cycle=0.1291, id=0.0764)
[36/200] D=0.4195 G=1.5646 (adv=0.7212, cycle=0.1302, id=0.0770)
[37/200] D=0.4190 G=1.5729 (adv=0.7301, cycle=0.1298, id=0.0775)
[38/200] D=0.4247 G=1.5850 (adv=0.7427, cycle=0.1301, id=0.0766)
[39/200] D=0.4975 G=1.5991 (adv=0.7558, cycle=0.1284, id=0.0805)
[40/200] D=0.4217 G=1.4910 (adv=0.6807, cycle=0.1245, id=0.0751)
[41/200] D=0.4164 G=1.5287 (adv=0.7118, cycle=0.1253, id=0.0761)
[42/200] D=0.4195 G=1.5316 (adv=0.7172, cycle=0.1258, id=0.0742)
[43/200] D=0.4201 G=1.5283 (adv=0.7221, cycle=0.1245, id=0.0736)
[44/200] D=0.4282 G=1.5409 (adv=0.7237, cycle=0.1255, id=0.0758)
[45/200] D=0.4188 G=1.5232 (adv=0.7211, cycle=0.1234, id=0.0741)
[46/200] D=0.4201 G=1.5456 (adv=0.7248, cycle=0.1268, id=0.0746)
[47/200] D=0.4260 G=1.5509 (adv=0.7437, cycle=0.1243, id=0.0743)
[48/200] D=0.4243 G=1.5213 (adv=0.7193, cycle=0.1243, id=0.0722)
[49/200] D=0.4164 G=1.5665 (adv=0.7458, cycle=0.1277, id=0.0729)
[50/200] D=0.4243 G=1.5212 (adv=0.7287, cycle=0.1228, id=0.0713)
[51/200] D=0.4295 G=1.5086 (adv=0.7248, cycle=0.1212, id=0.0711)
[52/200] D=0.4216 G=1.5257 (adv=0.7268, cycle=0.1235, id=0.0726)
[53/200] D=0.4291 G=1.5259 (adv=0.7351, cycle=0.1224, id=0.0715)
[54/200] D=0.4592 G=1.5297 (adv=0.7293, cycle=0.1237, id=0.0727)
[55/200] D=0.4166 G=1.4905 (adv=0.7045, cycle=0.1214, id=0.0716)
[56/200] D=0.4165 G=1.5184 (adv=0.7242, cycle=0.1231, id=0.0715)
[57/200] D=0.4223 G=1.5034 (adv=0.7213, cycle=0.1211, id=0.0707)
[58/200] D=0.4227 G=1.5361 (adv=0.7405, cycle=0.1233, id=0.0716)
[59/200] D=0.4230 G=1.5086 (adv=0.7306, cycle=0.1205, id=0.0701)
[60/200] D=0.4214 G=1.5020 (adv=0.7319, cycle=0.1194, id=0.0692)
[61/200] D=0.6709 G=1.9733 (adv=1.0085, cycle=0.1481, id=0.0898)
[62/200] D=0.4626 G=1.3491 (adv=0.6136, cycle=0.1115, id=0.0712)
[63/200] D=0.4660 G=1.3041 (adv=0.6111, cycle=0.1055, id=0.0663)
[64/200] D=0.4643 G=1.2966 (adv=0.6117, cycle=0.1037, id=0.0665)
[65/200] D=0.4604 G=1.2892 (adv=0.6151, cycle=0.1032, id=0.0633)
[66/200] D=0.4556 G=1.3200 (adv=0.6332, cycle=0.1050, id=0.0647)
[67/200] D=0.4435 G=1.3296 (adv=0.6395, cycle=0.1060, id=0.0640)
[68/200] D=0.4312 G=1.4089 (adv=0.6762, cycle=0.1135, id=0.0662)
[69/200] D=0.4221 G=1.4299 (adv=0.7001, cycle=0.1129, id=0.0662)
[70/200] D=0.4220 G=1.4485 (adv=0.7174, cycle=0.1130, id=0.0665)
[71/200] D=0.4206 G=1.4452 (adv=0.7151, cycle=0.1131, id=0.0659)
[72/200] D=0.4192 G=1.4675 (adv=0.7213, cycle=0.1158, id=0.0669)
[73/200] D=0.4240 G=1.4563 (adv=0.7280, cycle=0.1130, id=0.0653)
[74/200] D=0.4239 G=1.4734 (adv=0.7255, cycle=0.1167, id=0.0657)
[75/200] D=0.4259 G=1.4565 (adv=0.7171, cycle=0.1151, id=0.0655)
[76/200] D=0.4213 G=1.4889 (adv=0.7319, cycle=0.1173, id=0.0682)
[77/200] D=0.4202 G=1.4412 (adv=0.7250, cycle=0.1116, id=0.0632)
[78/200] D=0.4261 G=1.4539 (adv=0.7273, cycle=0.1127, id=0.0652)
[79/200] D=0.6280 G=1.6983 (adv=0.8331, cycle=0.1340, id=0.0782)
[80/200] D=0.4412 G=1.4218 (adv=0.6200, cycle=0.1228, id=0.0751)
[81/200] D=0.4576 G=1.3181 (adv=0.6218, cycle=0.1068, id=0.0649)
[82/200] D=0.4534 G=1.2845 (adv=0.6112, cycle=0.1039, id=0.0616)
[83/200] D=0.4537 G=1.2964 (adv=0.6330, cycle=0.1022, id=0.0610)
[84/200] D=0.4435 G=1.3252 (adv=0.6468, cycle=0.1048, id=0.0618)
[85/200] D=0.4259 G=1.3697 (adv=0.6801, cycle=0.1070, id=0.0619)
[86/200] D=0.4186 G=1.3893 (adv=0.6952, cycle=0.1078, id=0.0621)
[87/200] D=0.4216 G=1.4092 (adv=0.7051, cycle=0.1096, id=0.0625)
[88/200] D=0.4256 G=1.4231 (adv=0.7162, cycle=0.1102, id=0.0623)
[89/200] D=0.4173 G=1.4238 (adv=0.7145, cycle=0.1104, id=0.0629)
[90/200] D=0.4230 G=1.4351 (adv=0.7287, cycle=0.1098, id=0.0628)
[91/200] D=0.4234 G=1.4322 (adv=0.7255, cycle=0.1102, id=0.0622)
[92/200] D=0.4229 G=1.4008 (adv=0.7177, cycle=0.1069, id=0.0594)
[93/200] D=0.4200 G=1.4484 (adv=0.7370, cycle=0.1103, id=0.0639)
[94/200] D=0.4219 G=1.4261 (adv=0.7289, cycle=0.1087, id=0.0615)
[95/200] D=0.6114 G=1.7645 (adv=0.9116, cycle=0.1314, id=0.0784)
[96/200] D=0.4331 G=1.4660 (adv=0.6826, cycle=0.1205, id=0.0723)
[97/200] D=0.4433 G=1.3670 (adv=0.6748, cycle=0.1071, id=0.0627)
[98/200] D=0.4409 G=1.3329 (adv=0.6719, cycle=0.1022, id=0.0601)
[99/200] D=0.6046 G=1.5192 (adv=0.6842, cycle=0.1298, id=0.0744)
[100/200] D=0.4484 G=1.2355 (adv=0.5950, cycle=0.0984, id=0.0595)
[101/200] D=0.4328 G=1.2688 (adv=0.6303, cycle=0.0980, id=0.0593)
[102/200] D=0.4176 G=1.3175 (adv=0.6624, cycle=0.1016, id=0.0589)
[103/200] D=0.4086 G=1.3525 (adv=0.6852, cycle=0.1032, id=0.0605)
[104/200] D=0.4098 G=1.3730 (adv=0.7015, cycle=0.1044, id=0.0598)
[105/200] D=0.4065 G=1.3958 (adv=0.7252, cycle=0.1041, id=0.0600)
[106/200] D=0.4115 G=1.3719 (adv=0.7105, cycle=0.1030, id=0.0587)
[107/200] D=0.4114 G=1.3862 (adv=0.7173, cycle=0.1042, id=0.0590)
[108/200] D=0.4111 G=1.3977 (adv=0.7304, cycle=0.1037, id=0.0595)
[109/200] D=0.4142 G=1.4050 (adv=0.7298, cycle=0.1049, id=0.0602)
[110/200] D=0.5709 G=1.5620 (adv=0.8194, cycle=0.1163, id=0.0644)
[111/200] D=0.4725 G=1.2245 (adv=0.5945, cycle=0.0970, id=0.0580)
[112/200] D=0.4671 G=1.1874 (adv=0.5937, cycle=0.0914, id=0.0547)
[113/200] D=0.4613 G=1.2061 (adv=0.6093, cycle=0.0920, id=0.0548)
[114/200] D=0.4540 G=1.2073 (adv=0.6141, cycle=0.0914, id=0.0545)
[115/200] D=0.4457 G=1.2546 (adv=0.6398, cycle=0.0949, id=0.0562)
[116/200] D=0.4268 G=1.2737 (adv=0.6635, cycle=0.0948, id=0.0545)
[117/200] D=0.4215 G=1.3127 (adv=0.6877, cycle=0.0977, id=0.0547)
[118/200] D=0.4149 G=1.3414 (adv=0.7034, cycle=0.0999, id=0.0555)
[119/200] D=0.4154 G=1.3193 (adv=0.6994, cycle=0.0971, id=0.0538)
[120/200] D=0.4140 G=1.3371 (adv=0.7182, cycle=0.0968, id=0.0539)
[121/200] D=0.4146 G=1.3367 (adv=0.7143, cycle=0.0975, id=0.0540)
[122/200] D=0.4097 G=1.3603 (adv=0.7348, cycle=0.0980, id=0.0542)
[123/200] D=0.4077 G=1.3587 (adv=0.7333, cycle=0.0977, id=0.0547)
[124/200] D=0.4043 G=1.3534 (adv=0.7363, cycle=0.0966, id=0.0537)
[125/200] D=0.4056 G=1.3674 (adv=0.7455, cycle=0.0974, id=0.0539)
[126/200] D=0.4063 G=1.3595 (adv=0.7392, cycle=0.0976, id=0.0529)
[127/200] D=0.4014 G=1.3643 (adv=0.7506, cycle=0.0960, id=0.0534)
[128/200] D=0.4010 G=1.3673 (adv=0.7566, cycle=0.0957, id=0.0530)
[129/200] D=0.3963 G=1.3928 (adv=0.7624, cycle=0.0991, id=0.0540)
[130/200] D=0.3987 G=1.3753 (adv=0.7560, cycle=0.0972, id=0.0533)
[131/200] D=0.3960 G=1.3803 (adv=0.7664, cycle=0.0966, id=0.0524)
[132/200] D=0.3947 G=1.3821 (adv=0.7713, cycle=0.0963, id=0.0517)
[133/200] D=0.3901 G=1.3900 (adv=0.7805, cycle=0.0958, id=0.0522)
[134/200] D=0.3911 G=1.3838 (adv=0.7829, cycle=0.0947, id=0.0509)
[135/200] D=0.3877 G=1.3861 (adv=0.7794, cycle=0.0954, id=0.0518)
[136/200] D=0.3867 G=1.3954 (adv=0.7893, cycle=0.0954, id=0.0516)
[137/200] D=0.3818 G=1.4132 (adv=0.7958, cycle=0.0968, id=0.0533)
[138/200] D=0.3836 G=1.4122 (adv=0.8034, cycle=0.0962, id=0.0512)
[139/200] D=0.3803 G=1.4078 (adv=0.8042, cycle=0.0951, id=0.0511)
[140/200] D=0.3766 G=1.4091 (adv=0.8095, cycle=0.0946, id=0.0506)
[141/200] D=0.3763 G=1.4157 (adv=0.8171, cycle=0.0944, id=0.0505)
[142/200] D=0.3751 G=1.4257 (adv=0.8257, cycle=0.0945, id=0.0511)
[143/200] D=0.3710 G=1.4277 (adv=0.8290, cycle=0.0946, id=0.0504)
[144/200] D=0.3703 G=1.4172 (adv=0.8268, cycle=0.0930, id=0.0501)
[145/200] D=0.3688 G=1.4352 (adv=0.8371, cycle=0.0945, id=0.0503)
[146/200] D=0.3652 G=1.4344 (adv=0.8433, cycle=0.0930, id=0.0505)
[147/200] D=0.3651 G=1.4383 (adv=0.8398, cycle=0.0945, id=0.0505)
[148/200] D=0.3566 G=1.4631 (adv=0.8693, cycle=0.0938, id=0.0500)
[149/200] D=0.3589 G=1.4563 (adv=0.8654, cycle=0.0935, id=0.0495)
[150/200] D=0.3560 G=1.4619 (adv=0.8715, cycle=0.0931, id=0.0499)
[151/200] D=0.3575 G=1.4538 (adv=0.8698, cycle=0.0923, id=0.0490)
[152/200] D=0.3525 G=1.4723 (adv=0.8779, cycle=0.0935, id=0.0507)
[153/200] D=0.3522 G=1.4640 (adv=0.8771, cycle=0.0926, id=0.0495)
[154/200] D=0.3484 G=1.4765 (adv=0.8960, cycle=0.0919, id=0.0483)
[155/200] D=0.3457 G=1.4892 (adv=0.9015, cycle=0.0927, id=0.0498)
[156/200] D=0.3469 G=1.4793 (adv=0.8931, cycle=0.0924, id=0.0497)
[157/200] D=0.3431 G=1.4851 (adv=0.9064, cycle=0.0914, id=0.0487)
[158/200] D=0.3413 G=1.4882 (adv=0.9070, cycle=0.0920, id=0.0485)
[159/200] D=0.3417 G=1.4923 (adv=0.9079, cycle=0.0921, id=0.0496)
[160/200] D=0.3393 G=1.4938 (adv=0.9166, cycle=0.0911, id=0.0486)
[161/200] D=0.3395 G=1.4904 (adv=0.9140, cycle=0.0910, id=0.0486)
[162/200] D=0.3375 G=1.4947 (adv=0.9214, cycle=0.0905, id=0.0482)
[163/200] D=0.3360 G=1.4965 (adv=0.9233, cycle=0.0905, id=0.0484)
[164/200] D=0.3378 G=1.4892 (adv=0.9197, cycle=0.0897, id=0.0484)
[165/200] D=0.3351 G=1.4775 (adv=0.9180, cycle=0.0885, id=0.0468)
[166/200] D=0.3341 G=1.4876 (adv=0.9222, cycle=0.0894, id=0.0474)
[167/200] D=0.3350 G=1.4918 (adv=0.9274, cycle=0.0891, id=0.0475)
[168/200] D=0.3325 G=1.4939 (adv=0.9287, cycle=0.0894, id=0.0473)
[169/200] D=0.3354 G=1.4835 (adv=0.9280, cycle=0.0878, id=0.0466)
[170/200] D=0.3327 G=1.4860 (adv=0.9306, cycle=0.0877, id=0.0468)
[171/200] D=0.3317 G=1.4891 (adv=0.9317, cycle=0.0880, id=0.0471)
[172/200] D=0.3317 G=1.4919 (adv=0.9291, cycle=0.0887, id=0.0477)
[173/200] D=0.3338 G=1.4945 (adv=0.9285, cycle=0.0896, id=0.0472)
[174/200] D=0.3311 G=1.4752 (adv=0.9315, cycle=0.0860, id=0.0454)
[175/200] D=0.3314 G=1.4925 (adv=0.9344, cycle=0.0878, id=0.0476)
[176/200] D=0.3296 G=1.4817 (adv=0.9305, cycle=0.0870, id=0.0465)
[177/200] D=0.3298 G=1.4975 (adv=0.9361, cycle=0.0886, id=0.0473)
[178/200] D=0.3330 G=1.4672 (adv=0.9237, cycle=0.0859, id=0.0456)
[179/200] D=0.3284 G=1.4880 (adv=0.9399, cycle=0.0865, id=0.0462)
[180/200] D=0.3290 G=1.4777 (adv=0.9351, cycle=0.0859, id=0.0452)
[181/200] D=0.3287 G=1.4828 (adv=0.9351, cycle=0.0865, id=0.0461)
[182/200] D=0.3280 G=1.4778 (adv=0.9364, cycle=0.0856, id=0.0453)
[183/200] D=0.3309 G=1.4774 (adv=0.9301, cycle=0.0863, id=0.0464)
[184/200] D=0.3286 G=1.4671 (adv=0.9303, cycle=0.0848, id=0.0452)
[185/200] D=0.3284 G=1.4698 (adv=0.9272, cycle=0.0857, id=0.0457)
[186/200] D=0.3272 G=1.4661 (adv=0.9334, cycle=0.0843, id=0.0446)
[187/200] D=0.3277 G=1.4730 (adv=0.9382, cycle=0.0844, id=0.0452)
[188/200] D=0.3287 G=1.4658 (adv=0.9324, cycle=0.0841, id=0.0451)
[189/200] D=0.3263 G=1.4618 (adv=0.9326, cycle=0.0835, id=0.0447)
[190/200] D=0.3270 G=1.4635 (adv=0.9337, cycle=0.0837, id=0.0446)
[191/200] D=0.3260 G=1.4501 (adv=0.9368, cycle=0.0815, id=0.0424)
[192/200] D=0.3245 G=1.4737 (adv=0.9432, cycle=0.0838, id=0.0447)
[193/200] D=0.3255 G=1.4524 (adv=0.9365, cycle=0.0816, id=0.0432)
[194/200] D=0.3248 G=1.4635 (adv=0.9350, cycle=0.0834, id=0.0446)
[195/200] D=0.3252 G=1.4510 (adv=0.9295, cycle=0.0825, id=0.0435)
[196/200] D=0.3265 G=1.4551 (adv=0.9261, cycle=0.0833, id=0.0450)
[197/200] D=0.3223 G=1.4609 (adv=0.9410, cycle=0.0820, id=0.0439)
[198/200] D=0.3229 G=1.4549 (adv=0.9413, cycle=0.0812, id=0.0430)
[199/200] D=0.3240 G=1.4484 (adv=0.9345, cycle=0.0813, id=0.0430)
[200/200] D=0.3231 G=1.4355 (adv=0.9270, cycle=0.0804, id=0.0426)
