[1/200] D=0.3471 G=8.2578 (adv=0.9431, cycle=0.2909, id=0.2993)
[2/200] D=0.2704 G=6.0430 (adv=1.0923, cycle=0.1982, id=0.1974)
[3/200] D=0.2753 G=5.6479 (adv=1.0942, cycle=0.1833, id=0.1777)
[4/200] D=0.3150 G=5.1495 (adv=0.9720, cycle=0.1687, id=0.1607)
[5/200] D=0.2813 G=4.9425 (adv=1.0392, cycle=0.1584, id=0.1470)
[6/200] D=0.2823 G=4.9534 (adv=1.0769, cycle=0.1580, id=0.1433)
[7/200] D=0.2666 G=4.7527 (adv=1.0979, cycle=0.1489, id=0.1354)
[8/200] D=0.3577 G=4.5828 (adv=1.0382, cycle=0.1447, id=0.1303)
[9/200] D=0.2725 G=4.4478 (adv=1.0498, cycle=0.1384, id=0.1260)
[10/200] D=0.2880 G=4.4184 (adv=1.0744, cycle=0.1373, id=0.1197)
[11/200] D=0.2800 G=4.3132 (adv=1.0577, cycle=0.1336, id=0.1168)
[12/200] D=0.3396 G=4.3085 (adv=1.1404, cycle=0.1302, id=0.1130)
[13/200] D=0.3573 G=3.9252 (adv=0.8903, cycle=0.1241, id=0.1104)
[14/200] D=0.2971 G=3.9321 (adv=1.0015, cycle=0.1205, id=0.1042)
[15/200] D=0.2906 G=4.0135 (adv=1.0448, cycle=0.1222, id=0.1048)
[16/200] D=0.2800 G=4.1063 (adv=1.1123, cycle=0.1240, id=0.1030)
[17/200] D=0.2769 G=4.0463 (adv=1.0916, cycle=0.1221, id=0.1026)
[18/200] D=0.2807 G=4.0120 (adv=1.0860, cycle=0.1209, id=0.1016)
[19/200] D=0.3327 G=3.8586 (adv=1.0126, cycle=0.1178, id=0.0980)
[20/200] D=0.2829 G=3.9228 (adv=1.0959, cycle=0.1172, id=0.0968)
[21/200] D=0.3170 G=3.9845 (adv=1.1088, cycle=0.1197, id=0.0962)
[22/200] D=0.3266 G=3.6567 (adv=0.9678, cycle=0.1111, id=0.0936)
[23/200] D=0.4500 G=3.7924 (adv=1.0798, cycle=0.1124, id=0.0928)
[24/200] D=0.3608 G=3.4102 (adv=0.8404, cycle=0.1063, id=0.0889)
[25/200] D=0.3098 G=3.5471 (adv=0.9578, cycle=0.1074, id=0.0882)
[26/200] D=0.2939 G=3.6848 (adv=1.0290, cycle=0.1105, id=0.0892)
[27/200] D=0.3500 G=3.6722 (adv=0.9992, cycle=0.1113, id=0.0896)
[28/200] D=0.2905 G=3.6251 (adv=1.0180, cycle=0.1087, id=0.0866)
[29/200] D=0.2976 G=3.6161 (adv=1.0335, cycle=0.1078, id=0.0854)
[30/200] D=0.2941 G=3.7108 (adv=1.0454, cycle=0.1112, id=0.0883)
[31/200] D=0.3009 G=3.6135 (adv=1.0413, cycle=0.1074, id=0.0846)
[32/200] D=0.3055 G=3.6689 (adv=1.0386, cycle=0.1102, id=0.0854)
[33/200] D=0.3064 G=3.6148 (adv=1.0358, cycle=0.1080, id=0.0838)
[34/200] D=0.2922 G=3.7192 (adv=1.0539, cycle=0.1117, id=0.0863)
[35/200] D=0.4488 G=3.6653 (adv=1.0766, cycle=0.1085, id=0.0839)
[36/200] D=0.3206 G=3.3837 (adv=0.9396, cycle=0.1021, id=0.0806)
[37/200] D=0.2993 G=3.5860 (adv=1.0144, cycle=0.1080, id=0.0821)
[38/200] D=0.3020 G=3.5110 (adv=1.0227, cycle=0.1043, id=0.0803)
[39/200] D=0.3084 G=3.5568 (adv=1.0306, cycle=0.1057, id=0.0824)
[40/200] D=0.2966 G=3.6060 (adv=1.0402, cycle=0.1079, id=0.0816)
[41/200] D=0.5613 G=3.5817 (adv=1.0770, cycle=0.1044, id=0.0835)
[42/200] D=0.3580 G=3.0872 (adv=0.8198, cycle=0.0941, id=0.0773)
[43/200] D=0.3323 G=3.2034 (adv=0.8853, cycle=0.0966, id=0.0772)
[44/200] D=0.3252 G=3.2849 (adv=0.9276, cycle=0.0982, id=0.0785)
[45/200] D=0.3140 G=3.3481 (adv=0.9822, cycle=0.0989, id=0.0778)
[46/200] D=0.4376 G=3.2749 (adv=0.9439, cycle=0.0973, id=0.0769)
[47/200] D=0.3035 G=3.2629 (adv=0.9442, cycle=0.0968, id=0.0764)
[48/200] D=0.3053 G=3.3215 (adv=0.9728, cycle=0.0986, id=0.0752)
[49/200] D=0.3083 G=3.3588 (adv=1.0094, cycle=0.0987, id=0.0750)
[50/200] D=0.3019 G=3.4738 (adv=1.0336, cycle=0.1028, id=0.0770)
[51/200] D=0.3162 G=3.3352 (adv=1.0028, cycle=0.0980, id=0.0746)
[52/200] D=0.2935 G=3.5442 (adv=1.0757, cycle=0.1043, id=0.0766)
[53/200] D=0.3103 G=3.4365 (adv=1.0394, cycle=0.1008, id=0.0761)
[54/200] D=0.4728 G=3.2255 (adv=0.9390, cycle=0.0955, id=0.0753)
[55/200] D=0.3738 G=2.9933 (adv=0.8086, cycle=0.0910, id=0.0729)
[56/200] D=0.3207 G=3.1888 (adv=0.9440, cycle=0.0940, id=0.0730)
[57/200] D=0.3051 G=3.2507 (adv=0.9934, cycle=0.0948, id=0.0722)
[58/200] D=0.3054 G=3.4077 (adv=1.0486, cycle=0.0993, id=0.0746)
[59/200] D=0.3076 G=3.3052 (adv=1.0086, cycle=0.0963, id=0.0740)
[60/200] D=0.3173 G=3.2991 (adv=1.0145, cycle=0.0964, id=0.0713)
[61/200] D=0.3154 G=3.2803 (adv=1.0057, cycle=0.0958, id=0.0716)
[62/200] D=0.3138 G=3.3383 (adv=1.0280, cycle=0.0974, id=0.0725)
[63/200] D=0.3125 G=3.3516 (adv=1.0304, cycle=0.0980, id=0.0721)
[64/200] D=0.5877 G=3.6410 (adv=1.1833, cycle=0.1036, id=0.0770)
[65/200] D=0.3703 G=2.9957 (adv=0.8784, cycle=0.0885, id=0.0696)
[66/200] D=0.3595 G=3.0037 (adv=0.8862, cycle=0.0885, id=0.0696)
[67/200] D=0.3406 G=3.1100 (adv=0.9384, cycle=0.0912, id=0.0697)
[68/200] D=0.4868 G=3.0329 (adv=0.8791, cycle=0.0901, id=0.0702)
[69/200] D=0.3473 G=2.8853 (adv=0.8272, cycle=0.0859, id=0.0679)
[70/200] D=0.3107 G=3.0484 (adv=0.9274, cycle=0.0890, id=0.0682)
[71/200] D=0.2964 G=3.1813 (adv=0.9914, cycle=0.0921, id=0.0696)
[72/200] D=0.2997 G=3.1914 (adv=1.0030, cycle=0.0923, id=0.0687)
[73/200] D=0.3072 G=3.1860 (adv=1.0145, cycle=0.0914, id=0.0685)
[74/200] D=0.3087 G=3.2171 (adv=1.0194, cycle=0.0929, id=0.0679)
[75/200] D=0.3120 G=3.2493 (adv=1.0294, cycle=0.0936, id=0.0696)
