[1/200] D=0.3958 G=4.2071 (adv=0.8120, cycle=0.3048, id=0.3473)
[2/200] D=0.3334 G=3.2552 (adv=0.9092, cycle=0.2113, id=0.2334)
[3/200] D=0.3736 G=2.9932 (adv=0.7818, cycle=0.1993, id=0.2182)
[4/200] D=0.3645 G=2.8646 (adv=0.8582, cycle=0.1805, id=0.2012)
[5/200] D=0.3924 G=2.6498 (adv=0.8355, cycle=0.1632, id=0.1819)
[6/200] D=0.3578 G=2.6391 (adv=0.8509, cycle=0.1608, id=0.1804)
[7/200] D=0.3522 G=2.6103 (adv=0.8805, cycle=0.1556, id=0.1735)
[8/200] D=0.3578 G=2.5825 (adv=0.8931, cycle=0.1521, id=0.1686)
[9/200] D=0.3598 G=2.5195 (adv=0.8729, cycle=0.1482, id=0.1643)
[10/200] D=0.3735 G=2.5125 (adv=0.8841, cycle=0.1469, id=0.1598)
[11/200] D=0.3611 G=2.4699 (adv=0.8497, cycle=0.1464, id=0.1567)
[12/200] D=0.3677 G=2.3943 (adv=0.8512, cycle=0.1394, id=0.1496)
[13/200] D=0.3618 G=2.4025 (adv=0.8583, cycle=0.1395, id=0.1493)
[14/200] D=0.3637 G=2.3787 (adv=0.8682, cycle=0.1366, id=0.1443)
[15/200] D=0.4222 G=2.3651 (adv=0.8581, cycle=0.1363, id=0.1443)
[16/200] D=0.3912 G=2.1494 (adv=0.7711, cycle=0.1243, id=0.1356)
[17/200] D=0.3731 G=2.2972 (adv=0.8320, cycle=0.1324, id=0.1409)
[18/200] D=0.3667 G=2.3099 (adv=0.8380, cycle=0.1334, id=0.1376)
[19/200] D=0.4520 G=2.2511 (adv=0.8201, cycle=0.1297, id=0.1341)
[20/200] D=0.3846 G=2.1244 (adv=0.7652, cycle=0.1229, id=0.1298)
[21/200] D=0.3695 G=2.1884 (adv=0.8160, cycle=0.1244, id=0.1281)
[22/200] D=0.3723 G=2.2449 (adv=0.8432, cycle=0.1273, id=0.1284)
[21/200] D=0.3690 G=2.2017 (adv=0.8242, cycle=0.1249, id=0.1282)
[22/200] D=0.3758 G=2.2360 (adv=0.8396, cycle=0.1268, id=0.1283)
[23/200] D=0.3820 G=2.2090 (adv=0.8461, cycle=0.1237, id=0.1255)
[24/200] D=0.4647 G=2.3021 (adv=0.8689, cycle=0.1300, id=0.1329)
[25/200] D=0.4040 G=2.0366 (adv=0.7402, cycle=0.1174, id=0.1223)
[26/200] D=0.3841 G=2.0906 (adv=0.7839, cycle=0.1187, id=0.1199)
[27/200] D=0.3794 G=2.1718 (adv=0.8179, cycle=0.1233, id=0.1211)
[28/200] D=0.3807 G=2.1474 (adv=0.8285, cycle=0.1200, id=0.1186)
[29/200] D=0.3834 G=2.1222 (adv=0.8145, cycle=0.1191, id=0.1164)
[30/200] D=0.3731 G=2.1618 (adv=0.8369, cycle=0.1206, id=0.1188)
[31/200] D=0.3796 G=2.1607 (adv=0.8430, cycle=0.1202, id=0.1155)
[32/200] D=0.4455 G=2.2447 (adv=0.8886, cycle=0.1237, id=0.1188)
[33/200] D=0.3812 G=2.0286 (adv=0.7737, cycle=0.1141, id=0.1139)
[34/200] D=0.3754 G=2.1105 (adv=0.8144, cycle=0.1183, id=0.1136)
[35/200] D=0.3792 G=2.1035 (adv=0.8297, cycle=0.1163, id=0.1108)
[36/200] D=0.3781 G=2.1149 (adv=0.8357, cycle=0.1168, id=0.1112)
[37/200] D=0.3790 G=2.1145 (adv=0.8379, cycle=0.1166, id=0.1105)
[38/200] D=0.4880 G=2.2870 (adv=0.9302, cycle=0.1238, id=0.1184)
[39/200] D=0.4000 G=1.9693 (adv=0.7518, cycle=0.1106, id=0.1117)
[40/200] D=0.3996 G=1.9788 (adv=0.7682, cycle=0.1103, id=0.1078)
[41/200] D=0.3885 G=2.0159 (adv=0.8071, cycle=0.1102, id=0.1072)
[42/200] D=0.3809 G=2.0248 (adv=0.8078, cycle=0.1112, id=0.1055)
[43/200] D=0.3744 G=2.0563 (adv=0.8291, cycle=0.1121, id=0.1063)
[44/200] D=0.4279 G=2.0142 (adv=0.8018, cycle=0.1106, id=0.1067)
[45/200] D=0.3722 G=2.0102 (adv=0.7979, cycle=0.1107, id=0.1050)
[46/200] D=0.3771 G=2.0509 (adv=0.8257, cycle=0.1121, id=0.1042)
[47/200] D=0.3822 G=2.0466 (adv=0.8329, cycle=0.1109, id=0.1049)
[48/200] D=0.4182 G=2.0404 (adv=0.8224, cycle=0.1113, id=0.1047)
[49/200] D=0.3712 G=2.0132 (adv=0.8163, cycle=0.1092, id=0.1045)
