[1/200] D=0.3815 G=4.9999 (adv=0.8491, cycle=0.2749, id=0.2514, sky=0.1444)
[2/200] D=0.3404 G=3.9876 (adv=0.8880, cycle=0.2078, id=0.1770, sky=0.1371)
[3/200] D=0.3527 G=3.6241 (adv=0.8824, cycle=0.1857, id=0.1503, sky=0.1332)
[4/200] D=0.3352 G=3.4760 (adv=0.9268, cycle=0.1732, id=0.1369, sky=0.1328)
[5/200] D=0.3384 G=3.3864 (adv=0.9407, cycle=0.1671, id=0.1285, sky=0.1320)
[6/200] D=0.3300 G=3.3172 (adv=0.9569, cycle=0.1621, id=0.1219, sky=0.1301)
[7/200] D=0.3362 G=3.2367 (adv=0.9536, cycle=0.1579, id=0.1152, sky=0.1279)
[8/200] D=0.3370 G=3.1721 (adv=0.9484, cycle=0.1545, id=0.1103, sky=0.1271)
[9/200] D=0.3407 G=3.1242 (adv=0.9616, cycle=0.1509, id=0.1057, sky=0.1250)
[10/200] D=0.4141 G=2.9104 (adv=0.8488, cycle=0.1425, id=0.1024, sky=0.1247)
[11/200] D=0.3394 G=2.9858 (adv=0.9186, cycle=0.1443, id=0.0999, sky=0.1243)
[12/200] D=0.3421 G=2.9770 (adv=0.9427, cycle=0.1425, id=0.0974, sky=0.1225)
[13/200] D=0.3480 G=2.9563 (adv=0.9241, cycle=0.1434, id=0.0951, sky=0.1222)
[14/200] D=0.3494 G=2.9339 (adv=0.9384, cycle=0.1407, id=0.0932, sky=0.1222)
[15/200] D=0.3480 G=2.9143 (adv=0.9286, cycle=0.1401, id=0.0923, sky=0.1233)
[16/200] D=0.3506 G=2.8657 (adv=0.9235, cycle=0.1375, id=0.0890, sky=0.1220)
[17/200] D=0.3960 G=2.8896 (adv=0.9168, cycle=0.1394, id=0.0912, sky=0.1223)
[18/200] D=0.3683 G=2.7546 (adv=0.8824, cycle=0.1318, id=0.0865, sky=0.1211)
[19/200] D=0.3455 G=2.7693 (adv=0.8983, cycle=0.1326, id=0.0847, sky=0.1214)
[20/200] D=0.3514 G=2.7735 (adv=0.9095, cycle=0.1322, id=0.0841, sky=0.1214)
[21/200] D=0.3570 G=2.7713 (adv=0.9132, cycle=0.1323, id=0.0827, sky=0.1212)
[22/200] D=0.3545 G=2.7733 (adv=0.9221, cycle=0.1313, id=0.0834, sky=0.1211)
[23/200] D=0.3525 G=2.7603 (adv=0.9173, cycle=0.1306, id=0.0829, sky=0.1224)
[24/200] D=0.3603 G=2.7070 (adv=0.8949, cycle=0.1288, id=0.0805, sky=0.1218)
[25/200] D=0.3713 G=2.6675 (adv=0.8898, cycle=0.1261, id=0.0790, sky=0.1211)
[26/200] D=0.3547 G=2.6839 (adv=0.9042, cycle=0.1268, id=0.0781, sky=0.1211)
[27/200] D=0.5361 G=3.0527 (adv=1.0258, cycle=0.1438, id=0.0935, sky=0.1213)
[28/200] D=0.3933 G=2.5154 (adv=0.7860, cycle=0.1216, id=0.0784, sky=0.1217)
[29/200] D=0.4219 G=2.4375 (adv=0.7786, cycle=0.1164, id=0.0750, sky=0.1204)
[30/200] D=0.3596 G=2.5092 (adv=0.8220, cycle=0.1187, id=0.0759, sky=0.1207)
[31/200] D=0.3589 G=2.5681 (adv=0.8682, cycle=0.1208, id=0.0741, sky=0.1212)
[32/200] D=0.3555 G=2.5815 (adv=0.8816, cycle=0.1208, id=0.0742, sky=0.1209)
[33/200] D=0.3642 G=2.5569 (adv=0.8726, cycle=0.1199, id=0.0729, sky=0.1209)
[34/200] D=0.3668 G=2.5688 (adv=0.8748, cycle=0.1210, id=0.0726, sky=0.1205)
[35/200] D=0.3677 G=2.5431 (adv=0.8851, cycle=0.1180, id=0.0717, sky=0.1197)
[36/200] D=0.3681 G=2.5449 (adv=0.8833, cycle=0.1185, id=0.0713, sky=0.1198)
[37/200] D=0.3711 G=2.5321 (adv=0.8775, cycle=0.1183, id=0.0704, sky=0.1198)
[38/200] D=0.4516 G=2.4391 (adv=0.8258, cycle=0.1148, id=0.0693, sky=0.1183)
[31/200] D=0.3630 G=2.5417 (adv=0.8549, cycle=0.1198, id=0.0735, sky=0.1208)
