[1/200] D=0.4008 G=5.2158 (adv=0.8272, cycle=0.2955, id=0.2730, sky=0.0688)
[2/200] D=0.3158 G=4.0133 (adv=0.9336, cycle=0.2103, id=0.1831, sky=0.0615)
[3/200] D=0.3697 G=3.6291 (adv=0.8134, cycle=0.1961, id=0.1585, sky=0.0620)
[4/200] D=0.3569 G=3.4504 (adv=0.8731, cycle=0.1804, id=0.1425, sky=0.0608)
[5/200] D=0.3560 G=3.2745 (adv=0.8780, cycle=0.1682, id=0.1309, sky=0.0602)
[6/200] D=0.3548 G=3.2067 (adv=0.8635, cycle=0.1649, id=0.1265, sky=0.0614)
[7/200] D=0.3782 G=3.1052 (adv=0.8842, cycle=0.1571, id=0.1176, sky=0.0620)
[8/200] D=0.3514 G=3.0294 (adv=0.8633, cycle=0.1530, id=0.1153, sky=0.0596)
[9/200] D=0.3549 G=3.0178 (adv=0.8776, cycle=0.1519, id=0.1122, sky=0.0600)
[10/200] D=0.3484 G=3.0001 (adv=0.9065, cycle=0.1503, id=0.1067, sky=0.0577)
[11/200] D=0.3557 G=2.9701 (adv=0.9064, cycle=0.1477, id=0.1055, sky=0.0590)
[12/200] D=0.3801 G=2.8914 (adv=0.9084, cycle=0.1421, id=0.1008, sky=0.0582)
[13/200] D=0.3878 G=2.7201 (adv=0.8338, cycle=0.1340, id=0.0976, sky=0.0587)
[14/200] D=0.3399 G=2.8062 (adv=0.8950, cycle=0.1376, id=0.0954, sky=0.0583)
[15/200] D=0.3548 G=2.7912 (adv=0.8840, cycle=0.1378, id=0.0940, sky=0.0598)
[16/200] D=0.3568 G=2.7345 (adv=0.8735, cycle=0.1349, id=0.0906, sky=0.0587)
[17/200] D=0.4587 G=2.6854 (adv=0.8427, cycle=0.1326, id=0.0916, sky=0.0586)
[18/200] D=0.3659 G=2.6922 (adv=0.8466, cycle=0.1336, id=0.0903, sky=0.0581)
[19/200] D=0.3530 G=2.6674 (adv=0.8613, cycle=0.1313, id=0.0870, sky=0.0583)
[20/200] D=0.3663 G=2.6942 (adv=0.8876, cycle=0.1313, id=0.0871, sky=0.0577)
[21/200] D=0.3603 G=2.6206 (adv=0.8547, cycle=0.1283, id=0.0850, sky=0.0574)
[22/200] D=0.3649 G=2.6542 (adv=0.8744, cycle=0.1300, id=0.0844, sky=0.0582)
[23/200] D=0.3762 G=2.6059 (adv=0.8492, cycle=0.1282, id=0.0835, sky=0.0571)
[24/200] D=0.3997 G=2.6256 (adv=0.8708, cycle=0.1281, id=0.0832, sky=0.0582)
[25/200] D=0.3602 G=2.5357 (adv=0.8252, cycle=0.1247, id=0.0810, sky=0.0585)
[26/200] D=0.3651 G=2.5854 (adv=0.8543, cycle=0.1265, id=0.0814, sky=0.0585)
[27/200] D=0.3648 G=2.6023 (adv=0.8709, cycle=0.1275, id=0.0799, sky=0.0570)
[28/200] D=0.5992 G=2.6794 (adv=0.9699, cycle=0.1240, id=0.0824, sky=0.0580)
[29/200] D=0.4185 G=2.2885 (adv=0.7312, cycle=0.1116, id=0.0764, sky=0.0586)
[30/200] D=0.4181 G=2.3088 (adv=0.7357, cycle=0.1127, id=0.0778, sky=0.0575)
[31/200] D=0.4100 G=2.2744 (adv=0.7412, cycle=0.1099, id=0.0751, sky=0.0586)
[32/200] D=0.4037 G=2.3234 (adv=0.7660, cycle=0.1127, id=0.0746, sky=0.0577)
[33/200] D=0.4107 G=2.3080 (adv=0.7669, cycle=0.1110, id=0.0750, sky=0.0563)
[34/200] D=0.3853 G=2.3972 (adv=0.8110, cycle=0.1147, id=0.0762, sky=0.0576)
[35/200] D=0.3951 G=2.3310 (adv=0.8017, cycle=0.1112, id=0.0719, sky=0.0579)
[36/200] D=0.3830 G=2.3847 (adv=0.8225, cycle=0.1138, id=0.0732, sky=0.0579)
[37/200] D=0.3756 G=2.3847 (adv=0.8211, cycle=0.1140, id=0.0732, sky=0.0581)
[38/200] D=0.3778 G=2.4471 (adv=0.8535, cycle=0.1170, id=0.0729, sky=0.0588)
[39/200] D=0.5731 G=2.6020 (adv=0.8739, cycle=0.1264, id=0.0812, sky=0.0576)
[40/200] D=0.4424 G=2.1138 (adv=0.6622, cycle=0.1042, id=0.0705, sky=0.0570)
[41/200] D=0.4283 G=2.1219 (adv=0.6866, cycle=0.1033, id=0.0693, sky=0.0557)
[42/200] D=0.4205 G=2.1302 (adv=0.7055, cycle=0.1031, id=0.0676, sky=0.0556)
[43/200] D=0.4084 G=2.1630 (adv=0.7305, cycle=0.1036, id=0.0681, sky=0.0560)
[44/200] D=0.4872 G=2.2939 (adv=0.8096, cycle=0.1076, id=0.0705, sky=0.0562)
[45/200] D=0.4253 G=2.0743 (adv=0.6814, cycle=0.0995, id=0.0682, sky=0.0575)
[46/200] D=0.3905 G=2.1645 (adv=0.7357, cycle=0.1034, id=0.0676, sky=0.0564)
[47/200] D=0.3782 G=2.2176 (adv=0.7786, cycle=0.1047, id=0.0670, sky=0.0569)
[48/200] D=0.3718 G=2.2826 (adv=0.8078, cycle=0.1080, id=0.0671, sky=0.0589)
[49/200] D=0.3752 G=2.3076 (adv=0.8283, cycle=0.1085, id=0.0671, sky=0.0582)
[50/200] D=0.3727 G=2.3270 (adv=0.8325, cycle=0.1101, id=0.0671, sky=0.0578)
[51/200] D=0.3837 G=2.3135 (adv=0.8369, cycle=0.1084, id=0.0671, sky=0.0567)
[52/200] D=0.3737 G=2.3185 (adv=0.8385, cycle=0.1088, id=0.0670, sky=0.0569)
[53/200] D=0.3755 G=2.3544 (adv=0.8508, cycle=0.1108, id=0.0676, sky=0.0574)
[54/200] D=0.3794 G=2.3286 (adv=0.8421, cycle=0.1095, id=0.0668, sky=0.0580)
[55/200] D=0.3798 G=2.3087 (adv=0.8384, cycle=0.1082, id=0.0656, sky=0.0598)
[56/200] D=0.3790 G=2.3327 (adv=0.8505, cycle=0.1095, id=0.0659, sky=0.0577)
[57/200] D=0.3780 G=2.3103 (adv=0.8515, cycle=0.1076, id=0.0651, sky=0.0568)
[58/200] D=0.3782 G=2.3487 (adv=0.8618, cycle=0.1099, id=0.0661, sky=0.0579)
[59/200] D=0.3772 G=2.2972 (adv=0.8442, cycle=0.1071, id=0.0647, sky=0.0584)
[60/200] D=0.3785 G=2.2895 (adv=0.8467, cycle=0.1064, id=0.0642, sky=0.0577)
[61/200] D=0.4723 G=2.2904 (adv=0.8484, cycle=0.1056, id=0.0656, sky=0.0578)
[62/200] D=0.3931 G=2.1611 (adv=0.7603, cycle=0.1025, id=0.0635, sky=0.0576)
[63/200] D=0.3812 G=2.2021 (adv=0.7977, cycle=0.1031, id=0.0631, sky=0.0577)
[64/200] D=0.8447 G=3.0146 (adv=1.1569, cycle=0.1374, id=0.0851, sky=0.0580)
[65/200] D=0.4015 G=2.1380 (adv=0.7463, cycle=0.1012, id=0.0645, sky=0.0577)
[66/200] D=0.4017 G=2.1284 (adv=0.7474, cycle=0.1006, id=0.0633, sky=0.0586)
[67/200] D=0.3869 G=2.1366 (adv=0.7718, cycle=0.0993, id=0.0627, sky=0.0586)
[68/200] D=0.3975 G=2.1515 (adv=0.7697, cycle=0.1012, id=0.0623, sky=0.0584)
[69/200] D=0.3972 G=2.1637 (adv=0.7946, cycle=0.1005, id=0.0613, sky=0.0578)
[70/200] D=0.4281 G=2.2112 (adv=0.8333, cycle=0.1012, id=0.0619, sky=0.0568)
[71/200] D=0.4068 G=2.0110 (adv=0.6986, cycle=0.0954, id=0.0602, sky=0.0571)
[72/200] D=0.3721 G=2.1348 (adv=0.7824, cycle=0.0996, id=0.0597, sky=0.0578)
[73/200] D=0.3622 G=2.2189 (adv=0.8365, cycle=0.1013, id=0.0622, sky=0.0581)
[74/200] D=0.3719 G=2.2125 (adv=0.8325, cycle=0.1017, id=0.0608, sky=0.0589)
[75/200] D=0.3724 G=2.2674 (adv=0.8511, cycle=0.1049, id=0.0618, sky=0.0587)
[76/200] D=0.4717 G=2.2678 (adv=0.8271, cycle=0.1054, id=0.0655, sky=0.0590)
[77/200] D=0.3800 G=2.0814 (adv=0.7607, cycle=0.0970, id=0.0589, sky=0.0567)
[78/200] D=0.3703 G=2.1851 (adv=0.8149, cycle=0.1010, id=0.0604, sky=0.0577)
[79/200] D=0.3658 G=2.2783 (adv=0.8446, cycle=0.1066, id=0.0619, sky=0.0578)
[80/200] D=0.3715 G=2.2028 (adv=0.8328, cycle=0.1012, id=0.0599, sky=0.0583)
