[1/200] D=0.3571 G=5.9211 (adv=0.9548, cycle=0.3338, id=0.3085, sem=0.0853)
[2/200] D=0.2974 G=4.8664 (adv=1.0290, cycle=0.2593, id=0.2306, sem=0.0920)
[3/200] D=0.3109 G=4.6930 (adv=1.1078, cycle=0.2450, id=0.2084, sem=0.0930)
[4/200] D=0.2632 G=4.5087 (adv=1.1293, cycle=0.2335, id=0.1903, sem=0.0928)
[5/200] D=0.2619 G=4.3625 (adv=1.1510, cycle=0.2239, id=0.1762, sem=0.0909)
[6/200] D=0.3001 G=4.2083 (adv=1.1886, cycle=0.2138, id=0.1582, sem=0.0912)
[7/200] D=0.2727 G=3.9378 (adv=1.0721, cycle=0.2032, id=0.1493, sem=0.0875)
[8/200] D=0.2576 G=4.0491 (adv=1.1659, cycle=0.2065, id=0.1450, sem=0.0929)
[9/200] D=0.2652 G=3.9621 (adv=1.1665, cycle=0.2012, id=0.1374, sem=0.0967)
[10/200] D=0.2565 G=3.9964 (adv=1.1976, cycle=0.2012, id=0.1375, sem=0.0992)
[11/200] D=0.3322 G=4.0569 (adv=1.1541, cycle=0.2082, id=0.1455, sem=0.0930)
[12/200] D=0.2740 G=3.7210 (adv=1.0959, cycle=0.1892, id=0.1274, sem=0.0964)
[13/200] D=0.3173 G=3.6518 (adv=1.0702, cycle=0.1865, id=0.1234, sem=0.0993)
[14/200] D=0.2708 G=3.7159 (adv=1.1215, cycle=0.1882, id=0.1220, sem=0.1022)
[15/200] D=0.2723 G=3.7534 (adv=1.1602, cycle=0.1893, id=0.1197, sem=0.1019)
[16/200] D=0.2840 G=3.8846 (adv=1.1797, cycle=0.1997, id=0.1216, sem=0.1000)
[17/200] D=0.3060 G=3.7882 (adv=1.1170, cycle=0.1979, id=0.1187, sem=0.0981)
[18/200] D=0.2999 G=3.7826 (adv=1.1088, cycle=0.1979, id=0.1204, sem=0.0934)
[19/200] D=0.3040 G=3.7129 (adv=1.1454, cycle=0.1892, id=0.1161, sem=0.0949)
[20/200] D=0.3126 G=3.6037 (adv=1.0996, cycle=0.1858, id=0.1107, sem=0.0927)
[21/200] D=0.3067 G=3.6433 (adv=1.1267, cycle=0.1857, id=0.1137, sem=0.0912)
[22/200] D=0.3142 G=3.5070 (adv=1.0889, cycle=0.1789, id=0.1070, sem=0.0942)
[23/200] D=0.3000 G=3.7063 (adv=1.1619, cycle=0.1887, id=0.1128, sem=0.0936)
[24/200] D=0.4375 G=3.3307 (adv=0.9757, cycle=0.1736, id=0.1059, sem=0.0895)
[25/200] D=0.3217 G=3.2800 (adv=1.0004, cycle=0.1678, id=0.1024, sem=0.0899)
[26/200] D=0.3147 G=3.3299 (adv=1.0588, cycle=0.1678, id=0.1001, sem=0.0930)
[27/200] D=0.3077 G=3.4187 (adv=1.0952, cycle=0.1721, id=0.1021, sem=0.0926)
[28/200] D=0.3172 G=3.3229 (adv=1.0602, cycle=0.1672, id=0.0995, sem=0.0930)
[29/200] D=0.3129 G=3.3849 (adv=1.0958, cycle=0.1694, id=0.0998, sem=0.0957)
[30/200] D=0.3043 G=3.4485 (adv=1.1278, cycle=0.1721, id=0.1010, sem=0.0945)
[31/200] D=0.3198 G=3.2589 (adv=1.0561, cycle=0.1627, id=0.0961, sem=0.0951)
[32/200] D=0.3161 G=3.3249 (adv=1.0854, cycle=0.1665, id=0.0960, sem=0.0945)
[33/200] D=0.3153 G=3.2434 (adv=1.0635, cycle=0.1619, id=0.0933, sem=0.0943)
[34/200] D=0.5421 G=2.9010 (adv=0.8889, cycle=0.1461, id=0.0927, sem=0.0874)
[35/200] D=0.3924 G=2.7223 (adv=0.7976, cycle=0.1387, id=0.0899, sem=0.0878)
[36/200] D=0.3800 G=2.7579 (adv=0.8379, cycle=0.1391, id=0.0879, sem=0.0892)
[37/200] D=0.3640 G=2.8542 (adv=0.8913, cycle=0.1431, id=0.0885, sem=0.0897)
[38/200] D=0.3266 G=3.0547 (adv=0.9958, cycle=0.1514, id=0.0908, sem=0.0906)
[39/200] D=0.3241 G=3.0642 (adv=1.0157, cycle=0.1512, id=0.0889, sem=0.0922)
