[1/200] D=0.4235 G=5.1792 (adv=0.8319, cycle=0.2971, id=0.2686, sem=0.0331)
[2/200] D=0.3957 G=4.0923 (adv=0.8657, cycle=0.2236, id=0.1922, sem=0.0293)
[3/200] D=0.2985 G=3.9372 (adv=0.9933, cycle=0.2045, id=0.1740, sem=0.0289)
[4/200] D=0.2784 G=3.9733 (adv=1.1241, cycle=0.1998, id=0.1643, sem=0.0295)
[5/200] D=0.3094 G=3.8644 (adv=1.1327, cycle=0.1930, id=0.1545, sem=0.0296)
[6/200] D=0.3198 G=3.6569 (adv=1.0590, cycle=0.1832, id=0.1473, sem=0.0297)
[7/200] D=0.2915 G=3.6112 (adv=1.0799, cycle=0.1798, id=0.1408, sem=0.0298)
[8/200] D=0.2811 G=3.6061 (adv=1.1075, cycle=0.1786, id=0.1366, sem=0.0297)
[9/200] D=0.2878 G=3.5761 (adv=1.1103, cycle=0.1774, id=0.1321, sem=0.0310)
[10/200] D=0.2900 G=3.5295 (adv=1.1140, cycle=0.1738, id=0.1293, sem=0.0307)
[11/200] D=0.2961 G=3.4565 (adv=1.0992, cycle=0.1699, id=0.1255, sem=0.0310)
[12/200] D=0.2934 G=3.4715 (adv=1.1149, cycle=0.1701, id=0.1248, sem=0.0315)
[13/200] D=0.2938 G=3.4380 (adv=1.1133, cycle=0.1681, id=0.1224, sem=0.0316)
[14/200] D=0.2895 G=3.4124 (adv=1.1277, cycle=0.1655, id=0.1195, sem=0.0317)
[15/200] D=0.4251 G=3.2752 (adv=1.0459, cycle=0.1603, id=0.1194, sem=0.0298)
[16/200] D=0.3362 G=3.0309 (adv=0.9594, cycle=0.1477, id=0.1129, sem=0.0303)
[17/200] D=0.3181 G=3.1008 (adv=1.0106, cycle=0.1502, id=0.1115, sem=0.0309)
[18/200] D=0.2997 G=3.2147 (adv=1.0808, cycle=0.1540, id=0.1125, sem=0.0312)
[19/200] D=0.2940 G=3.2519 (adv=1.1009, cycle=0.1558, id=0.1123, sem=0.0319)
[20/200] D=0.2890 G=3.2827 (adv=1.1297, cycle=0.1566, id=0.1110, sem=0.0319)
[21/200] D=0.4975 G=3.2251 (adv=1.0259, cycle=0.1591, id=0.1155, sem=0.0311)
[22/200] D=0.4381 G=2.7186 (adv=0.7823, cycle=0.1383, id=0.1048, sem=0.0290)
