[1/200] D=0.4048 G=5.6701 (adv=0.9224, cycle=0.3218, id=0.3028, sem=0.0159)
[2/200] D=0.2989 G=4.4256 (adv=1.0322, cycle=0.2317, id=0.2130, sem=0.0113)
[3/200] D=0.3017 G=4.1434 (adv=1.0815, cycle=0.2098, id=0.1905, sem=0.0113)
[4/200] D=0.2804 G=4.2464 (adv=1.2054, cycle=0.2097, id=0.1865, sem=0.0120)
[5/200] D=0.2832 G=4.0913 (adv=1.1918, cycle=0.2001, id=0.1773, sem=0.0126)
[6/200] D=0.4364 G=3.8031 (adv=1.1378, cycle=0.1832, id=0.1645, sem=0.0103)
[7/200] D=0.3604 G=3.6596 (adv=0.9981, cycle=0.1837, id=0.1629, sem=0.0103)
[8/200] D=0.3468 G=3.4170 (adv=0.9121, cycle=0.1729, id=0.1531, sem=0.0104)
[9/200] D=0.3222 G=3.5452 (adv=1.0104, cycle=0.1757, id=0.1534, sem=0.0106)
[10/200] D=0.2881 G=3.6764 (adv=1.1501, cycle=0.1756, id=0.1519, sem=0.0102)
[11/200] D=0.2467 G=3.8715 (adv=1.2826, cycle=0.1809, id=0.1538, sem=0.0110)
[12/200] D=0.2595 G=3.8593 (adv=1.2700, cycle=0.1811, id=0.1534, sem=0.0116)
[13/200] D=0.3908 G=3.5047 (adv=1.0634, cycle=0.1703, id=0.1454, sem=0.0110)
[14/200] D=0.3507 G=3.2549 (adv=0.9343, cycle=0.1616, id=0.1389, sem=0.0107)
[15/200] D=0.3442 G=3.3422 (adv=1.0371, cycle=0.1609, id=0.1372, sem=0.0106)
[16/200] D=0.2955 G=3.3925 (adv=1.0570, cycle=0.1638, id=0.1373, sem=0.0107)
[17/200] D=0.2733 G=3.6197 (adv=1.1817, cycle=0.1711, id=0.1431, sem=0.0114)
[18/200] D=0.2488 G=3.7312 (adv=1.2836, cycle=0.1721, id=0.1431, sem=0.0115)
[19/200] D=0.2482 G=3.7012 (adv=1.2888, cycle=0.1702, id=0.1397, sem=0.0116)
[20/200] D=0.3102 G=3.5373 (adv=1.2001, cycle=0.1644, id=0.1363, sem=0.0120)
[21/200] D=0.3138 G=3.6495 (adv=1.2693, cycle=0.1676, id=0.1386, sem=0.0114)
[22/200] D=0.2844 G=3.4708 (adv=1.1274, cycle=0.1648, id=0.1368, sem=0.0114)
[23/200] D=0.2462 G=3.6386 (adv=1.2644, cycle=0.1679, id=0.1367, sem=0.0117)
[24/200] D=0.2389 G=3.6559 (adv=1.2999, cycle=0.1665, id=0.1362, sem=0.0102)
[25/200] D=0.2263 G=3.6743 (adv=1.3329, cycle=0.1666, id=0.1327, sem=0.0119)
[26/200] D=0.2282 G=3.7091 (adv=1.3500, cycle=0.1679, id=0.1338, sem=0.0107)
[27/200] D=0.2409 G=3.6148 (adv=1.2710, cycle=0.1677, id=0.1309, sem=0.0124)
[28/200] D=0.4089 G=3.4378 (adv=1.1689, cycle=0.1615, id=0.1284, sem=0.0113)
[29/200] D=0.3791 G=2.9362 (adv=0.8369, cycle=0.1483, id=0.1212, sem=0.0103)
[30/200] D=0.3286 G=3.1247 (adv=0.9622, cycle=0.1534, id=0.1235, sem=0.0104)
[31/200] D=0.3148 G=3.1865 (adv=1.0329, cycle=0.1536, id=0.1214, sem=0.0101)
[32/200] D=0.2786 G=3.4165 (adv=1.1810, cycle=0.1597, id=0.1255, sem=0.0109)
[33/200] D=0.2823 G=3.4161 (adv=1.1950, cycle=0.1593, id=0.1235, sem=0.0104)
[34/200] D=0.2769 G=3.3840 (adv=1.1823, cycle=0.1585, id=0.1210, sem=0.0114)
[35/200] D=0.2705 G=3.3937 (adv=1.1607, cycle=0.1612, id=0.1219, sem=0.0112)
[36/200] D=0.2387 G=3.7921 (adv=1.3408, cycle=0.1775, id=0.1330, sem=0.0114)
[37/200] D=0.2344 G=3.7278 (adv=1.3030, cycle=0.1751, id=0.1325, sem=0.0116)
[38/200] D=0.2945 G=3.5533 (adv=1.2485, cycle=0.1673, id=0.1239, sem=0.0120)
[39/200] D=0.2682 G=3.3720 (adv=1.1354, cycle=0.1624, id=0.1201, sem=0.0118)
[40/200] D=0.2321 G=3.5882 (adv=1.2728, cycle=0.1691, id=0.1226, sem=0.0117)
[41/200] D=0.2093 G=3.7805 (adv=1.4101, cycle=0.1726, id=0.1266, sem=0.0117)
[42/200] D=0.3616 G=3.5471 (adv=1.2845, cycle=0.1638, id=0.1228, sem=0.0107)
[43/200] D=0.2892 G=3.1488 (adv=1.0488, cycle=0.1507, id=0.1164, sem=0.0107)
[44/200] D=0.2725 G=3.2291 (adv=1.1144, cycle=0.1527, id=0.1152, sem=0.0115)
[45/200] D=0.2676 G=3.3704 (adv=1.1988, cycle=0.1571, id=0.1177, sem=0.0118)
[46/200] D=0.2598 G=3.3585 (adv=1.2179, cycle=0.1550, id=0.1156, sem=0.0126)
[47/200] D=0.3961 G=3.2138 (adv=1.0626, cycle=0.1551, id=0.1179, sem=0.0112)
[48/200] D=0.2978 G=3.1591 (adv=1.0404, cycle=0.1536, id=0.1141, sem=0.0121)
[49/200] D=0.2741 G=3.2886 (adv=1.1597, cycle=0.1545, id=0.1143, sem=0.0121)
[50/200] D=0.2525 G=3.3795 (adv=1.2394, cycle=0.1555, id=0.1144, sem=0.0129)
[51/200] D=0.2617 G=3.4041 (adv=1.2277, cycle=0.1583, id=0.1161, sem=0.0130)
[52/200] D=0.2495 G=3.3591 (adv=1.2528, cycle=0.1533, id=0.1121, sem=0.0129)
[53/200] D=0.2464 G=3.4189 (adv=1.2900, cycle=0.1546, id=0.1140, sem=0.0130)
[54/200] D=0.2348 G=3.4417 (adv=1.3114, cycle=0.1556, id=0.1121, sem=0.0134)
[55/200] D=0.3528 G=3.5640 (adv=1.4387, cycle=0.1550, id=0.1126, sem=0.0121)
[56/200] D=0.3307 G=2.9738 (adv=1.0286, cycle=0.1391, id=0.1085, sem=0.0112)
[57/200] D=0.3028 G=3.0580 (adv=1.0967, cycle=0.1403, id=0.1093, sem=0.0117)
[58/200] D=0.2648 G=3.1894 (adv=1.1646, cycle=0.1467, id=0.1092, sem=0.0122)
