[1/200] D=0.4280 G=5.9014 (adv=0.9004, cycle=0.3633, id=0.3421)
[2/200] D=0.4015 G=4.1922 (adv=0.8806, cycle=0.2408, id=0.2259)
[3/200] D=0.3167 G=4.0070 (adv=1.0189, cycle=0.2199, id=0.1973)
[4/200] D=0.2641 G=3.9494 (adv=1.0622, cycle=0.2151, id=0.1842)
[5/200] D=0.2694 G=3.8825 (adv=1.1078, cycle=0.2073, id=0.1754)
[6/200] D=0.3617 G=3.6900 (adv=1.0670, cycle=0.1965, id=0.1646)
[7/200] D=0.2630 G=3.6300 (adv=1.0860, cycle=0.1917, id=0.1568)
[8/200] D=0.2570 G=3.7348 (adv=1.1805, cycle=0.1937, id=0.1544)
[9/200] D=0.2418 G=3.8387 (adv=1.2265, cycle=0.2004, id=0.1520)
[10/200] D=0.2979 G=3.6678 (adv=1.2155, cycle=0.1868, id=0.1460)
[11/200] D=0.3398 G=3.3349 (adv=1.0352, cycle=0.1745, id=0.1387)
[12/200] D=0.2521 G=3.4955 (adv=1.1521, cycle=0.1797, id=0.1367)
[13/200] D=0.2504 G=3.4837 (adv=1.1594, cycle=0.1785, id=0.1349)
[14/200] D=0.2656 G=3.4484 (adv=1.1725, cycle=0.1756, id=0.1301)
[15/200] D=0.2567 G=3.4294 (adv=1.1490, cycle=0.1766, id=0.1287)
[16/200] D=0.2776 G=3.3287 (adv=1.0860, cycle=0.1741, id=0.1253)
[17/200] D=0.2934 G=3.3729 (adv=1.1150, cycle=0.1758, id=0.1250)
[18/200] D=0.6351 G=3.5826 (adv=1.3155, cycle=0.1768, id=0.1248)
[19/200] D=0.3928 G=2.7442 (adv=0.7910, cycle=0.1502, id=0.1129)
[20/200] D=0.3719 G=2.7554 (adv=0.8407, cycle=0.1474, id=0.1102)
[21/200] D=0.3351 G=2.9074 (adv=0.9252, cycle=0.1537, id=0.1114)
[22/200] D=0.3690 G=3.0595 (adv=1.0452, cycle=0.1565, id=0.1122)
[23/200] D=0.3219 G=2.8802 (adv=0.9185, cycle=0.1522, id=0.1098)
[24/200] D=0.2928 G=3.1703 (adv=1.0531, cycle=0.1661, id=0.1140)
[25/200] D=0.2998 G=3.0826 (adv=1.0517, cycle=0.1590, id=0.1102)
[26/200] D=0.2968 G=3.1311 (adv=1.0817, cycle=0.1612, id=0.1094)
[27/200] D=0.4394 G=2.8286 (adv=0.9064, cycle=0.1497, id=0.1062)
[28/200] D=0.2858 G=3.0095 (adv=1.0146, cycle=0.1569, id=0.1064)
[29/200] D=0.2938 G=3.0413 (adv=1.0572, cycle=0.1563, id=0.1051)
[30/200] D=0.2982 G=3.0921 (adv=1.0818, cycle=0.1583, id=0.1069)
[31/200] D=0.3057 G=3.0694 (adv=1.0708, cycle=0.1581, id=0.1043)
[32/200] D=0.2913 G=3.1490 (adv=1.1140, cycle=0.1615, id=0.1049)
[33/200] D=0.6084 G=3.7635 (adv=1.2815, cycle=0.1933, id=0.1374)
[34/200] D=0.3295 G=2.8667 (adv=0.9389, cycle=0.1506, id=0.1054)
[35/200] D=0.3385 G=2.8089 (adv=0.9525, cycle=0.1451, id=0.1014)
[36/200] D=0.3349 G=2.8248 (adv=0.9701, cycle=0.1450, id=0.1012)
[37/200] D=0.3279 G=2.8325 (adv=0.9855, cycle=0.1448, id=0.0997)
[38/200] D=0.3240 G=2.8589 (adv=1.0023, cycle=0.1462, id=0.0986)
[39/200] D=0.3172 G=2.9199 (adv=1.0376, cycle=0.1485, id=0.0993)
[40/200] D=0.3108 G=2.8670 (adv=1.0209, cycle=0.1452, id=0.0984)
[41/200] D=0.3106 G=2.9167 (adv=1.0616, cycle=0.1462, id=0.0982)
[42/200] D=0.3028 G=2.9497 (adv=1.0729, cycle=0.1486, id=0.0977)
[43/200] D=0.5745 G=2.6483 (adv=0.8536, cycle=0.1395, id=0.1000)
[44/200] D=0.3527 G=2.5040 (adv=0.8204, cycle=0.1318, id=0.0914)
[45/200] D=0.3085 G=2.7319 (adv=0.9782, cycle=0.1387, id=0.0917)
[46/200] D=0.3020 G=2.8795 (adv=1.0637, cycle=0.1438, id=0.0944)
[47/200] D=0.2958 G=2.9103 (adv=1.0807, cycle=0.1455, id=0.0937)
[48/200] D=0.2993 G=2.9502 (adv=1.0989, cycle=0.1472, id=0.0947)
[49/200] D=0.3021 G=2.9349 (adv=1.0994, cycle=0.1455, id=0.0950)
[50/200] D=0.5295 G=3.2808 (adv=1.1321, cycle=0.1663, id=0.1215)
[51/200] D=0.3512 G=2.6740 (adv=0.9559, cycle=0.1344, id=0.0935)
[52/200] D=0.3408 G=2.6271 (adv=0.9458, cycle=0.1319, id=0.0905)
[53/200] D=0.3389 G=2.6474 (adv=0.9678, cycle=0.1317, id=0.0906)
[54/200] D=0.3260 G=2.6657 (adv=0.9900, cycle=0.1318, id=0.0895)
[55/200] D=0.3160 G=2.7124 (adv=1.0133, cycle=0.1339, id=0.0899)
[56/200] D=0.3063 G=2.8122 (adv=1.0620, cycle=0.1385, id=0.0914)
[57/200] D=0.3044 G=2.7640 (adv=1.0586, cycle=0.1348, id=0.0893)
[58/200] D=0.2927 G=2.9247 (adv=1.1239, cycle=0.1435, id=0.0913)
[59/200] D=0.2898 G=2.8588 (adv=1.0884, cycle=0.1409, id=0.0903)
[60/200] D=0.2999 G=2.8876 (adv=1.1206, cycle=0.1404, id=0.0908)
[61/200] D=0.6473 G=2.8391 (adv=1.0474, cycle=0.1417, id=0.0938)
[62/200] D=0.6462 G=2.3714 (adv=0.7678, cycle=0.1243, id=0.0901)
[63/200] D=0.4644 G=1.9069 (adv=0.5639, cycle=0.1020, id=0.0806)
[64/200] D=0.4476 G=1.9130 (adv=0.5989, cycle=0.0999, id=0.0788)
[65/200] D=0.4302 G=1.9627 (adv=0.6399, cycle=0.1015, id=0.0770)
[66/200] D=0.4153 G=2.0666 (adv=0.6849, cycle=0.1067, id=0.0787)
[67/200] D=0.3839 G=2.2119 (adv=0.7668, cycle=0.1124, id=0.0802)
