[1/200] D=0.4192 G=5.8653 (adv=0.9138, cycle=0.3382, id=0.3139)
[2/200] D=0.3044 G=4.5358 (adv=1.0132, cycle=0.2471, id=0.2104)
[3/200] D=0.2867 G=4.3071 (adv=1.1021, cycle=0.2295, id=0.1821)
[4/200] D=0.2532 G=4.3628 (adv=1.2140, cycle=0.2283, id=0.1732)
[5/200] D=0.2821 G=4.1477 (adv=1.2112, cycle=0.2146, id=0.1582)
[6/200] D=0.2411 G=4.0974 (adv=1.2175, cycle=0.2125, id=0.1511)
[7/200] D=0.2519 G=4.0899 (adv=1.2258, cycle=0.2125, id=0.1479)
[8/200] D=0.2478 G=3.9698 (adv=1.2162, cycle=0.2053, id=0.1401)
[9/200] D=0.2550 G=3.9747 (adv=1.2347, cycle=0.2052, id=0.1377)
[10/200] D=0.2905 G=3.8364 (adv=1.1761, cycle=0.1996, id=0.1329)
[11/200] D=0.2418 G=3.9227 (adv=1.2297, cycle=0.2034, id=0.1318)
[12/200] D=0.2588 G=3.9781 (adv=1.2333, cycle=0.2082, id=0.1326)
[13/200] D=0.2643 G=3.8603 (adv=1.2052, cycle=0.2021, id=0.1269)
[14/200] D=0.2636 G=3.8136 (adv=1.2152, cycle=0.1971, id=0.1254)
[15/200] D=0.2667 G=3.8186 (adv=1.2371, cycle=0.1966, id=0.1230)
[16/200] D=0.3099 G=3.6996 (adv=1.1799, cycle=0.1916, id=0.1208)
[17/200] D=0.3621 G=3.4388 (adv=1.0591, cycle=0.1795, id=0.1168)
[18/200] D=0.2686 G=3.5779 (adv=1.1511, cycle=0.1842, id=0.1170)
[19/200] D=0.2569 G=3.6457 (adv=1.2031, cycle=0.1866, id=0.1153)
[20/200] D=0.2667 G=3.6364 (adv=1.2046, cycle=0.1859, id=0.1147)
[21/200] D=0.2633 G=3.6026 (adv=1.2091, cycle=0.1832, id=0.1122)
[22/200] D=0.3378 G=3.6066 (adv=1.1774, cycle=0.1854, id=0.1151)
[23/200] D=0.2894 G=3.3068 (adv=1.0731, cycle=0.1696, id=0.1075)
[24/200] D=0.2548 G=3.5647 (adv=1.2164, cycle=0.1798, id=0.1101)
[25/200] D=0.2595 G=3.4955 (adv=1.2089, cycle=0.1750, id=0.1074)
[26/200] D=0.2597 G=3.5636 (adv=1.2333, cycle=0.1789, id=0.1083)
[27/200] D=0.2672 G=3.4702 (adv=1.2037, cycle=0.1736, id=0.1062)
[28/200] D=0.2564 G=3.5961 (adv=1.2587, cycle=0.1796, id=0.1083)
[29/200] D=0.2633 G=3.4685 (adv=1.2262, cycle=0.1721, id=0.1042)
[30/200] D=0.2615 G=3.5041 (adv=1.2249, cycle=0.1749, id=0.1061)
[31/200] D=0.4309 G=3.3573 (adv=1.1322, cycle=0.1695, id=0.1060)
[32/200] D=0.3240 G=2.9965 (adv=0.9476, cycle=0.1558, id=0.0983)
[33/200] D=0.2737 G=3.2478 (adv=1.1271, cycle=0.1620, id=0.1001)
[34/200] D=0.3575 G=3.4088 (adv=1.2098, cycle=0.1690, id=0.1019)
[35/200] D=0.3106 G=3.0284 (adv=1.0124, cycle=0.1530, id=0.0971)
[36/200] D=0.2756 G=3.2044 (adv=1.1084, cycle=0.1600, id=0.0992)
