[1/200] D=0.4915 G=5.6383 (adv=0.7352, cycle=0.3367, id=0.3041, sem=0.0154)
[2/200] D=0.4192 G=4.3334 (adv=0.7864, cycle=0.2470, id=0.2133, sem=0.0103)
[3/200] D=0.3959 G=4.0265 (adv=0.8526, cycle=0.2214, id=0.1902, sem=0.0090)
[4/200] D=0.3601 G=3.9195 (adv=0.9378, cycle=0.2073, id=0.1802, sem=0.0082)
[5/200] D=0.3818 G=3.7312 (adv=0.9122, cycle=0.1957, id=0.1709, sem=0.0077)
[6/200] D=0.3385 G=3.8109 (adv=1.0312, cycle=0.1931, id=0.1682, sem=0.0075)
[7/200] D=0.3162 G=3.7240 (adv=1.0344, cycle=0.1867, id=0.1630, sem=0.0074)
[8/200] D=0.4090 G=3.6030 (adv=0.9900, cycle=0.1817, id=0.1578, sem=0.0073)
[9/200] D=0.3540 G=3.4060 (adv=0.9217, cycle=0.1725, id=0.1504, sem=0.0070)
[10/200] D=0.3268 G=3.4917 (adv=1.0219, cycle=0.1709, id=0.1507, sem=0.0070)
[11/200] D=0.3164 G=3.5077 (adv=1.0737, cycle=0.1689, id=0.1476, sem=0.0070)
[12/200] D=0.3340 G=3.3955 (adv=1.0392, cycle=0.1635, id=0.1428, sem=0.0069)
[13/200] D=0.3201 G=3.5058 (adv=1.0787, cycle=0.1688, id=0.1464, sem=0.0071)
[14/200] D=0.3140 G=3.4818 (adv=1.0948, cycle=0.1663, id=0.1434, sem=0.0071)
[15/200] D=0.3087 G=3.4336 (adv=1.0813, cycle=0.1635, id=0.1420, sem=0.0069)
[16/200] D=0.3293 G=3.3588 (adv=1.0652, cycle=0.1592, id=0.1390, sem=0.0069)
[17/200] D=0.3427 G=3.3488 (adv=1.0524, cycle=0.1601, id=0.1378, sem=0.0068)
[18/200] D=0.3091 G=3.3681 (adv=1.0855, cycle=0.1585, id=0.1382, sem=0.0067)
[19/200] D=0.3104 G=3.3695 (adv=1.1246, cycle=0.1565, id=0.1346, sem=0.0067)
[20/200] D=0.3151 G=3.2742 (adv=1.0951, cycle=0.1515, id=0.1314, sem=0.0067)
[21/200] D=0.3288 G=3.2509 (adv=1.0976, cycle=0.1495, id=0.1302, sem=0.0067)
[22/200] D=0.3087 G=3.2697 (adv=1.1040, cycle=0.1508, id=0.1303, sem=0.0063)
[23/200] D=0.3111 G=3.2717 (adv=1.1164, cycle=0.1504, id=0.1291, sem=0.0063)
[24/200] D=0.3187 G=3.2261 (adv=1.0875, cycle=0.1484, id=0.1297, sem=0.0063)
[25/200] D=0.3675 G=3.0946 (adv=1.0373, cycle=0.1427, id=0.1248, sem=0.0059)
[26/200] D=0.3160 G=3.1776 (adv=1.0756, cycle=0.1458, id=0.1276, sem=0.0059)
[27/200] D=0.3162 G=3.1117 (adv=1.0688, cycle=0.1412, id=0.1249, sem=0.0059)
