[1/200] D=0.4460 G=6.4668 (adv=1.0706, cycle=0.3235, id=0.2969, sem=0.0291)
[2/200] D=0.3054 G=4.8100 (adv=1.0242, cycle=0.2288, id=0.2030, sem=0.0260)
[3/200] D=0.2263 G=4.7415 (adv=1.2256, cycle=0.2141, id=0.1840, sem=0.0267)
[4/200] D=0.2281 G=4.6477 (adv=1.3171, cycle=0.2041, id=0.1711, sem=0.0266)
[5/200] D=0.3570 G=4.1933 (adv=1.1500, cycle=0.1870, id=0.1550, sem=0.0251)
[6/200] D=0.2383 G=4.3043 (adv=1.2667, cycle=0.1890, id=0.1486, sem=0.0266)
[7/200] D=0.3199 G=4.1807 (adv=1.2672, cycle=0.1814, id=0.1419, sem=0.0264)
[8/200] D=0.2266 G=4.1109 (adv=1.2668, cycle=0.1786, id=0.1349, sem=0.0267)
[9/200] D=0.2471 G=4.1695 (adv=1.3010, cycle=0.1815, id=0.1326, sem=0.0271)
[10/200] D=0.2373 G=4.2034 (adv=1.3284, cycle=0.1834, id=0.1293, sem=0.0276)
[11/200] D=0.3482 G=4.0337 (adv=1.2489, cycle=0.1777, id=0.1249, sem=0.0280)
[12/200] D=0.4928 G=3.1090 (adv=0.7819, cycle=0.1448, id=0.1131, sem=0.0247)
[13/200] D=0.3367 G=3.3758 (adv=0.9551, cycle=0.1527, id=0.1122, sem=0.0268)
[14/200] D=0.2790 G=3.7642 (adv=1.1597, cycle=0.1670, id=0.1146, sem=0.0277)
[15/200] D=0.2585 G=3.8727 (adv=1.2342, cycle=0.1698, id=0.1144, sem=0.0283)
[16/200] D=0.2695 G=3.8487 (adv=1.2342, cycle=0.1688, id=0.1120, sem=0.0286)
[17/200] D=0.4359 G=3.6580 (adv=1.1436, cycle=0.1610, id=0.1111, sem=0.0271)
[18/200] D=0.3314 G=3.4491 (adv=1.0271, cycle=0.1548, id=0.1075, sem=0.0272)
[19/200] D=0.3055 G=3.4406 (adv=1.0663, cycle=0.1522, id=0.1039, sem=0.0281)
[20/200] D=0.2791 G=3.6913 (adv=1.1880, cycle=0.1620, id=0.1060, sem=0.0289)
[21/200] D=0.2815 G=3.7120 (adv=1.2095, cycle=0.1623, id=0.1052, sem=0.0290)
[22/200] D=0.2671 G=3.7585 (adv=1.2440, cycle=0.1631, id=0.1057, sem=0.0293)
[23/200] D=0.5097 G=3.6973 (adv=1.1643, cycle=0.1640, id=0.1072, sem=0.0289)
[24/200] D=0.5236 G=2.6860 (adv=0.7208, cycle=0.1226, id=0.0936, sem=0.0262)
[25/200] D=0.3707 G=2.8571 (adv=0.7840, cycle=0.1311, id=0.0945, sem=0.0274)
[26/200] D=0.3887 G=3.0278 (adv=0.8974, cycle=0.1352, id=0.0961, sem=0.0279)
[27/200] D=0.3176 G=3.1540 (adv=0.9776, cycle=0.1400, id=0.0937, sem=0.0283)
[28/200] D=0.2880 G=3.3976 (adv=1.1234, cycle=0.1468, id=0.0966, sem=0.0289)
[29/200] D=0.4812 G=3.2508 (adv=1.0631, cycle=0.1398, id=0.0967, sem=0.0268)
[30/200] D=0.3441 G=3.0932 (adv=0.9714, cycle=0.1347, id=0.0957, sem=0.0268)
[31/200] D=0.3236 G=3.1372 (adv=1.0325, cycle=0.1346, id=0.0925, sem=0.0277)
[32/200] D=0.3056 G=3.2678 (adv=1.1017, cycle=0.1395, id=0.0928, sem=0.0282)
[33/200] D=0.2868 G=3.3778 (adv=1.1373, cycle=0.1449, id=0.0945, sem=0.0288)
[34/200] D=0.2853 G=3.3758 (adv=1.1578, cycle=0.1441, id=0.0921, sem=0.0287)
[35/200] D=0.2798 G=3.3996 (adv=1.1628, cycle=0.1454, id=0.0926, sem=0.0291)
[36/200] D=0.2782 G=3.4462 (adv=1.1921, cycle=0.1470, id=0.0922, sem=0.0291)
[37/200] D=0.2762 G=3.4554 (adv=1.1984, cycle=0.1473, id=0.0921, sem=0.0294)
