[1/300] D=0.3248 G=4.1050 (adv=0.9502, cycle=0.2190, id=0.1834, sem=0.0481)
[2/300] D=0.3102 G=3.3912 (adv=1.0252, cycle=0.1705, id=0.1224, sem=0.0488)
[3/300] D=0.3534 G=3.2375 (adv=1.0401, cycle=0.1606, id=0.1080, sem=0.0513)
[4/300] D=0.3622 G=2.8348 (adv=0.8883, cycle=0.1419, id=0.0955, sem=0.0504)
[5/300] D=0.3424 G=3.0856 (adv=1.0395, cycle=0.1518, id=0.0951, sem=0.0531)
[6/300] D=0.3673 G=2.7841 (adv=0.9162, cycle=0.1373, id=0.0887, sem=0.0514)
[7/300] D=0.3683 G=2.8677 (adv=0.9756, cycle=0.1404, id=0.0871, sem=0.0526)
[8/300] D=0.3470 G=2.6423 (adv=0.8899, cycle=0.1294, id=0.0811, sem=0.0528)
[9/300] D=0.3111 G=2.9123 (adv=1.0624, cycle=0.1386, id=0.0819, sem=0.0542)
[10/300] D=0.3022 G=2.9760 (adv=1.1216, cycle=0.1396, id=0.0808, sem=0.0544)
[11/300] D=0.4317 G=2.8032 (adv=1.0421, cycle=0.1310, id=0.0797, sem=0.0532)
[12/300] D=0.4061 G=2.5656 (adv=0.9127, cycle=0.1210, id=0.0787, sem=0.0493)
[13/300] D=0.2833 G=2.6696 (adv=1.0909, cycle=0.1166, id=0.0724, sem=0.0510)
[14/300] D=0.3891 G=2.4718 (adv=0.9041, cycle=0.1150, id=0.0732, sem=0.0517)
[15/300] D=0.2395 G=2.8185 (adv=1.1994, cycle=0.1205, id=0.0722, sem=0.0533)
[16/300] D=0.2480 G=2.8775 (adv=1.2329, cycle=0.1231, id=0.0721, sem=0.0535)
[17/300] D=0.3942 G=3.3437 (adv=1.3183, cycle=0.1502, id=0.0951, sem=0.0483)
[18/300] D=0.3765 G=2.4329 (adv=0.9034, cycle=0.1126, id=0.0704, sem=0.0513)
[19/300] D=0.2311 G=2.7911 (adv=1.2162, cycle=0.1179, id=0.0685, sem=0.0530)
[20/300] D=0.2173 G=2.9163 (adv=1.3229, cycle=0.1199, id=0.0683, sem=0.0529)
[21/300] D=0.2140 G=2.9354 (adv=1.3617, cycle=0.1182, id=0.0677, sem=0.0528)
[22/300] D=0.3489 G=3.3228 (adv=1.3587, cycle=0.1449, id=0.0932, sem=0.0488)
[23/300] D=0.4500 G=2.4021 (adv=0.9277, cycle=0.1090, id=0.0668, sem=0.0505)
[24/300] D=0.2624 G=2.5559 (adv=1.0789, cycle=0.1105, id=0.0640, sem=0.0518)
[25/300] D=0.2051 G=2.8966 (adv=1.3522, cycle=0.1164, id=0.0655, sem=0.0529)
[26/300] D=0.4069 G=2.9644 (adv=1.2343, cycle=0.1287, id=0.0785, sem=0.0506)
[27/300] D=0.2510 G=2.5110 (adv=1.0979, cycle=0.1046, id=0.0632, sem=0.0508)
[28/300] D=0.1992 G=2.7893 (adv=1.3382, cycle=0.1087, id=0.0624, sem=0.0523)
[29/300] D=0.1991 G=2.8402 (adv=1.3948, cycle=0.1086, id=0.0614, sem=0.0525)
[30/300] D=0.1961 G=2.8466 (adv=1.4079, cycle=0.1081, id=0.0610, sem=0.0524)
[31/300] D=0.4225 G=3.0676 (adv=1.4216, cycle=0.1223, id=0.0745, sem=0.0504)
[32/300] D=0.2539 G=2.4034 (adv=1.0219, cycle=0.1022, id=0.0618, sem=0.0506)
[33/300] D=0.1921 G=2.7226 (adv=1.3373, cycle=0.1038, id=0.0591, sem=0.0515)
[34/300] D=0.1923 G=2.7944 (adv=1.4007, cycle=0.1048, id=0.0589, sem=0.0514)
[35/300] D=0.1943 G=2.7817 (adv=1.4036, cycle=0.1037, id=0.0579, sem=0.0516)
[36/300] D=0.4609 G=2.6484 (adv=1.1120, cycle=0.1137, id=0.0702, sem=0.0489)
[37/300] D=0.2497 G=2.4735 (adv=1.1928, cycle=0.0945, id=0.0572, sem=0.0492)
[38/300] D=0.2069 G=2.6252 (adv=1.3123, cycle=0.0979, id=0.0566, sem=0.0506)
[39/300] D=0.1883 G=2.6267 (adv=1.3702, cycle=0.0941, id=0.0528, sem=0.0514)
[40/300] D=0.3544 G=2.5676 (adv=1.2417, cycle=0.0995, id=0.0559, sem=0.0518)
[41/300] D=0.6089 G=2.5828 (adv=1.2719, cycle=0.0982, id=0.0555, sem=0.0514)
[42/300] D=0.1621 G=3.5579 (adv=1.4248, cycle=0.1521, id=0.1137, sem=0.0432)
[43/300] D=0.1315 G=2.9898 (adv=1.4016, cycle=0.1156, id=0.0772, sem=0.0465)
[44/300] D=0.1152 G=3.0144 (adv=1.5037, cycle=0.1111, id=0.0704, sem=0.0475)
[45/300] D=0.1222 G=3.0114 (adv=1.5282, cycle=0.1100, id=0.0667, sem=0.0495)
[46/300] D=0.3137 G=2.5205 (adv=1.0625, cycle=0.1082, id=0.0651, sem=0.0510)
[47/300] D=0.2115 G=2.6344 (adv=1.1968, cycle=0.1075, id=0.0621, sem=0.0521)
[48/300] D=0.4735 G=3.3786 (adv=1.6112, cycle=0.1296, id=0.0847, sem=0.0481)
