[1/300] D=0.3190 G=4.3793 (adv=0.9822, cycle=0.2341, id=0.1993, sem=0.0592)
[2/300] D=0.3170 G=3.6361 (adv=1.0393, cycle=0.1842, id=0.1387, sem=0.0616)
[3/300] D=0.3232 G=3.3998 (adv=1.0402, cycle=0.1694, id=0.1208, sem=0.0618)
[4/300] D=0.2887 G=3.4402 (adv=1.1143, cycle=0.1689, id=0.1142, sem=0.0655)
[5/300] D=0.2882 G=3.3829 (adv=1.1207, cycle=0.1653, id=0.1082, sem=0.0681)
[6/300] D=0.2888 G=3.3593 (adv=1.1357, cycle=0.1632, id=0.1044, sem=0.0691)
[7/300] D=0.3823 G=3.1471 (adv=1.0340, cycle=0.1542, id=0.1012, sem=0.0648)
[8/300] D=0.3521 G=2.9513 (adv=0.9462, cycle=0.1463, id=0.0951, sem=0.0662)
[9/300] D=0.2978 G=3.1477 (adv=1.0937, cycle=0.1514, id=0.0945, sem=0.0675)
[10/300] D=0.2903 G=3.1966 (adv=1.1458, cycle=0.1521, id=0.0924, sem=0.0679)
[11/300] D=0.2871 G=3.1916 (adv=1.1567, cycle=0.1515, id=0.0904, sem=0.0679)
[12/300] D=0.2788 G=3.2066 (adv=1.1800, cycle=0.1511, id=0.0896, sem=0.0678)
[13/300] D=0.3100 G=3.2204 (adv=1.2159, cycle=0.1497, id=0.0882, sem=0.0671)
[14/300] D=0.3822 G=2.9931 (adv=1.0343, cycle=0.1452, id=0.0882, sem=0.0657)
[15/300] D=0.3271 G=2.8156 (adv=0.9728, cycle=0.1357, id=0.0842, sem=0.0644)
[16/300] D=0.2859 G=3.0183 (adv=1.1196, cycle=0.1415, id=0.0836, sem=0.0663)
[17/300] D=0.2731 G=3.1127 (adv=1.1888, cycle=0.1441, id=0.0832, sem=0.0672)
[18/300] D=0.4415 G=2.9075 (adv=1.0519, cycle=0.1379, id=0.0825, sem=0.0644)
[19/300] D=0.3451 G=2.5532 (adv=0.8459, cycle=0.1255, id=0.0779, sem=0.0627)
[20/300] D=0.2779 G=2.9319 (adv=1.1085, cycle=0.1360, id=0.0794, sem=0.0663)
[21/300] D=0.2734 G=3.0242 (adv=1.1797, cycle=0.1382, id=0.0791, sem=0.0668)
[22/300] D=0.3773 G=2.8918 (adv=1.0715, cycle=0.1356, id=0.0796, sem=0.0657)
[23/300] D=0.3142 G=2.7398 (adv=1.0084, cycle=0.1289, id=0.0754, sem=0.0655)
[24/300] D=0.2553 G=3.0443 (adv=1.2331, cycle=0.1359, id=0.0769, sem=0.0675)
[25/300] D=0.2429 G=3.0784 (adv=1.2770, cycle=0.1352, id=0.0765, sem=0.0675)
[26/300] D=0.2286 G=3.0837 (adv=1.3176, cycle=0.1324, id=0.0750, sem=0.0674)
[27/300] D=0.6054 G=3.0292 (adv=1.2333, cycle=0.1316, id=0.0833, sem=0.0635)
[28/300] D=0.4069 G=2.1826 (adv=0.6782, cycle=0.1088, id=0.0709, sem=0.0617)
[29/300] D=0.2408 G=2.8023 (adv=1.1731, cycle=0.1207, id=0.0714, sem=0.0654)
[30/300] D=0.3357 G=2.8195 (adv=1.1219, cycle=0.1261, id=0.0744, sem=0.0644)
[31/300] D=0.2455 G=2.8050 (adv=1.1518, cycle=0.1228, id=0.0720, sem=0.0656)
[32/300] D=0.2239 G=3.0221 (adv=1.3129, cycle=0.1278, id=0.0727, sem=0.0672)
[33/300] D=0.2190 G=3.0260 (adv=1.3338, cycle=0.1267, id=0.0716, sem=0.0675)
[34/300] D=0.4155 G=2.7148 (adv=1.0449, cycle=0.1237, id=0.0734, sem=0.0655)
[35/300] D=0.2363 G=2.7481 (adv=1.1391, cycle=0.1193, id=0.0699, sem=0.0659)
[36/300] D=0.2166 G=2.9413 (adv=1.2979, cycle=0.1227, id=0.0700, sem=0.0664)
[37/300] D=0.2155 G=3.0038 (adv=1.3479, cycle=0.1239, id=0.0701, sem=0.0666)
[38/300] D=0.4651 G=2.6443 (adv=1.0380, cycle=0.1187, id=0.0710, sem=0.0643)
[39/300] D=0.3109 G=2.5414 (adv=0.9842, cycle=0.1155, id=0.0676, sem=0.0642)
[40/300] D=0.2106 G=2.9499 (adv=1.3312, cycle=0.1208, id=0.0689, sem=0.0657)
[41/300] D=0.2066 G=2.9880 (adv=1.3675, cycle=0.1211, id=0.0684, sem=0.0678)
[42/300] D=0.2790 G=3.0135 (adv=1.3763, cycle=0.1222, id=0.0693, sem=0.0691)
[43/300] D=0.5179 G=2.5852 (adv=0.9345, cycle=0.1218, id=0.0738, sem=0.0634)
[44/300] D=0.2531 G=2.6726 (adv=1.1583, cycle=0.1116, id=0.0668, sem=0.0648)
[45/300] D=0.2055 G=2.8762 (adv=1.3128, cycle=0.1163, id=0.0670, sem=0.0659)
