[1/200] D=0.4194 G=5.7829 (adv=0.8582, cycle=0.3342, id=0.3134, sem=0.0153)
[2/200] D=0.3432 G=4.5681 (adv=0.9851, cycle=0.2445, id=0.2251, sem=0.0123)
[3/200] D=0.3080 G=4.2042 (adv=1.0064, cycle=0.2192, id=0.1989, sem=0.0114)
[4/200] D=0.3715 G=3.9507 (adv=0.9580, cycle=0.2073, id=0.1817, sem=0.0114)
[5/200] D=0.3317 G=3.8638 (adv=1.0066, cycle=0.1982, id=0.1728, sem=0.0114)
[6/200] D=0.2968 G=3.9019 (adv=1.0710, cycle=0.1971, id=0.1697, sem=0.0115)
[7/200] D=0.2888 G=3.8720 (adv=1.1234, cycle=0.1918, id=0.1638, sem=0.0118)
[8/200] D=0.2981 G=3.8240 (adv=1.1470, cycle=0.1865, id=0.1601, sem=0.0113)
[9/200] D=0.2697 G=3.7435 (adv=1.1622, cycle=0.1805, id=0.1528, sem=0.0121)
[10/200] D=0.2681 G=3.7789 (adv=1.1773, cycle=0.1825, id=0.1527, sem=0.0134)
[11/200] D=0.2625 G=3.7459 (adv=1.2087, cycle=0.1783, id=0.1482, sem=0.0137)
[12/200] D=0.4302 G=3.5779 (adv=1.1638, cycle=0.1694, id=0.1417, sem=0.0115)
[13/200] D=0.4872 G=3.1234 (adv=0.8408, cycle=0.1584, id=0.1378, sem=0.0102)
[14/200] D=0.3613 G=3.0421 (adv=0.8554, cycle=0.1525, id=0.1300, sem=0.0114)
[15/200] D=0.3356 G=3.2161 (adv=0.9480, cycle=0.1597, id=0.1318, sem=0.0124)
[16/200] D=0.3301 G=3.2831 (adv=0.9902, cycle=0.1627, id=0.1305, sem=0.0129)
[17/200] D=0.3079 G=3.3457 (adv=1.0565, cycle=0.1621, id=0.1309, sem=0.0138)
[18/200] D=0.3764 G=3.3128 (adv=1.0407, cycle=0.1611, id=0.1295, sem=0.0139)
[19/200] D=0.2894 G=3.3048 (adv=1.0408, cycle=0.1605, id=0.1288, sem=0.0152)
[20/200] D=0.2782 G=3.3964 (adv=1.1273, cycle=0.1618, id=0.1270, sem=0.0163)
[21/200] D=0.2675 G=3.5520 (adv=1.1769, cycle=0.1693, id=0.1329, sem=0.0177)
[22/200] D=0.2574 G=3.5256 (adv=1.2160, cycle=0.1657, id=0.1269, sem=0.0181)
[23/200] D=0.3367 G=3.3948 (adv=1.1669, cycle=0.1585, id=0.1256, sem=0.0154)
[24/200] D=0.2549 G=3.4177 (adv=1.1897, cycle=0.1598, id=0.1225, sem=0.0176)
[25/200] D=0.2468 G=3.4932 (adv=1.2316, cycle=0.1629, id=0.1230, sem=0.0177)
[26/200] D=0.2396 G=3.5553 (adv=1.2698, cycle=0.1644, id=0.1246, sem=0.0182)
[27/200] D=0.2502 G=3.5731 (adv=1.2641, cycle=0.1666, id=0.1249, sem=0.0181)
[28/200] D=0.2439 G=3.6141 (adv=1.2990, cycle=0.1662, id=0.1268, sem=0.0185)
[29/200] D=0.2328 G=3.5588 (adv=1.3032, cycle=0.1630, id=0.1213, sem=0.0188)
[30/200] D=0.2218 G=3.6712 (adv=1.3416, cycle=0.1682, id=0.1254, sem=0.0204)
[31/200] D=0.2218 G=3.6369 (adv=1.3623, cycle=0.1650, id=0.1210, sem=0.0199)
[32/200] D=0.3468 G=3.5267 (adv=1.3056, cycle=0.1610, id=0.1186, sem=0.0181)
[33/200] D=0.3004 G=3.1540 (adv=1.0287, cycle=0.1537, id=0.1139, sem=0.0191)
[34/200] D=0.2481 G=3.4658 (adv=1.2256, cycle=0.1620, id=0.1201, sem=0.0196)
[35/200] D=0.2389 G=3.5351 (adv=1.2994, cycle=0.1626, id=0.1181, sem=0.0189)
[36/200] D=0.2182 G=3.5644 (adv=1.3447, cycle=0.1619, id=0.1165, sem=0.0184)
[37/200] D=0.2196 G=3.6153 (adv=1.3753, cycle=0.1636, id=0.1172, sem=0.0183)
[38/200] D=0.2312 G=3.5176 (adv=1.3445, cycle=0.1587, id=0.1135, sem=0.0186)
[39/200] D=0.2165 G=3.6180 (adv=1.3725, cycle=0.1635, id=0.1184, sem=0.0185)
[40/200] D=0.2110 G=3.5839 (adv=1.3793, cycle=0.1611, id=0.1150, sem=0.0187)
[41/200] D=0.2175 G=3.5566 (adv=1.3900, cycle=0.1582, id=0.1132, sem=0.0187)
[42/200] D=0.2151 G=3.5822 (adv=1.4052, cycle=0.1586, id=0.1142, sem=0.0199)
[43/200] D=0.2118 G=3.5107 (adv=1.3826, cycle=0.1558, id=0.1101, sem=0.0199)
[44/200] D=0.6234 G=4.1783 (adv=1.6664, cycle=0.1797, id=0.1403, sem=0.0139)
[45/200] D=0.2368 G=3.4632 (adv=1.2142, cycle=0.1600, id=0.1277, sem=0.0110)
[46/200] D=0.2472 G=3.2514 (adv=1.1900, cycle=0.1475, id=0.1143, sem=0.0142)
[47/200] D=0.3522 G=3.2031 (adv=1.1752, cycle=0.1465, id=0.1093, sem=0.0161)
[48/200] D=0.3529 G=2.7420 (adv=0.8020, cycle=0.1399, id=0.1049, sem=0.0161)
[49/200] D=0.3303 G=2.8533 (adv=0.8988, cycle=0.1414, id=0.1048, sem=0.0168)
[50/200] D=0.3096 G=3.0135 (adv=1.0258, cycle=0.1455, id=0.1032, sem=0.0173)
