[1/200] D=0.4496 G=6.1641 (adv=0.9471, cycle=0.3140, id=0.2899)
[2/200] D=0.3510 G=4.7977 (adv=1.0068, cycle=0.2310, id=0.2038)
[3/200] D=0.3174 G=4.4782 (adv=1.1040, cycle=0.2088, id=0.1737)
[4/200] D=0.2969 G=4.3971 (adv=1.1970, cycle=0.2012, id=0.1570)
[5/200] D=0.4434 G=3.7217 (adv=0.9315, cycle=0.1737, id=0.1412)
[6/200] D=0.3495 G=3.7563 (adv=1.0205, cycle=0.1727, id=0.1328)
[7/200] D=0.2873 G=3.7292 (adv=1.1028, cycle=0.1672, id=0.1241)
[8/200] D=0.3242 G=3.6591 (adv=1.0809, cycle=0.1650, id=0.1196)
[9/200] D=0.3835 G=3.4591 (adv=0.9924, cycle=0.1574, id=0.1157)
[10/200] D=0.2983 G=3.6606 (adv=1.1000, cycle=0.1659, id=0.1139)
[11/200] D=0.2981 G=3.6516 (adv=1.1130, cycle=0.1656, id=0.1103)
[12/200] D=0.3375 G=3.6363 (adv=1.0823, cycle=0.1681, id=0.1073)
[13/200] D=0.4478 G=3.1815 (adv=0.8737, cycle=0.1497, id=0.1024)
[14/200] D=0.3249 G=3.4928 (adv=1.0327, cycle=0.1618, id=0.1036)
[15/200] D=0.3255 G=3.5537 (adv=1.0769, cycle=0.1620, id=0.1066)
[16/200] D=0.3681 G=3.6587 (adv=1.0807, cycle=0.1696, id=0.1085)
[17/200] D=0.3434 G=3.2339 (adv=0.9486, cycle=0.1504, id=0.0960)
[18/200] D=0.4188 G=3.1843 (adv=0.9693, cycle=0.1454, id=0.0941)
[19/200] D=0.3278 G=3.1774 (adv=0.9711, cycle=0.1459, id=0.0911)
[20/200] D=0.3359 G=3.2352 (adv=1.0178, cycle=0.1469, id=0.0910)
[21/200] D=0.5010 G=3.3841 (adv=1.0702, cycle=0.1532, id=0.0950)
[22/200] D=0.3859 G=2.9143 (adv=0.8404, cycle=0.1369, id=0.0862)
[23/200] D=0.3869 G=2.8787 (adv=0.8635, cycle=0.1331, id=0.0836)
[24/200] D=0.3774 G=2.8502 (adv=0.8830, cycle=0.1299, id=0.0816)
[25/200] D=0.5010 G=2.7478 (adv=0.8314, cycle=0.1253, id=0.0825)
[26/200] D=0.4119 G=2.4954 (adv=0.7472, cycle=0.1135, id=0.0773)
[27/200] D=0.3841 G=2.6403 (adv=0.8356, cycle=0.1186, id=0.0763)
[28/200] D=0.3569 G=2.9237 (adv=0.9595, cycle=0.1303, id=0.0801)
[29/200] D=0.3669 G=2.8720 (adv=0.9429, cycle=0.1286, id=0.0772)
[30/200] D=0.2882 G=3.6149 (adv=1.1954, cycle=0.1617, id=0.0958)
[31/200] D=0.3330 G=3.1108 (adv=1.0452, cycle=0.1387, id=0.0801)
[32/200] D=0.3452 G=3.0090 (adv=1.0144, cycle=0.1340, id=0.0772)
[33/200] D=0.6044 G=3.2552 (adv=1.1873, cycle=0.1386, id=0.0810)
[34/200] D=0.3883 G=2.7752 (adv=0.8528, cycle=0.1274, id=0.0787)
[35/200] D=0.4195 G=2.5318 (adv=0.7915, cycle=0.1149, id=0.0723)
[36/200] D=0.6611 G=2.5689 (adv=0.7714, cycle=0.1172, id=0.0782)
[37/200] D=0.4645 G=2.0829 (adv=0.5904, cycle=0.0960, id=0.0682)
[38/200] D=0.4558 G=2.1054 (adv=0.6152, cycle=0.0963, id=0.0669)
[39/200] D=0.4397 G=2.1955 (adv=0.6677, cycle=0.0996, id=0.0664)
[40/200] D=0.4113 G=2.3289 (adv=0.7489, cycle=0.1038, id=0.0670)
[41/200] D=0.3885 G=2.4837 (adv=0.8368, cycle=0.1090, id=0.0677)
[42/200] D=0.3721 G=2.6208 (adv=0.9013, cycle=0.1147, id=0.0687)
[43/200] D=0.3689 G=2.6581 (adv=0.9202, cycle=0.1164, id=0.0682)
[44/200] D=0.3599 G=2.7758 (adv=0.9717, cycle=0.1212, id=0.0699)
[45/200] D=0.4713 G=2.8401 (adv=1.0587, cycle=0.1200, id=0.0682)
[46/200] D=0.5132 G=2.4744 (adv=0.7869, cycle=0.1122, id=0.0682)
[47/200] D=0.4558 G=1.9843 (adv=0.5849, cycle=0.0905, id=0.0627)
[48/200] D=0.4000 G=2.3035 (adv=0.7242, cycle=0.1043, id=0.0655)
[49/200] D=0.3718 G=2.4856 (adv=0.8305, cycle=0.1109, id=0.0650)
[50/200] D=0.3706 G=2.4866 (adv=0.8658, cycle=0.1083, id=0.0643)
[51/200] D=0.3617 G=2.5838 (adv=0.9135, cycle=0.1125, id=0.0641)
[52/200] D=0.3731 G=2.5516 (adv=0.9050, cycle=0.1109, id=0.0631)
[53/200] D=0.3720 G=2.5647 (adv=0.9098, cycle=0.1115, id=0.0633)
[54/200] D=0.3615 G=2.6635 (adv=0.9453, cycle=0.1164, id=0.0642)
[55/200] D=0.3688 G=2.6243 (adv=0.9270, cycle=0.1146, id=0.0645)
[56/200] D=0.6175 G=2.5708 (adv=0.9232, cycle=0.1105, id=0.0643)
[57/200] D=0.4093 G=2.2222 (adv=0.7064, cycle=0.1007, id=0.0615)
[58/200] D=0.4192 G=2.1817 (adv=0.7223, cycle=0.0969, id=0.0592)
[59/200] D=0.4126 G=2.2209 (adv=0.7485, cycle=0.0983, id=0.0585)
[60/200] D=0.3831 G=2.3885 (adv=0.8163, cycle=0.1052, id=0.0619)
[61/200] D=0.3551 G=2.5615 (adv=0.9266, cycle=0.1104, id=0.0620)
[62/200] D=0.3698 G=2.4743 (adv=0.9055, cycle=0.1061, id=0.0591)
[63/200] D=0.3661 G=2.5676 (adv=0.9372, cycle=0.1104, id=0.0611)
[64/200] D=0.3602 G=2.5561 (adv=0.9449, cycle=0.1093, id=0.0599)
[65/200] D=0.3558 G=2.6189 (adv=0.9727, cycle=0.1120, id=0.0605)
[66/200] D=0.5881 G=2.8313 (adv=0.9625, cycle=0.1262, id=0.0710)
[67/200] D=0.4195 G=2.2058 (adv=0.7555, cycle=0.0971, id=0.0571)
[68/200] D=0.4140 G=2.1769 (adv=0.7512, cycle=0.0954, id=0.0562)
[69/200] D=0.3863 G=2.2760 (adv=0.8182, cycle=0.0982, id=0.0560)
[70/200] D=0.3716 G=2.3793 (adv=0.8756, cycle=0.1015, id=0.0572)
[71/200] D=0.3671 G=2.4364 (adv=0.9080, cycle=0.1036, id=0.0571)
[72/200] D=0.3192 G=2.7752 (adv=1.0634, cycle=0.1167, id=0.0623)
[73/200] D=0.3179 G=2.7142 (adv=1.0671, cycle=0.1124, id=0.0597)
[74/200] D=0.3309 G=2.6248 (adv=1.0210, cycle=0.1093, id=0.0585)
[75/200] D=0.3349 G=2.6040 (adv=1.0376, cycle=0.1070, id=0.0565)
[76/200] D=0.3389 G=2.5670 (adv=1.0106, cycle=0.1062, id=0.0565)
[77/200] D=0.3306 G=2.5883 (adv=1.0469, cycle=0.1052, id=0.0559)
[78/200] D=0.3317 G=2.5952 (adv=1.0318, cycle=0.1070, id=0.0559)
[79/200] D=0.3233 G=2.9461 (adv=1.1108, cycle=0.1255, id=0.0658)
[80/200] D=0.3221 G=2.6295 (adv=1.0344, cycle=0.1093, id=0.0568)
[81/200] D=0.6225 G=2.8623 (adv=1.0464, cycle=0.1236, id=0.0665)
[82/200] D=0.4202 G=2.1067 (adv=0.7390, cycle=0.0919, id=0.0531)
[83/200] D=0.4238 G=2.0902 (adv=0.7506, cycle=0.0897, id=0.0526)
[84/200] D=0.4268 G=2.0748 (adv=0.7488, cycle=0.0890, id=0.0517)
[85/200] D=0.4132 G=2.1172 (adv=0.7675, cycle=0.0907, id=0.0522)
[86/200] D=0.9249 G=2.8897 (adv=1.3769, cycle=0.1017, id=0.0585)
[87/200] D=0.4031 G=2.5250 (adv=0.7754, cycle=0.1156, id=0.0725)
[88/200] D=0.4175 G=2.2159 (adv=0.7823, cycle=0.0961, id=0.0561)
[89/200] D=0.4005 G=2.1884 (adv=0.7956, cycle=0.0934, id=0.0544)
[90/200] D=0.4239 G=2.0787 (adv=0.7639, cycle=0.0881, id=0.0514)
[91/200] D=0.4257 G=2.0910 (adv=0.7696, cycle=0.0888, id=0.0512)
[92/200] D=0.4103 G=2.1818 (adv=0.8160, cycle=0.0916, id=0.0533)
[93/200] D=0.3816 G=2.3307 (adv=0.8854, cycle=0.0969, id=0.0566)
[94/200] D=0.4191 G=2.1113 (adv=0.7847, cycle=0.0893, id=0.0511)
[95/200] D=0.4189 G=2.1034 (adv=0.7880, cycle=0.0885, id=0.0507)
