[1/200] D=0.4121 G=5.8145 (adv=0.7954, cycle=0.3429, id=0.3180)
[2/200] D=0.3510 G=4.4493 (adv=0.8453, cycle=0.2488, id=0.2232)
[3/200] D=0.3469 G=3.9286 (adv=0.9010, cycle=0.2100, id=0.1856)
[4/200] D=0.3115 G=3.8275 (adv=0.9680, cycle=0.1995, id=0.1729)
[5/200] D=0.3268 G=3.7579 (adv=0.9941, cycle=0.1931, id=0.1666)
[6/200] D=0.3064 G=3.7099 (adv=1.0031, cycle=0.1923, id=0.1568)
[7/200] D=0.2920 G=3.6361 (adv=1.0263, cycle=0.1854, id=0.1511)
[8/200] D=0.2870 G=3.6370 (adv=1.0635, cycle=0.1841, id=0.1465)
[9/200] D=0.3100 G=3.5241 (adv=1.0566, cycle=0.1765, id=0.1405)
[10/200] D=0.2814 G=3.4653 (adv=1.0649, cycle=0.1727, id=0.1347)
[11/200] D=0.3584 G=3.3529 (adv=1.0234, cycle=0.1681, id=0.1297)
[12/200] D=0.2898 G=3.2884 (adv=0.9988, cycle=0.1655, id=0.1269)
[13/200] D=0.2938 G=3.2906 (adv=1.0451, cycle=0.1630, id=0.1231)
[14/200] D=0.3527 G=3.3311 (adv=1.0843, cycle=0.1637, id=0.1220)
[15/200] D=0.3621 G=3.0199 (adv=0.8905, cycle=0.1538, id=0.1182)
[16/200] D=0.3173 G=3.0947 (adv=0.9545, cycle=0.1557, id=0.1166)
[17/200] D=0.3157 G=3.0890 (adv=0.9904, cycle=0.1535, id=0.1126)
[18/200] D=0.3068 G=3.1155 (adv=0.9940, cycle=0.1561, id=0.1120)
[19/200] D=0.3102 G=3.0783 (adv=1.0115, cycle=0.1518, id=0.1098)
[20/200] D=0.3155 G=3.1130 (adv=1.0083, cycle=0.1548, id=0.1114)
[21/200] D=0.4942 G=3.1074 (adv=1.0366, cycle=0.1524, id=0.1094)
[22/200] D=0.3853 G=2.6524 (adv=0.7841, cycle=0.1357, id=0.1022)
[23/200] D=0.3177 G=2.8105 (adv=0.8926, cycle=0.1408, id=0.1020)
[24/200] D=0.3148 G=2.9199 (adv=0.9619, cycle=0.1445, id=0.1027)
[25/200] D=0.3191 G=2.9138 (adv=0.9672, cycle=0.1441, id=0.1010)
[26/200] D=0.3227 G=2.9572 (adv=0.9708, cycle=0.1476, id=0.1021)
[27/200] D=0.3485 G=2.9656 (adv=1.0013, cycle=0.1460, id=0.1009)
[28/200] D=0.3197 G=2.8821 (adv=0.9495, cycle=0.1436, id=0.0993)
[29/200] D=0.3221 G=2.9015 (adv=0.9733, cycle=0.1437, id=0.0982)
[30/200] D=0.3245 G=2.8865 (adv=0.9763, cycle=0.1424, id=0.0971)
[31/200] D=0.3262 G=2.8997 (adv=0.9743, cycle=0.1440, id=0.0970)
[32/200] D=0.3254 G=2.8821 (adv=0.9775, cycle=0.1426, id=0.0958)
[33/200] D=0.6892 G=3.2538 (adv=1.1155, cycle=0.1598, id=0.1080)
[34/200] D=0.4660 G=2.2150 (adv=0.5755, cycle=0.1180, id=0.0918)
[35/200] D=0.4363 G=2.1949 (adv=0.6157, cycle=0.1139, id=0.0880)
[36/200] D=0.4212 G=2.2485 (adv=0.6719, cycle=0.1145, id=0.0864)
[37/200] D=0.4060 G=2.3327 (adv=0.7251, cycle=0.1175, id=0.0865)
[38/200] D=0.3850 G=2.4245 (adv=0.7818, cycle=0.1213, id=0.0860)
[39/200] D=0.3701 G=2.4932 (adv=0.8260, cycle=0.1235, id=0.0865)
[40/200] D=0.3587 G=2.5566 (adv=0.8625, cycle=0.1257, id=0.0875)
[41/200] D=0.3556 G=2.5685 (adv=0.8803, cycle=0.1257, id=0.0862)
[42/200] D=0.3601 G=2.5655 (adv=0.8916, cycle=0.1249, id=0.0849)
[43/200] D=0.3454 G=2.6235 (adv=0.9081, cycle=0.1277, id=0.0877)
[44/200] D=0.3438 G=2.6431 (adv=0.9182, cycle=0.1286, id=0.0877)
[45/200] D=0.3481 G=2.6500 (adv=0.9332, cycle=0.1287, id=0.0859)
[46/200] D=0.3400 G=2.6428 (adv=0.9333, cycle=0.1281, id=0.0858)
[47/200] D=0.4896 G=2.7447 (adv=0.9677, cycle=0.1331, id=0.0893)
[48/200] D=0.3779 G=2.4829 (adv=0.8302, cycle=0.1228, id=0.0849)
[49/200] D=0.3654 G=2.4517 (adv=0.8445, cycle=0.1193, id=0.0828)
[50/200] D=0.3493 G=2.5293 (adv=0.9001, cycle=0.1215, id=0.0828)
[51/200] D=0.3316 G=2.6245 (adv=0.9278, cycle=0.1276, id=0.0842)
[52/200] D=0.3323 G=2.6034 (adv=0.9424, cycle=0.1250, id=0.0823)
[53/200] D=0.3332 G=2.6487 (adv=0.9534, cycle=0.1281, id=0.0829)
[54/200] D=0.3316 G=2.6189 (adv=0.9536, cycle=0.1250, id=0.0831)
[55/200] D=0.3383 G=2.6272 (adv=0.9574, cycle=0.1259, id=0.0822)
[56/200] D=0.3342 G=2.6448 (adv=0.9721, cycle=0.1264, id=0.0818)
[57/200] D=0.6087 G=2.6075 (adv=0.8970, cycle=0.1281, id=0.0859)
[58/200] D=0.3926 G=2.3054 (adv=0.7593, cycle=0.1154, id=0.0785)
[59/200] D=0.3550 G=2.4463 (adv=0.8427, cycle=0.1206, id=0.0795)
[60/200] D=0.4448 G=2.7177 (adv=0.9602, cycle=0.1317, id=0.0881)
[61/200] D=0.3499 G=2.3893 (adv=0.8318, cycle=0.1160, id=0.0795)
[62/200] D=0.3253 G=2.4657 (adv=0.8977, cycle=0.1173, id=0.0790)
[63/200] D=0.3247 G=2.5459 (adv=0.9337, cycle=0.1216, id=0.0793)
[64/200] D=0.3288 G=2.5373 (adv=0.9426, cycle=0.1204, id=0.0782)
[65/200] D=0.3313 G=2.5713 (adv=0.9618, cycle=0.1216, id=0.0786)
[66/200] D=0.3336 G=2.5698 (adv=0.9518, cycle=0.1228, id=0.0780)
[67/200] D=0.3278 G=2.5664 (adv=0.9600, cycle=0.1217, id=0.0779)
[68/200] D=0.3377 G=2.5895 (adv=0.9717, cycle=0.1224, id=0.0787)
[69/200] D=0.3317 G=2.6128 (adv=0.9726, cycle=0.1240, id=0.0801)
[70/200] D=0.3312 G=2.5949 (adv=0.9724, cycle=0.1232, id=0.0781)
[71/200] D=0.3235 G=2.6406 (adv=1.0013, cycle=0.1242, id=0.0795)
[72/200] D=0.3253 G=2.5813 (adv=0.9842, cycle=0.1211, id=0.0771)
[73/200] D=0.3294 G=2.5885 (adv=0.9832, cycle=0.1219, id=0.0773)
[74/200] D=0.5576 G=2.9157 (adv=1.1236, cycle=0.1362, id=0.0860)
[75/200] D=0.3728 G=2.3307 (adv=0.7679, cycle=0.1169, id=0.0789)
[76/200] D=0.3617 G=2.3421 (adv=0.8355, cycle=0.1135, id=0.0742)
[77/200] D=0.3421 G=2.4067 (adv=0.8911, cycle=0.1145, id=0.0741)
[78/200] D=0.3237 G=2.4965 (adv=0.9333, cycle=0.1185, id=0.0757)
[79/200] D=0.3229 G=2.5320 (adv=0.9635, cycle=0.1185, id=0.0766)
[80/200] D=0.6325 G=3.1006 (adv=1.1126, cycle=0.1492, id=0.0992)
[81/200] D=0.3586 G=2.3954 (adv=0.8476, cycle=0.1156, id=0.0783)
[82/200] D=0.3506 G=2.4044 (adv=0.8927, cycle=0.1136, id=0.0752)
[83/200] D=0.3465 G=2.4088 (adv=0.8985, cycle=0.1138, id=0.0744)
[84/200] D=0.3415 G=2.4355 (adv=0.9191, cycle=0.1142, id=0.0748)
[85/200] D=0.3298 G=2.4661 (adv=0.9301, cycle=0.1162, id=0.0748)
[86/200] D=0.3283 G=2.4995 (adv=0.9586, cycle=0.1171, id=0.0740)
[87/200] D=0.3196 G=2.4726 (adv=0.9490, cycle=0.1157, id=0.0734)
[88/200] D=0.3230 G=2.4930 (adv=0.9561, cycle=0.1170, id=0.0734)
[89/200] D=0.3216 G=2.5044 (adv=0.9755, cycle=0.1162, id=0.0734)
[90/200] D=0.3314 G=2.5135 (adv=0.9731, cycle=0.1172, id=0.0737)
[91/200] D=0.3257 G=2.5300 (adv=0.9763, cycle=0.1186, id=0.0736)
[92/200] D=0.6534 G=2.8351 (adv=1.1397, cycle=0.1283, id=0.0824)
[93/200] D=0.4131 G=2.1943 (adv=0.7131, cycle=0.1112, id=0.0738)
[94/200] D=0.3909 G=2.1687 (adv=0.7667, cycle=0.1057, id=0.0690)
[95/200] D=0.3439 G=2.3571 (adv=0.8834, cycle=0.1116, id=0.0715)
