[1/200] D=0.3907 G=5.4850 (adv=0.8268, cycle=0.3211, id=0.2886, sem=0.0044)
[2/200] D=0.3132 G=4.4926 (adv=0.9292, cycle=0.2454, id=0.2210, sem=0.0043)
[3/200] D=0.3698 G=4.0167 (adv=0.8312, cycle=0.2214, id=0.1933, sem=0.0046)
[4/200] D=0.3449 G=3.8156 (adv=0.8889, cycle=0.2061, id=0.1721, sem=0.0047)
[5/200] D=0.3372 G=3.6576 (adv=0.9212, cycle=0.1954, id=0.1556, sem=0.0046)
[6/200] D=0.3576 G=3.4785 (adv=0.9161, cycle=0.1842, id=0.1432, sem=0.0045)
[7/200] D=0.3331 G=3.3998 (adv=0.9399, cycle=0.1785, id=0.1340, sem=0.0046)
[8/200] D=0.3351 G=3.2905 (adv=0.9404, cycle=0.1710, id=0.1271, sem=0.0047)
[9/200] D=0.3307 G=3.2883 (adv=0.9548, cycle=0.1709, id=0.1239, sem=0.0047)
[10/200] D=0.3443 G=3.2293 (adv=0.9450, cycle=0.1682, id=0.1196, sem=0.0047)
[11/200] D=0.3381 G=3.1151 (adv=0.9255, cycle=0.1620, id=0.1130, sem=0.0048)
[12/200] D=0.3421 G=3.0739 (adv=0.9403, cycle=0.1581, id=0.1095, sem=0.0049)
[13/200] D=0.3427 G=3.0157 (adv=0.9397, cycle=0.1543, id=0.1057, sem=0.0049)
[14/200] D=0.3534 G=2.9654 (adv=0.9345, cycle=0.1514, id=0.1024, sem=0.0050)
[15/200] D=0.3879 G=2.8762 (adv=0.8790, cycle=0.1490, id=0.1004, sem=0.0049)
[16/200] D=0.3459 G=2.8892 (adv=0.9200, cycle=0.1471, id=0.0985, sem=0.0050)
[17/200] D=0.3488 G=2.9188 (adv=0.9183, cycle=0.1502, id=0.0987, sem=0.0050)
[18/200] D=0.3509 G=2.8501 (adv=0.9120, cycle=0.1454, id=0.0958, sem=0.0051)
[19/200] D=0.3578 G=2.7877 (adv=0.9031, cycle=0.1413, id=0.0932, sem=0.0051)
[20/200] D=0.3667 G=2.7768 (adv=0.8880, cycle=0.1428, id=0.0912, sem=0.0052)
[21/200] D=0.3618 G=2.7753 (adv=0.8911, cycle=0.1424, id=0.0909, sem=0.0052)
[22/200] D=0.3696 G=2.7120 (adv=0.8844, cycle=0.1381, id=0.0882, sem=0.0053)
[23/200] D=0.3656 G=2.7065 (adv=0.8783, cycle=0.1385, id=0.0875, sem=0.0054)
[24/200] D=0.3775 G=2.6361 (adv=0.8627, cycle=0.1343, id=0.0851, sem=0.0054)
[25/200] D=0.3738 G=2.6632 (adv=0.8741, cycle=0.1359, id=0.0849, sem=0.0054)
[26/200] D=0.3742 G=2.5845 (adv=0.8558, cycle=0.1309, id=0.0828, sem=0.0054)
[27/200] D=0.3751 G=2.5973 (adv=0.8571, cycle=0.1324, id=0.0822, sem=0.0055)
[28/200] D=0.3745 G=2.5700 (adv=0.8612, cycle=0.1300, id=0.0807, sem=0.0055)
