[1/200] loss=1.8695
[2/200] loss=1.7320
[3/200] loss=1.6931
[4/200] loss=1.5999
[5/200] loss=1.6546
[6/200] loss=1.5362
[7/200] loss=1.4844
[8/200] loss=1.4708
[9/200] loss=1.4267
[10/200] loss=1.4248
[11/200] loss=1.3800
[12/200] loss=1.3830
[13/200] loss=1.4002
[14/200] loss=1.3789
[15/200] loss=1.3415
[16/200] loss=1.3427
[17/200] loss=1.3458
[18/200] loss=1.3310
[19/200] loss=1.3163
[20/200] loss=1.3219
[21/200] loss=1.3194
[22/200] loss=1.2898
[23/200] loss=1.5236
[24/200] loss=1.3442
[25/200] loss=1.3459
[26/200] loss=1.3042
[27/200] loss=1.2973
[28/200] loss=1.2706
[29/200] loss=1.3176
[30/200] loss=1.2698
[31/200] loss=1.2800
[32/200] loss=1.2786
[33/200] loss=1.2558
[34/200] loss=1.2597
[35/200] loss=1.2521
[36/200] loss=1.2528
[37/200] loss=1.2499
[38/200] loss=1.2462
[39/200] loss=1.2270
[40/200] loss=1.2190
[41/200] loss=1.2145
[42/200] loss=1.2245
[43/200] loss=1.2346
[44/200] loss=1.2667
[45/200] loss=1.2261
[46/200] loss=1.2221
[47/200] loss=1.1986
[48/200] loss=1.2192
[49/200] loss=1.1939
[50/200] loss=1.1872
[51/200] loss=1.2005
[52/200] loss=1.1875
[53/200] loss=1.2122
[54/200] loss=1.3534
[55/200] loss=1.2282
[56/200] loss=1.2065
[57/200] loss=1.2201
[58/200] loss=1.1792
[59/200] loss=1.1933
[60/200] loss=1.1609
[61/200] loss=1.1719
[62/200] loss=1.1747
[63/200] loss=1.1604
[64/200] loss=1.1654
[65/200] loss=1.1394
[66/200] loss=1.1427
[67/200] loss=1.1722
[68/200] loss=1.1438
[69/200] loss=1.1542
[70/200] loss=1.1596
[71/200] loss=1.1446
[72/200] loss=1.1471
[73/200] loss=1.1373
[74/200] loss=1.1393
[75/200] loss=1.1350
[76/200] loss=1.1166
[77/200] loss=1.1371
[78/200] loss=1.1503
[79/200] loss=1.1496
[80/200] loss=1.1167
[81/200] loss=1.1618
[82/200] loss=1.1232
[83/200] loss=1.1134
[84/200] loss=1.1410
[85/200] loss=1.0956
[86/200] loss=1.1072
[87/200] loss=1.1068
[88/200] loss=1.1322
[89/200] loss=1.0982
[90/200] loss=1.0925
[91/200] loss=1.1186
[92/200] loss=1.0913
[93/200] loss=1.0958
[94/200] loss=1.0733
[95/200] loss=1.1120
[96/200] loss=1.0717
[97/200] loss=1.0876
[98/200] loss=1.0814
[99/200] loss=1.0711
[100/200] loss=1.0648
[101/200] loss=1.0662
[102/200] loss=1.0582
[103/200] loss=1.0649
[104/200] loss=1.0699
[105/200] loss=1.0809
[106/200] loss=1.0960
[107/200] loss=1.0602
[108/200] loss=1.0528
[109/200] loss=1.0568
[110/200] loss=1.0395
[111/200] loss=1.0387
[112/200] loss=1.0440
[113/200] loss=1.0501
[114/200] loss=1.0259
[115/200] loss=1.0369
[116/200] loss=1.0204
[117/200] loss=1.0256
[118/200] loss=1.0252
[119/200] loss=1.0347
[120/200] loss=1.0244
[121/200] loss=1.0118
[122/200] loss=1.0048
[123/200] loss=0.9940
[124/200] loss=1.0267
[125/200] loss=1.0065
[126/200] loss=0.9866
[127/200] loss=1.0668
[128/200] loss=0.9806
[129/200] loss=0.9795
[130/200] loss=0.9738
[131/200] loss=0.9635
[132/200] loss=0.9901
[133/200] loss=0.9684
[134/200] loss=0.9607
[135/200] loss=0.9298
[136/200] loss=0.9372
[137/200] loss=0.9654
[138/200] loss=0.9136
[139/200] loss=0.9609
[140/200] loss=1.0035
[141/200] loss=0.9338
[142/200] loss=0.9366
[143/200] loss=0.9137
[144/200] loss=0.9025
[145/200] loss=0.9156
[146/200] loss=0.8927
[147/200] loss=0.8880
[148/200] loss=0.8840
[149/200] loss=0.8846
[150/200] loss=0.8971
[151/200] loss=0.8834
[152/200] loss=0.8407
[153/200] loss=0.8750
[154/200] loss=0.8853
[155/200] loss=0.8727
[156/200] loss=0.8482
[157/200] loss=0.8474
[158/200] loss=0.8205
[159/200] loss=0.8272
[160/200] loss=0.8496
[161/200] loss=0.8033
[162/200] loss=0.8190
[163/200] loss=0.8137
[164/200] loss=0.8157
[165/200] loss=0.8055
[166/200] loss=0.7908
[167/200] loss=0.8367
[168/200] loss=0.7647
[169/200] loss=0.8012
[170/200] loss=0.7476
[171/200] loss=0.7731
[172/200] loss=0.7355
[173/200] loss=0.7339
[174/200] loss=0.9147
[175/200] loss=0.7554
[176/200] loss=0.7293
[177/200] loss=0.7358
[178/200] loss=0.7984
[179/200] loss=0.8007
[180/200] loss=0.7276
[181/200] loss=0.7117
[182/200] loss=0.7200
[183/200] loss=0.7267
[184/200] loss=0.6977
[185/200] loss=0.7644
[186/200] loss=0.6920
[187/200] loss=0.6761
[188/200] loss=0.6674
[189/200] loss=0.6845
[190/200] loss=0.6665
[191/200] loss=0.6877
[192/200] loss=0.6431
[193/200] loss=0.6282
[194/200] loss=0.6485
[195/200] loss=0.6339
[196/200] loss=0.6084
[197/200] loss=0.6158
[198/200] loss=0.6701
[199/200] loss=0.6542
[200/200] loss=0.6580
