[1/200] D=0.4350 G=6.4347 (adv=0.8022, cycle=0.3817, id=0.3579, sem=0.0259)
[2/200] D=0.3627 G=4.6071 (adv=0.8636, cycle=0.2541, id=0.2364, sem=0.0208)
[3/200] D=0.3337 G=4.2914 (adv=0.8526, cycle=0.2354, id=0.2127, sem=0.0211)
[4/200] D=0.3576 G=3.9445 (adv=0.8387, cycle=0.2133, id=0.1907, sem=0.0198)
[5/200] D=0.3492 G=3.7926 (adv=0.8798, cycle=0.2006, id=0.1778, sem=0.0181)
[6/200] D=0.3857 G=3.6415 (adv=0.9158, cycle=0.1880, id=0.1657, sem=0.0171)
[7/200] D=0.4061 G=3.3704 (adv=0.8050, cycle=0.1773, id=0.1554, sem=0.0160)
[8/200] D=0.3254 G=3.3630 (adv=0.8793, cycle=0.1723, id=0.1489, sem=0.0157)
[9/200] D=0.3273 G=3.4120 (adv=0.9327, cycle=0.1736, id=0.1455, sem=0.0159)
[10/200] D=0.3027 G=3.3698 (adv=0.9469, cycle=0.1696, id=0.1422, sem=0.0156)
[11/200] D=0.3225 G=3.4135 (adv=0.9662, cycle=0.1716, id=0.1430, sem=0.0159)
[12/200] D=0.3049 G=3.2971 (adv=0.9559, cycle=0.1640, id=0.1370, sem=0.0161)
[13/200] D=0.4121 G=3.2213 (adv=0.9444, cycle=0.1602, id=0.1319, sem=0.0159)
[14/200] D=0.3599 G=3.0586 (adv=0.8705, cycle=0.1530, id=0.1285, sem=0.0156)
[15/200] D=0.3124 G=3.1623 (adv=0.9459, cycle=0.1558, id=0.1285, sem=0.0155)
[16/200] D=0.3044 G=3.1174 (adv=0.9602, cycle=0.1520, id=0.1244, sem=0.0158)
[17/200] D=0.2990 G=3.2502 (adv=1.0024, cycle=0.1600, id=0.1265, sem=0.0155)
[18/200] D=0.3571 G=3.0873 (adv=0.9520, cycle=0.1511, id=0.1218, sem=0.0154)
[19/200] D=0.3050 G=3.1126 (adv=0.9818, cycle=0.1515, id=0.1201, sem=0.0155)
[20/200] D=0.2983 G=3.1431 (adv=1.0030, cycle=0.1524, id=0.1202, sem=0.0154)
[21/200] D=0.6507 G=3.2648 (adv=1.0994, cycle=0.1541, id=0.1219, sem=0.0144)
[22/200] D=0.4143 G=2.5845 (adv=0.7024, cycle=0.1317, id=0.1103, sem=0.0135)
[23/200] D=0.5264 G=2.5220 (adv=0.7314, cycle=0.1251, id=0.1053, sem=0.0128)
[24/200] D=0.4427 G=2.3011 (adv=0.6161, cycle=0.1164, id=0.1019, sem=0.0119)
[25/200] D=0.4072 G=2.4319 (adv=0.6964, cycle=0.1210, id=0.1028, sem=0.0120)
[26/200] D=0.3793 G=2.4626 (adv=0.7517, cycle=0.1201, id=0.0994, sem=0.0123)
[27/200] D=0.3657 G=2.5664 (adv=0.8038, cycle=0.1245, id=0.1010, sem=0.0126)
[28/200] D=0.3484 G=2.6602 (adv=0.8571, cycle=0.1282, id=0.1017, sem=0.0129)
[29/200] D=0.3417 G=2.6387 (adv=0.8680, cycle=0.1261, id=0.0994, sem=0.0129)
[30/200] D=0.3424 G=2.7168 (adv=0.8927, cycle=0.1301, id=0.1020, sem=0.0130)
[31/200] D=0.3488 G=2.7335 (adv=0.9220, cycle=0.1297, id=0.1002, sem=0.0133)
[32/200] D=0.3518 G=2.8716 (adv=0.9579, cycle=0.1378, id=0.1044, sem=0.0136)
[33/200] D=0.3095 G=2.7412 (adv=0.9219, cycle=0.1308, id=0.0996, sem=0.0138)
[34/200] D=0.3233 G=2.7321 (adv=0.9333, cycle=0.1297, id=0.0976, sem=0.0141)
[35/200] D=0.3158 G=2.7574 (adv=0.9629, cycle=0.1292, id=0.0978, sem=0.0139)
[36/200] D=0.3169 G=2.8318 (adv=0.9762, cycle=0.1343, id=0.0998, sem=0.0142)
[37/200] D=0.3158 G=2.7655 (adv=0.9682, cycle=0.1299, id=0.0969, sem=0.0144)
[38/200] D=0.3120 G=2.7775 (adv=0.9840, cycle=0.1302, id=0.0954, sem=0.0145)
[39/200] D=0.3232 G=2.7584 (adv=0.9820, cycle=0.1287, id=0.0951, sem=0.0144)
[40/200] D=0.3084 G=2.7963 (adv=1.0037, cycle=0.1301, id=0.0953, sem=0.0149)
[41/200] D=0.3038 G=2.7824 (adv=0.9956, cycle=0.1299, id=0.0945, sem=0.0151)
[42/200] D=0.7150 G=3.6341 (adv=1.2820, cycle=0.1727, id=0.1220, sem=0.0152)
[43/200] D=0.3454 G=2.7223 (adv=0.8717, cycle=0.1332, id=0.1007, sem=0.0152)
[44/200] D=0.3352 G=2.6808 (adv=0.8967, cycle=0.1283, id=0.0972, sem=0.0153)
[45/200] D=0.3376 G=2.5828 (adv=0.8858, cycle=0.1221, id=0.0923, sem=0.0150)
[46/200] D=0.3269 G=2.6287 (adv=0.9286, cycle=0.1223, id=0.0923, sem=0.0152)
[47/200] D=0.3249 G=2.6173 (adv=0.9334, cycle=0.1217, id=0.0902, sem=0.0155)
[48/200] D=0.3214 G=2.6581 (adv=0.9515, cycle=0.1239, id=0.0904, sem=0.0154)
[49/200] D=0.3219 G=2.6595 (adv=0.9633, cycle=0.1231, id=0.0899, sem=0.0156)
[50/200] D=0.3211 G=2.6656 (adv=0.9506, cycle=0.1248, id=0.0903, sem=0.0156)
[51/200] D=0.3157 G=2.7213 (adv=0.9557, cycle=0.1292, id=0.0914, sem=0.0160)
[52/200] D=0.3247 G=2.7238 (adv=0.9574, cycle=0.1293, id=0.0914, sem=0.0159)
[53/200] D=0.3232 G=2.6651 (adv=0.9449, cycle=0.1260, id=0.0889, sem=0.0162)
[54/200] D=0.3304 G=2.7077 (adv=0.9668, cycle=0.1272, id=0.0905, sem=0.0162)
[55/200] D=0.3312 G=2.6617 (adv=0.9519, cycle=0.1249, id=0.0888, sem=0.0163)
[56/200] D=0.3266 G=2.6470 (adv=0.9449, cycle=0.1249, id=0.0873, sem=0.0162)
[57/200] D=0.5176 G=2.5886 (adv=0.8777, cycle=0.1245, id=0.0901, sem=0.0157)
[58/200] D=0.3695 G=2.3807 (adv=0.7903, cycle=0.1154, id=0.0843, sem=0.0151)
[59/200] D=0.3365 G=2.4958 (adv=0.8710, cycle=0.1188, id=0.0843, sem=0.0155)
[60/200] D=0.3218 G=2.5797 (adv=0.9211, cycle=0.1215, id=0.0855, sem=0.0157)
[61/200] D=0.3228 G=2.6009 (adv=0.9363, cycle=0.1222, id=0.0853, sem=0.0162)
[62/200] D=0.3612 G=2.6702 (adv=0.9718, cycle=0.1247, id=0.0870, sem=0.0163)
[63/200] D=0.3167 G=2.5597 (adv=0.9205, cycle=0.1199, id=0.0848, sem=0.0163)
[64/200] D=0.3187 G=2.6023 (adv=0.9441, cycle=0.1215, id=0.0853, sem=0.0165)
