[1/200] D=0.4482 G=5.0142 (adv=0.7240, cycle=0.2922, id=0.2723, sem=0.0064)
[2/200] D=0.3908 G=3.7522 (adv=0.7244, cycle=0.2040, id=0.1964, sem=0.0061)
[3/200] D=0.4190 G=3.4786 (adv=0.6782, cycle=0.1902, id=0.1785, sem=0.0063)
[4/200] D=0.4131 G=3.3066 (adv=0.7165, cycle=0.1758, id=0.1652, sem=0.0066)
[5/200] D=0.4068 G=3.2567 (adv=0.7556, cycle=0.1724, id=0.1540, sem=0.0069)
[6/200] D=0.4047 G=3.1661 (adv=0.7662, cycle=0.1670, id=0.1446, sem=0.0066)
[7/200] D=0.4137 G=3.0102 (adv=0.7587, cycle=0.1583, id=0.1323, sem=0.0066)
[8/200] D=0.4062 G=2.9241 (adv=0.7764, cycle=0.1513, id=0.1256, sem=0.0066)
[9/200] D=0.3987 G=2.8578 (adv=0.7702, cycle=0.1473, id=0.1216, sem=0.0065)
[10/200] D=0.3945 G=2.7858 (adv=0.7787, cycle=0.1427, id=0.1147, sem=0.0065)
[11/200] D=0.4438 G=2.8130 (adv=0.8198, cycle=0.1417, id=0.1140, sem=0.0063)
[12/200] D=0.4164 G=2.5970 (adv=0.7078, cycle=0.1346, id=0.1075, sem=0.0062)
[13/200] D=0.3962 G=2.6578 (adv=0.7539, cycle=0.1361, id=0.1073, sem=0.0064)
[14/200] D=0.3991 G=2.6533 (adv=0.7746, cycle=0.1346, id=0.1053, sem=0.0064)
[15/200] D=0.3998 G=2.6328 (adv=0.7713, cycle=0.1344, id=0.1021, sem=0.0064)
[16/200] D=0.4084 G=2.5875 (adv=0.7769, cycle=0.1306, id=0.0996, sem=0.0064)
[17/200] D=0.3997 G=2.5773 (adv=0.7763, cycle=0.1301, id=0.0986, sem=0.0065)
[18/200] D=0.4022 G=2.5557 (adv=0.7775, cycle=0.1285, id=0.0972, sem=0.0066)
[19/200] D=0.4149 G=2.5274 (adv=0.7611, cycle=0.1281, id=0.0958, sem=0.0066)
[20/200] D=0.4087 G=2.5361 (adv=0.7714, cycle=0.1282, id=0.0953, sem=0.0065)
[21/200] D=0.4077 G=2.4889 (adv=0.7575, cycle=0.1258, id=0.0934, sem=0.0066)
[22/200] D=0.4142 G=2.4662 (adv=0.7619, cycle=0.1243, id=0.0909, sem=0.0066)
[23/200] D=0.4131 G=2.5299 (adv=0.7774, cycle=0.1277, id=0.0937, sem=0.0065)
[24/200] D=0.4109 G=2.4562 (adv=0.7545, cycle=0.1236, id=0.0918, sem=0.0066)
[25/200] D=0.4134 G=2.4265 (adv=0.7606, cycle=0.1210, id=0.0898, sem=0.0067)
[26/200] D=0.4207 G=2.3937 (adv=0.7398, cycle=0.1206, id=0.0883, sem=0.0066)
[27/200] D=0.4101 G=2.5326 (adv=0.8040, cycle=0.1269, id=0.0906, sem=0.0063)
[28/200] D=0.3984 G=2.3971 (adv=0.7573, cycle=0.1194, id=0.0878, sem=0.0066)
[29/200] D=0.4084 G=2.3780 (adv=0.7600, cycle=0.1186, id=0.0850, sem=0.0067)
[30/200] D=0.4163 G=2.3117 (adv=0.7470, cycle=0.1148, id=0.0820, sem=0.0066)
[31/200] D=0.4204 G=2.3522 (adv=0.7516, cycle=0.1173, id=0.0842, sem=0.0066)
[32/200] D=0.4137 G=2.3497 (adv=0.7560, cycle=0.1165, id=0.0844, sem=0.0065)
[33/200] D=0.4186 G=2.3070 (adv=0.7376, cycle=0.1153, id=0.0820, sem=0.0065)
[34/200] D=0.4172 G=2.3189 (adv=0.7454, cycle=0.1153, id=0.0827, sem=0.0066)
[35/200] D=0.4163 G=2.2955 (adv=0.7574, cycle=0.1132, id=0.0800, sem=0.0066)
[36/200] D=0.4201 G=2.2760 (adv=0.7522, cycle=0.1120, id=0.0794, sem=0.0066)
[37/200] D=0.4138 G=2.2969 (adv=0.7700, cycle=0.1129, id=0.0784, sem=0.0065)
[38/200] D=0.4186 G=2.2509 (adv=0.7474, cycle=0.1107, id=0.0780, sem=0.0065)
[39/200] D=0.4907 G=2.3085 (adv=0.7865, cycle=0.1118, id=0.0794, sem=0.0067)
[40/200] D=0.4255 G=2.1084 (adv=0.6780, cycle=0.1049, id=0.0749, sem=0.0066)
[41/200] D=0.4222 G=2.1603 (adv=0.6979, cycle=0.1079, id=0.0754, sem=0.0067)
[42/200] D=0.4164 G=2.1374 (adv=0.7143, cycle=0.1046, id=0.0742, sem=0.0066)
[43/200] D=0.4216 G=2.1497 (adv=0.7217, cycle=0.1052, id=0.0739, sem=0.0066)
[44/200] D=0.4206 G=2.1739 (adv=0.7332, cycle=0.1059, id=0.0750, sem=0.0066)
[45/200] D=0.4254 G=2.1962 (adv=0.7414, cycle=0.1074, id=0.0749, sem=0.0066)
[46/200] D=0.4206 G=2.1629 (adv=0.7354, cycle=0.1054, id=0.0734, sem=0.0067)
[47/200] D=0.4246 G=2.1501 (adv=0.7320, cycle=0.1049, id=0.0726, sem=0.0066)
[48/200] D=0.4300 G=2.1470 (adv=0.7312, cycle=0.1045, id=0.0728, sem=0.0066)
[49/200] D=0.4264 G=2.1529 (adv=0.7352, cycle=0.1050, id=0.0722, sem=0.0066)
[50/200] D=0.4155 G=2.1456 (adv=0.7344, cycle=0.1044, id=0.0721, sem=0.0066)
[51/200] D=0.4241 G=2.1457 (adv=0.7350, cycle=0.1042, id=0.0724, sem=0.0065)
[52/200] D=0.4293 G=2.0995 (adv=0.7301, cycle=0.1010, id=0.0705, sem=0.0065)
[53/200] D=0.4263 G=2.1001 (adv=0.7285, cycle=0.1014, id=0.0702, sem=0.0066)
[54/200] D=0.4582 G=2.1725 (adv=0.7711, cycle=0.1042, id=0.0707, sem=0.0064)
[55/200] D=0.4150 G=2.0780 (adv=0.7111, cycle=0.1014, id=0.0693, sem=0.0065)
[56/200] D=0.4147 G=2.0804 (adv=0.7112, cycle=0.1009, id=0.0707, sem=0.0066)
[57/200] D=0.4263 G=2.1043 (adv=0.7360, cycle=0.1015, id=0.0694, sem=0.0065)
[58/200] D=0.4233 G=2.0972 (adv=0.7270, cycle=0.1015, id=0.0697, sem=0.0065)
[59/200] D=0.4286 G=2.0860 (adv=0.7256, cycle=0.1006, id=0.0697, sem=0.0066)
[60/200] D=0.4262 G=2.0788 (adv=0.7288, cycle=0.0998, id=0.0692, sem=0.0066)
[61/200] D=0.4257 G=2.0674 (adv=0.7194, cycle=0.1000, id=0.0683, sem=0.0066)
