[1/200] D=0.3893 G=4.8457 (adv=0.8145, cycle=0.2769, id=0.2512, sem=0.0063)
[2/200] D=0.3339 G=3.7719 (adv=0.8638, cycle=0.2043, id=0.1718, sem=0.0063)
[3/200] D=0.3465 G=3.4584 (adv=0.8775, cycle=0.1839, id=0.1471, sem=0.0065)
[4/200] D=0.3482 G=3.3111 (adv=0.8997, cycle=0.1728, id=0.1353, sem=0.0065)
[5/200] D=0.3230 G=3.2482 (adv=0.9409, cycle=0.1665, id=0.1271, sem=0.0065)
[6/200] D=0.3514 G=3.1733 (adv=0.9248, cycle=0.1624, id=0.1235, sem=0.0066)
[7/200] D=0.3340 G=3.1050 (adv=0.9402, cycle=0.1582, id=0.1153, sem=0.0066)
[8/200] D=0.3353 G=3.0827 (adv=0.9416, cycle=0.1572, id=0.1124, sem=0.0066)
[9/200] D=0.3445 G=3.0492 (adv=0.9427, cycle=0.1554, id=0.1092, sem=0.0065)
[10/200] D=0.3480 G=2.9984 (adv=0.9273, cycle=0.1536, id=0.1057, sem=0.0067)
[11/200] D=0.3436 G=2.9724 (adv=0.9251, cycle=0.1520, id=0.1041, sem=0.0066)
[12/200] D=0.3571 G=2.9000 (adv=0.9334, cycle=0.1465, id=0.0991, sem=0.0067)
[13/200] D=0.3460 G=2.8714 (adv=0.9265, cycle=0.1452, id=0.0972, sem=0.0066)
[14/200] D=0.3467 G=2.8503 (adv=0.9425, cycle=0.1426, id=0.0950, sem=0.0067)
[15/200] D=0.4008 G=2.8543 (adv=0.9403, cycle=0.1433, id=0.0949, sem=0.0067)
[16/200] D=0.4098 G=2.6949 (adv=0.8649, cycle=0.1360, id=0.0926, sem=0.0067)
[17/200] D=0.3388 G=2.6811 (adv=0.8619, cycle=0.1361, id=0.0903, sem=0.0068)
[18/200] D=0.3487 G=2.7272 (adv=0.8980, cycle=0.1373, id=0.0898, sem=0.0068)
[19/200] D=0.3544 G=2.7209 (adv=0.9071, cycle=0.1365, id=0.0884, sem=0.0067)
[20/200] D=0.3569 G=2.7116 (adv=0.9046, cycle=0.1360, id=0.0880, sem=0.0068)
[21/200] D=0.3520 G=2.6703 (adv=0.8931, cycle=0.1341, id=0.0858, sem=0.0069)
[22/200] D=0.3537 G=2.6568 (adv=0.8962, cycle=0.1333, id=0.0842, sem=0.0069)
[23/200] D=0.3564 G=2.6343 (adv=0.9018, cycle=0.1309, id=0.0833, sem=0.0070)
[24/200] D=0.3553 G=2.6482 (adv=0.9031, cycle=0.1320, id=0.0836, sem=0.0070)
[25/200] D=0.3591 G=2.6289 (adv=0.9013, cycle=0.1310, id=0.0822, sem=0.0071)
[26/200] D=0.4783 G=2.8040 (adv=1.0078, cycle=0.1360, id=0.0858, sem=0.0071)
[27/200] D=0.4036 G=2.4195 (adv=0.7770, cycle=0.1234, id=0.0804, sem=0.0068)
[28/200] D=0.3854 G=2.4078 (adv=0.8010, cycle=0.1211, id=0.0778, sem=0.0070)
[29/200] D=0.3763 G=2.4368 (adv=0.8286, cycle=0.1216, id=0.0770, sem=0.0070)
[30/200] D=0.3587 G=2.5069 (adv=0.8630, cycle=0.1242, id=0.0790, sem=0.0070)
[31/200] D=0.3618 G=2.4802 (adv=0.8710, cycle=0.1222, id=0.0760, sem=0.0071)
[32/200] D=0.3555 G=2.5251 (adv=0.8822, cycle=0.1246, id=0.0778, sem=0.0071)
[33/200] D=0.3628 G=2.5213 (adv=0.8927, cycle=0.1242, id=0.0759, sem=0.0071)
[34/200] D=0.3611 G=2.5125 (adv=0.8877, cycle=0.1235, id=0.0766, sem=0.0071)
[35/200] D=0.3729 G=2.4713 (adv=0.8864, cycle=0.1211, id=0.0734, sem=0.0072)
[36/200] D=0.3539 G=2.4750 (adv=0.8817, cycle=0.1219, id=0.0735, sem=0.0071)
[37/200] D=0.3628 G=2.4734 (adv=0.8988, cycle=0.1202, id=0.0732, sem=0.0072)
[38/200] D=0.3946 G=2.4902 (adv=0.9174, cycle=0.1203, id=0.0726, sem=0.0071)
[39/200] D=0.3623 G=2.3729 (adv=0.8295, cycle=0.1171, id=0.0731, sem=0.0071)
[40/200] D=0.3541 G=2.4605 (adv=0.8849, cycle=0.1201, id=0.0735, sem=0.0071)
[41/200] D=0.3533 G=2.4959 (adv=0.9106, cycle=0.1216, id=0.0723, sem=0.0072)
[42/200] D=0.3588 G=2.4634 (adv=0.9065, cycle=0.1192, id=0.0716, sem=0.0072)
[43/200] D=0.3591 G=2.4453 (adv=0.9128, cycle=0.1171, id=0.0709, sem=0.0072)
[44/200] D=0.5052 G=2.6898 (adv=0.9878, cycle=0.1305, id=0.0780, sem=0.0071)
[45/200] D=0.4984 G=2.3418 (adv=0.8155, cycle=0.1159, id=0.0721, sem=0.0071)
[46/200] D=0.4053 G=2.0718 (adv=0.6781, cycle=0.1050, id=0.0673, sem=0.0069)
[47/200] D=0.3549 G=2.2618 (adv=0.8092, cycle=0.1103, id=0.0686, sem=0.0070)
[48/200] D=0.3451 G=2.3518 (adv=0.8586, cycle=0.1146, id=0.0679, sem=0.0072)
[49/200] D=0.3536 G=2.3798 (adv=0.8839, cycle=0.1148, id=0.0681, sem=0.0072)
[50/200] D=0.3526 G=2.3814 (adv=0.8883, cycle=0.1146, id=0.0680, sem=0.0071)
[51/200] D=0.3631 G=2.3582 (adv=0.8829, cycle=0.1131, id=0.0675, sem=0.0071)
[52/200] D=0.3586 G=2.3972 (adv=0.9013, cycle=0.1146, id=0.0685, sem=0.0071)
[53/200] D=0.3676 G=2.3896 (adv=0.8945, cycle=0.1149, id=0.0678, sem=0.0071)
[54/200] D=0.3523 G=2.3857 (adv=0.8948, cycle=0.1142, id=0.0683, sem=0.0071)
[55/200] D=0.3644 G=2.3936 (adv=0.9083, cycle=0.1144, id=0.0668, sem=0.0071)
[56/200] D=0.3728 G=2.3954 (adv=0.9169, cycle=0.1137, id=0.0669, sem=0.0072)
[57/200] D=0.3495 G=2.3620 (adv=0.8878, cycle=0.1133, id=0.0669, sem=0.0071)
[58/200] D=0.4317 G=2.2890 (adv=0.8517, cycle=0.1095, id=0.0670, sem=0.0071)
[59/200] D=0.3455 G=2.3828 (adv=0.9021, cycle=0.1140, id=0.0668, sem=0.0072)
[60/200] D=0.3586 G=2.3096 (adv=0.8872, cycle=0.1092, id=0.0646, sem=0.0072)
[61/200] D=0.3587 G=2.3539 (adv=0.9021, cycle=0.1116, id=0.0656, sem=0.0072)
[62/200] D=0.3595 G=2.3413 (adv=0.8973, cycle=0.1114, id=0.0646, sem=0.0072)
[63/200] D=0.3590 G=2.3403 (adv=0.9064, cycle=0.1106, id=0.0642, sem=0.0072)
[64/200] D=0.3583 G=2.3511 (adv=0.9031, cycle=0.1118, id=0.0646, sem=0.0072)
[65/200] D=0.3576 G=2.3562 (adv=0.9214, cycle=0.1104, id=0.0646, sem=0.0072)
[66/200] D=0.3599 G=2.3445 (adv=0.9086, cycle=0.1105, id=0.0647, sem=0.0072)
[67/200] D=0.3512 G=2.3478 (adv=0.9229, cycle=0.1101, id=0.0634, sem=0.0073)
[68/200] D=0.3503 G=2.3883 (adv=0.9383, cycle=0.1118, id=0.0650, sem=0.0072)
[69/200] D=0.3528 G=2.5245 (adv=1.0014, cycle=0.1184, id=0.0665, sem=0.0072)
[70/200] D=0.3440 G=2.3513 (adv=0.9377, cycle=0.1087, id=0.0638, sem=0.0073)
[71/200] D=0.3402 G=2.3532 (adv=0.9525, cycle=0.1082, id=0.0623, sem=0.0072)
[72/200] D=0.3451 G=2.3523 (adv=0.9537, cycle=0.1082, id=0.0618, sem=0.0073)
[73/200] D=0.5067 G=2.7660 (adv=1.0792, cycle=0.1294, id=0.0772, sem=0.0069)
