[1/200] D=0.4435 G=5.6199 (adv=0.7587, cycle=0.3351, id=0.3020)
[2/200] D=0.3339 G=4.4947 (adv=0.8646, cycle=0.2529, id=0.2203)
[3/200] D=0.3648 G=3.9574 (adv=0.8114, cycle=0.2189, id=0.1914)
[4/200] D=0.3740 G=3.6545 (adv=0.8237, cycle=0.1988, id=0.1686)
[5/200] D=0.3647 G=3.4778 (adv=0.8459, cycle=0.1872, id=0.1519)
[6/200] D=0.3621 G=3.3728 (adv=0.8643, cycle=0.1802, id=0.1413)
[7/200] D=0.3535 G=3.2908 (adv=0.8849, cycle=0.1738, id=0.1335)
[8/200] D=0.4452 G=3.3021 (adv=0.9566, cycle=0.1696, id=0.1299)
[9/200] D=0.4022 G=2.9300 (adv=0.7863, cycle=0.1556, id=0.1176)
[10/200] D=0.3573 G=2.9180 (adv=0.8085, cycle=0.1536, id=0.1148)
[11/200] D=0.3551 G=2.9218 (adv=0.8570, cycle=0.1516, id=0.1098)
[12/200] D=0.3609 G=2.9001 (adv=0.8646, cycle=0.1498, id=0.1074)
[13/200] D=0.3536 G=2.8565 (adv=0.8656, cycle=0.1467, id=0.1049)
[14/200] D=0.3568 G=2.8460 (adv=0.8772, cycle=0.1465, id=0.1007)
[15/200] D=0.3580 G=2.8096 (adv=0.8734, cycle=0.1437, id=0.0998)
[16/200] D=0.3618 G=2.7047 (adv=0.8610, cycle=0.1374, id=0.0939)
[17/200] D=0.3665 G=2.6865 (adv=0.8583, cycle=0.1364, id=0.0929)
[18/200] D=0.3615 G=2.7578 (adv=0.8792, cycle=0.1402, id=0.0953)
[19/200] D=0.3561 G=2.7209 (adv=0.8745, cycle=0.1386, id=0.0921)
[20/200] D=0.3811 G=2.6121 (adv=0.8544, cycle=0.1318, id=0.0879)
[21/200] D=0.3692 G=2.5544 (adv=0.8489, cycle=0.1283, id=0.0846)
[22/200] D=0.3739 G=2.5572 (adv=0.8481, cycle=0.1289, id=0.0840)
[23/200] D=0.3712 G=2.5297 (adv=0.8510, cycle=0.1264, id=0.0830)
[24/200] D=0.3666 G=2.5702 (adv=0.8709, cycle=0.1286, id=0.0828)
[25/200] D=0.3680 G=2.5972 (adv=0.8707, cycle=0.1308, id=0.0837)
[26/200] D=0.8469 G=3.7592 (adv=1.0770, cycle=0.1918, id=0.1528)
[27/200] D=0.4119 G=2.6078 (adv=0.6487, cycle=0.1389, id=0.1141)
[28/200] D=0.4135 G=2.3557 (adv=0.6734, cycle=0.1215, id=0.0934)
[29/200] D=0.4117 G=2.3338 (adv=0.7011, cycle=0.1203, id=0.0860)
[30/200] D=0.3966 G=2.3378 (adv=0.7356, cycle=0.1187, id=0.0831)
[31/200] D=0.3861 G=2.3639 (adv=0.7647, cycle=0.1192, id=0.0814)
[32/200] D=0.3879 G=2.3193 (adv=0.7751, cycle=0.1154, id=0.0781)
[33/200] D=0.3815 G=2.3825 (adv=0.7990, cycle=0.1200, id=0.0767)
[34/200] D=0.3896 G=2.3266 (adv=0.7865, cycle=0.1163, id=0.0755)
[35/200] D=0.3856 G=2.3340 (adv=0.8030, cycle=0.1158, id=0.0746)
[36/200] D=0.3901 G=2.3401 (adv=0.8072, cycle=0.1161, id=0.0744)
[37/200] D=0.3921 G=2.2713 (adv=0.7907, cycle=0.1122, id=0.0718)
[38/200] D=0.4088 G=2.2492 (adv=0.7958, cycle=0.1101, id=0.0706)
[39/200] D=0.3916 G=2.2435 (adv=0.7723, cycle=0.1119, id=0.0704)
[40/200] D=0.3916 G=2.3062 (adv=0.8090, cycle=0.1142, id=0.0710)
[41/200] D=0.3853 G=2.2840 (adv=0.8035, cycle=0.1128, id=0.0705)
[42/200] D=0.3933 G=2.2706 (adv=0.8077, cycle=0.1117, id=0.0692)
[43/200] D=0.4020 G=2.2187 (adv=0.7953, cycle=0.1084, id=0.0678)
[44/200] D=0.3914 G=2.2293 (adv=0.8001, cycle=0.1093, id=0.0673)
[45/200] D=0.3968 G=2.1851 (adv=0.7927, cycle=0.1063, id=0.0658)
[46/200] D=0.3984 G=2.1766 (adv=0.7898, cycle=0.1059, id=0.0656)
[47/200] D=0.3907 G=2.2662 (adv=0.8202, cycle=0.1101, id=0.0690)
[48/200] D=0.3934 G=2.1819 (adv=0.7992, cycle=0.1057, id=0.0652)
[49/200] D=0.3875 G=2.2079 (adv=0.8099, cycle=0.1069, id=0.0658)
[50/200] D=0.3994 G=2.1448 (adv=0.7911, cycle=0.1035, id=0.0637)
[51/200] D=0.3950 G=2.1724 (adv=0.8042, cycle=0.1047, id=0.0642)
[52/200] D=0.6240 G=2.8580 (adv=1.0617, cycle=0.1373, id=0.0846)
[53/200] D=0.4271 G=2.1013 (adv=0.6953, cycle=0.1066, id=0.0680)
[54/200] D=0.4355 G=1.9513 (adv=0.6782, cycle=0.0962, id=0.0622)
[55/200] D=0.4301 G=1.9912 (adv=0.7061, cycle=0.0974, id=0.0623)
[56/200] D=0.4265 G=1.9664 (adv=0.7020, cycle=0.0961, id=0.0607)
[57/200] D=0.6369 G=4.0393 (adv=1.0072, cycle=0.2253, id=0.1559)
[58/200] D=0.3820 G=2.5989 (adv=0.7166, cycle=0.1388, id=0.0988)
[59/200] D=0.3894 G=2.4043 (adv=0.7268, cycle=0.1251, id=0.0852)
[60/200] D=0.3846 G=2.3441 (adv=0.7469, cycle=0.1199, id=0.0797)
[61/200] D=0.3739 G=2.3599 (adv=0.7682, cycle=0.1209, id=0.0766)
[62/200] D=0.3808 G=2.2559 (adv=0.7602, cycle=0.1137, id=0.0718)
[63/200] D=0.3881 G=2.2028 (adv=0.7637, cycle=0.1095, id=0.0688)
[64/200] D=0.3796 G=2.2381 (adv=0.7809, cycle=0.1111, id=0.0693)
[65/200] D=0.3792 G=2.1992 (adv=0.7871, cycle=0.1076, id=0.0671)
[66/200] D=0.3841 G=2.1793 (adv=0.7861, cycle=0.1064, id=0.0658)
[67/200] D=0.3863 G=2.1992 (adv=0.7996, cycle=0.1070, id=0.0659)
[68/200] D=0.3783 G=2.2337 (adv=0.8102, cycle=0.1090, id=0.0667)
[69/200] D=0.3790 G=2.2169 (adv=0.8086, cycle=0.1087, id=0.0642)
[70/200] D=0.3779 G=2.2443 (adv=0.8186, cycle=0.1099, id=0.0654)
[71/200] D=0.3868 G=2.1845 (adv=0.8064, cycle=0.1064, id=0.0628)
[72/200] D=0.3904 G=2.1328 (adv=0.7987, cycle=0.1026, id=0.0616)
[73/200] D=0.3878 G=2.1927 (adv=0.8040, cycle=0.1076, id=0.0626)
[74/200] D=0.3956 G=2.1488 (adv=0.8128, cycle=0.1027, id=0.0618)
[75/200] D=0.3944 G=2.0904 (adv=0.7909, cycle=0.1000, id=0.0599)
